名前,Tenari1,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,13 回,,,01,立直,26 回,89.66%,2 位,,0,±0,,東1局,+277,13 回,3600
総局数,98 回,,,03,ドラ,16 回,55.17%,2 位,,1,+50.0,,東2局,-1075,12 回,-12900
通算スコア,+0.8,,,52,赤ドラ,10 回,34.48%,4 位,,2,-7.0,,東3局,-2475,12 回,-29700
平均スコア,+0.06,,,04,裏ドラ,9 回,31.03%,4 位,,3,+58.0,,南1局,+656,9 回,5900
平均順位,1.92 位,,,06,ツモ,9 回,31.03%,1 位,,4,+54.0,,南2局,-22,9 回,-200
1位,4 回,30.8%,,02,一発,8 回,27.59%,3 位,,5,+10.4,,南3局,+1763,8 回,14100
2位,6 回,46.2%,,10,役牌,6 回,20.69%,4 位,,6,-3.9,,,,,
3位,3 回,23.1%,,07,平和,5 回,17.24%,4 位,,7,-10.2,,起家,スコア,回数,合計
ふっとび,1 回,7.7%,,25,七対子,4 回,13.79%,1 位,,8,-16.6,,東家,-25.53,4 回,-102.1
ふっとばし,1 回,7.7%,,17,チャンタ,2 回,6.90%,1 位,,9,-64.8,,南家,-35.65,2 回,-71.3
逆転,2 回,15.4%,,08,一盃口,1 回,3.45%,4 位,,10,-41.6,,西家,+24.89,7 回,174.2
リーチ,56 回,57.1%,,09,タンヤオ,1 回,3.45%,4 位,,11,-6.4,,,,,
副露,4 回,4.1%,,31,国士無双,1 回,3.45%,1 位,,12,+2.6,,相手,スコア,回数,合計
リーチ成功,27 回,48.2%,,11,海底摸月,0 回,0.00%,1 位,,13,+0.8,,だいち,+13.18,13 回,171.4
副露成功,2 回,50.0%,,12,河底撈魚,0 回,0.00%,1 位,,,,,Tenari2,-13.00,13 回,-169
アガリ,29 回,29.6%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,,,
ツモ,10 回,34.5%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ロン,19 回,65.5%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
放銃,22 回,22.4%,,16,一気通貫,0 回,0.00%,3 位,,,,,,,,
連続アガリ,4 回,0 回,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
連続無放銃,21 回,0 回,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,7769,225300,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-7468,-164300,,22,対々和,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,3 個,,,23,小三元,0 回,0.00%,1 位,,,,,,,,
最大点数,80000,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,4 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
