名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,13 回,,,01,立直,18 回,66.67%,4 位,,0,±0,,東1局,-3377,13 回,-43900
総局数,98 回,,,03,ドラ,15 回,55.56%,1 位,,1,-57.0,,東2局,-400,12 回,-4800
通算スコア,-170.6,,,52,赤ドラ,14 回,51.85%,1 位,,2,-39.3,,東3局,+2917,12 回,35000
平均スコア,-13.12,,,10,役牌,11 回,40.74%,1 位,,3,-88.4,,南1局,-2722,9 回,-24500
平均順位,2.38 位,,,04,裏ドラ,10 回,37.04%,1 位,,4,-28.4,,南2局,-1900,9 回,-17100
1位,2 回,15.4%,,02,一発,7 回,25.93%,4 位,,5,-20.5,,南3局,-1913,8 回,-15300
2位,4 回,30.8%,,06,ツモ,7 回,25.93%,2 位,,6,-63.5,,,,,
3位,7 回,53.8%,,07,平和,6 回,22.22%,2 位,,7,-119.7,,起家,スコア,回数,合計
ふっとび,2 回,15.4%,,28,混一色,2 回,7.41%,2 位,,8,-56.9,,東家,-23.75,2 回,-47.5
ふっとばし,2 回,15.4%,,08,一盃口,1 回,3.70%,3 位,,9,-54.3,,南家,-14.51,7 回,-101.6
逆転,0 回,0.0%,,09,タンヤオ,1 回,3.70%,3 位,,10,-80.0,,西家,-5.38,4 回,-21.5
リーチ,37 回,37.8%,,17,チャンタ,1 回,3.70%,2 位,,11,-78.4,,,,,
副露,7 回,7.1%,,20,三暗刻,1 回,3.70%,1 位,,12,-122.3,,相手,スコア,回数,合計
リーチ成功,18 回,48.6%,,11,海底摸月,0 回,0.00%,1 位,,13,-170.6,,Tenari1,-13.18,13 回,-171.4
副露成功,6 回,85.7%,,12,河底撈魚,0 回,0.00%,1 位,,,,,Tenari2,-26.18,13 回,-340.4
アガリ,27 回,27.6%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,,,
ツモ,9 回,33.3%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ロン,18 回,66.7%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
放銃,22 回,22.4%,,16,一気通貫,0 回,0.00%,3 位,,,,,,,,
連続アガリ,4 回,1 回,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
連続無放銃,26 回,1 回,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,7241,195500,,22,対々和,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-7918,-174200,,23,小三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,3 個,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
最大点数,77800,,,25,七対子,0 回,0.00%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,3 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
