名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,36 回,,,01,立直,71 回,88.75%,3 位,,0,±0,,東1局,-83,36 回,-3000
総局数,264 回,,,03,ドラ,41 回,51.25%,3 位,,1,+7.0,,東2局,+91,33 回,3000
通算スコア,-0.0,,,52,赤ドラ,38 回,47.50%,3 位,,2,-50.0,,東3局,-30,33 回,-1000
平均スコア,-0.00,,,04,裏ドラ,30 回,37.50%,3 位,,3,±0,,南1局,±0,24 回,0
平均順位,2.00 位,,,02,一発,24 回,30.00%,3 位,,4,+39.3,,南2局,+42,24 回,1000
1位,12 回,33.3%,,06,ツモ,22 回,27.50%,2 位,,5,-17.7,,南3局,±0,21 回,0
2位,12 回,33.3%,,10,役牌,19 回,23.75%,2 位,,6,-0.0,,,,,
3位,12 回,33.3%,,07,平和,18 回,22.50%,3 位,,7,-49.1,,起家,スコア,回数,合計
ふっとび,5 回,13.9%,,25,七対子,7 回,8.75%,3 位,,8,-65.0,,東家,-5.42,12 回,-65
ふっとばし,5 回,13.9%,,08,一盃口,5 回,6.25%,2 位,,9,-0.0,,南家,-14.23,12 回,-170.8
逆転,3 回,8.3%,,09,タンヤオ,4 回,5.00%,2 位,,10,-4.0,,西家,+19.65,12 回,235.8
リーチ,135 回,51.1%,,28,混一色,4 回,5.00%,2 位,,11,-60.0,,,,,
副露,6 回,2.3%,,16,一気通貫,2 回,2.50%,2 位,,12,-0.0,,相手,スコア,回数,合計
リーチ成功,72 回,53.3%,,17,チャンタ,1 回,1.25%,2 位,,13,-43.6,,だいち,+15.29,24 回,366.9
副露成功,5 回,83.3%,,20,三暗刻,1 回,1.25%,2 位,,14,-35.7,,Tenari1,-0.33,24 回,-7.8
アガリ,80 回,30.3%,,31,国士無双,1 回,1.25%,2 位,,15,-0.0,,Tenari2,-14.96,24 回,-359.1
ツモ,24 回,30.0%,,11,海底摸月,0 回,0.00%,1 位,,16,+57.3,,,,,
ロン,56 回,70.0%,,12,河底撈魚,0 回,0.00%,1 位,,17,+43.0,,,,,
放銃,56 回,21.2%,,13,嶺上開花,0 回,0.00%,1 位,,18,-0.0,,,,,
連続アガリ,4 回,0 回,,14,槍槓,0 回,0.00%,1 位,,19,-6.3,,,,,
連続無放銃,18 回,2 回,,15,ダブル立直,0 回,0.00%,1 位,,20,+56.2,,,,,
平均アガリ点,8114,649100,,19,三色同刻,0 回,0.00%,1 位,,21,-0.0,,,,,
平均放銃点,-7464,-418000,,21,三槓子,0 回,0.00%,1 位,,22,-56.4,,,,,
最大ドラ数,4 個,,,22,対々和,0 回,0.00%,1 位,,23,+6.4,,,,,
最大点数,80000,,,23,小三元,0 回,0.00%,1 位,,24,-0.0,,,,,
チョンボ,0 回,0.0%,,24,混老頭,0 回,0.00%,1 位,,25,-48.2,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,26,-45.6,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,27,-0.0,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,28,+2.5,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,29,-23.2,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,30,-0.0,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,31,+1.6,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,32,-35.2,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,33,-0.0,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,34,+34.9,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,35,-9.0,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,36,-0.0,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
