名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,24 回,,,05,ガリ,51 回,80.95%,4 位,,0,±0,,東1局,+13,24 回,300
総局数,176 回,,,03,ドラ,40 回,63.49%,4 位,,1,-14.1,,東2局,+6375,24 回,153000
通算スコア,+403.4,,,01,立直,39 回,61.90%,1 位,,2,+60.9,,東3局,+271,21 回,5700
平均スコア,+16.81,,,10,役牌,30 回,47.62%,2 位,,3,+105.9,,南1局,+7371,17 回,125300
平均順位,1.63 位,,,04,裏ドラ,26 回,41.27%,2 位,,4,+134.4,,南2局,-3038,13 回,-39500
1位,13 回,54.2%,,52,赤ドラ,25 回,39.68%,1 位,,5,+152.5,,南3局,-125,8 回,-1000
2位,7 回,29.2%,,06,ツモ,18 回,28.57%,2 位,,6,+159.3,,,,,
3位,4 回,16.7%,,02,一発,13 回,20.63%,1 位,,7,+235.1,,起家,スコア,回数,合計
ふっとび,3 回,12.5%,,28,混一色,10 回,15.87%,1 位,,8,+272.1,,東家,+17.29,7 回,121
ふっとばし,7 回,29.2%,,07,平和,9 回,14.29%,1 位,,9,+272.1,,南家,+9.34,12 回,112.1
逆転,4 回,16.7%,,09,タンヤオ,7 回,11.11%,1 位,,10,+315.2,,西家,+34.06,5 回,170.3
リーチ,69 回,39.2%,,22,対々和,5 回,7.94%,2 位,,11,+358.8,,,,,
副露,40 回,22.7%,,08,一盃口,4 回,6.35%,2 位,,12,+296.1,,相手,スコア,回数,合計
リーチ成功,41 回,59.4%,,16,一気通貫,3 回,4.76%,2 位,,13,+236.3,,りょうすけ,+36.40,24 回,873.7
副露成功,18 回,45.0%,,20,三暗刻,3 回,4.76%,1 位,,14,+282.3,,てんちゃん,+14.02,24 回,336.5
アガリ,63 回,35.8%,,25,七対子,2 回,3.17%,4 位,,15,+309.9,,,,,
ツモ,25 回,39.7%,,11,海底摸月,1 回,1.59%,1 位,,16,+302.9,,,,,
ロン,38 回,60.3%,,15,ダブル立直,1 回,1.59%,1 位,,17,+295.4,,,,,
放銃,25 回,14.2%,,23,小三元,1 回,1.59%,1 位,,18,+303.1,,,,,
連続アガリ,5 回,0 回,,12,河底撈魚,0 回,0.00%,3 位,,19,+378.8,,,,,
連続無放銃,25 回,0 回,,13,嶺上開花,0 回,0.00%,3 位,,20,+424.4,,,,,
平均アガリ点,11148,702300,,14,槍槓,0 回,0.00%,1 位,,21,+455.6,,,,,
平均放銃点,-11368,-284200,,17,チャンタ,0 回,0.00%,1 位,,22,+449.3,,,,,
最大ドラ数,7 個,,,19,三色同刻,0 回,0.00%,1 位,,23,+448.6,,,,,
最大点数,110000,,,21,三槓子,0 回,0.00%,1 位,,24,+403.4,,,,,
チョンボ,0 回,0.0%,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,3 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
