名前,てんちゃん,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,24 回,,,05,ガリ,47 回,81.03%,3 位,,0,±0,,東1局,-138,24 回,-3300
総局数,176 回,,,03,ドラ,44 回,75.86%,1 位,,1,-3.0,,東2局,+963,24 回,23100
通算スコア,+66.9,,,10,役牌,34 回,58.62%,1 位,,2,-22.0,,東3局,+2014,21 回,42300
平均スコア,+2.79,,,01,立直,32 回,55.17%,4 位,,3,-21.0,,南1局,-2335,17 回,-39700
平均順位,2.00 位,,,04,裏ドラ,24 回,41.38%,1 位,,4,-59.6,,南2局,+4123,13 回,53600
1位,7 回,29.2%,,06,ツモ,17 回,29.31%,1 位,,5,-27.9,,南3局,+1825,8 回,14600
2位,10 回,41.7%,,52,赤ドラ,15 回,25.86%,4 位,,6,-27.0,,,,,
3位,7 回,29.2%,,02,一発,9 回,15.52%,4 位,,7,-38.8,,起家,スコア,回数,合計
ふっとび,1 回,4.2%,,07,平和,8 回,13.79%,2 位,,8,-68.9,,東家,-9.13,9 回,-82.2
ふっとばし,4 回,16.7%,,28,混一色,5 回,8.62%,3 位,,9,-4.2,,南家,+3.07,7 回,21.5
逆転,4 回,16.7%,,08,一盃口,4 回,6.90%,1 位,,10,-37.5,,西家,+15.95,8 回,127.6
リーチ,54 回,30.7%,,09,タンヤオ,4 回,6.90%,3 位,,11,-71.8,,,,,
副露,42 回,23.9%,,25,七対子,2 回,3.45%,3 位,,12,-2.0,,相手,スコア,回数,合計
リーチ成功,32 回,59.3%,,13,嶺上開花,1 回,1.72%,1 位,,13,+73.2,,りょうすけ,+22.38,24 回,537.2
副露成功,20 回,47.6%,,20,三暗刻,1 回,1.72%,4 位,,14,+88.2,,だいち,-14.02,24 回,-336.5
アガリ,58 回,33.0%,,34,大三元,1 回,1.72%,1 位,,15,+59.2,,,,,
ツモ,21 回,36.2%,,11,海底摸月,0 回,0.00%,3 位,,16,+9.2,,,,,
ロン,37 回,63.8%,,12,河底撈魚,0 回,0.00%,3 位,,17,-21.6,,,,,
放銃,26 回,14.8%,,14,槍槓,0 回,0.00%,1 位,,18,+7.8,,,,,
連続アガリ,6 回,2 回,,15,ダブル立直,0 回,0.00%,3 位,,19,-11.2,,,,,
連続無放銃,22 回,3 回,,16,一気通貫,0 回,0.00%,4 位,,20,+9.5,,,,,
平均アガリ点,9972,578400,,17,チャンタ,0 回,0.00%,1 位,,21,+18.5,,,,,
平均放銃点,-10335,-268700,,19,三色同刻,0 回,0.00%,1 位,,22,+57.4,,,,,
最大ドラ数,9 個,,,21,三槓子,0 回,0.00%,1 位,,23,+76.9,,,,,
最大点数,90200,,,22,対々和,0 回,0.00%,4 位,,24,+66.9,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.00%,3 位,,,,,,,,
,,,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,3 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
