名前,りょうすけ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,24 回,,,05,ガリ,37 回,112.12%,1 位,,0,±0,,東1局,+125,24 回,3000
総局数,176 回,,,03,ドラ,23 回,69.70%,2 位,,1,+17.1,,東2局,-7463,24 回,-179100
通算スコア,-470.3,,,01,立直,19 回,57.58%,3 位,,2,-38.9,,東3局,-2143,21 回,-45000
平均スコア,-19.60,,,52,赤ドラ,13 回,39.39%,2 位,,3,-84.9,,南1局,-5094,17 回,-86600
平均順位,2.38 位,,,04,裏ドラ,9 回,27.27%,4 位,,4,-74.8,,南2局,-1008,13 回,-13100
1位,4 回,16.7%,,06,ツモ,9 回,27.27%,4 位,,5,-124.6,,南3局,-1700,8 回,-13600
2位,7 回,29.2%,,10,役牌,8 回,24.24%,4 位,,6,-132.3,,,,,
3位,13 回,54.2%,,02,一発,6 回,18.18%,2 位,,7,-196.3,,起家,スコア,回数,合計
ふっとび,8 回,33.3%,,25,七対子,5 回,15.15%,1 位,,8,-203.2,,東家,-1.81,8 回,-14.5
ふっとばし,1 回,4.2%,,07,平和,4 回,12.12%,4 位,,9,-267.9,,南家,-34.02,5 回,-170.1
逆転,0 回,0.0%,,16,一気通貫,3 回,9.09%,1 位,,10,-277.7,,西家,-25.97,11 回,-285.7
リーチ,30 回,17.0%,,22,対々和,3 回,9.09%,1 位,,11,-287.0,,,,,
副露,53 回,30.1%,,09,タンヤオ,2 回,6.06%,4 位,,12,-294.1,,相手,スコア,回数,合計
リーチ成功,19 回,63.3%,,28,混一色,2 回,6.06%,4 位,,13,-309.5,,てんちゃん,-22.38,24 回,-537.2
副露成功,11 回,20.8%,,08,一盃口,1 回,3.03%,4 位,,14,-370.5,,だいち,-36.40,24 回,-873.7
アガリ,33 回,18.8%,,12,河底撈魚,1 回,3.03%,1 位,,15,-369.1,,,,,
ツモ,15 回,45.5%,,20,三暗刻,1 回,3.03%,3 位,,16,-312.1,,,,,
ロン,18 回,54.5%,,24,混老頭,1 回,3.03%,1 位,,17,-273.8,,,,,
放銃,40 回,22.7%,,30,清一色,1 回,3.03%,1 位,,18,-310.9,,,,,
連続アガリ,3 回,0 回,,11,海底摸月,0 回,0.00%,3 位,,19,-367.6,,,,,
連続無放銃,19 回,1 回,,13,嶺上開花,0 回,0.00%,3 位,,20,-433.9,,,,,
平均アガリ点,10345,341400,,14,槍槓,0 回,0.00%,1 位,,21,-474.1,,,,,
平均放銃点,-11118,-444700,,15,ダブル立直,0 回,0.00%,3 位,,22,-506.7,,,,,
最大ドラ数,6 個,,,17,チャンタ,0 回,0.00%,1 位,,23,-525.5,,,,,
最大点数,80200,,,19,三色同刻,0 回,0.00%,1 位,,24,-470.3,,,,,
チョンボ,0 回,0.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
,,,,23,小三元,0 回,0.00%,3 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
