名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,3 回,,,04,裏ドラ,3 回,60.00%,2 位,,0,±0,1500,,東1局,±0,3 回,0
総局数,18 回,,,10,役牌,3 回,60.00%,2 位,,1,+55.8,1510,,東2局,±0,3 回,0
通算スコア,±0,,,01,立直,2 回,40.00%,2 位,,2,+59.4,1511,,東3局,±0,3 回,0
平均スコア,±0,,,03,ドラ,2 回,40.00%,2 位,,3,±0,1500,,南1局,±0,0 回,0
レーティング,1500,,,07,平和,2 回,40.00%,2 位,,,,,,南2局,±0,0 回,0
平均順位,2.00 位,,,52,赤ドラ,2 回,40.00%,2 位,,,,,,南3局,±0,0 回,0
1位,1 回,33.3%,,08,一盃口,1 回,20.00%,2 位,,,,,,,,,
2位,1 回,33.3%,,09,タンヤオ,1 回,20.00%,2 位,,,,,,起家,スコア,回数,合計
3位,1 回,33.3%,,12,河底撈魚,1 回,20.00%,2 位,,,,,,東家,+55.80,1 回,55.8
1位スコア,+55.80,+55.80,,16,一気通貫,1 回,20.00%,2 位,,,,,,南家,+3.60,1 回,3.6
2位スコア,+3.60,+3.60,,28,混一色,1 回,20.00%,2 位,,,,,,西家,-59.40,1 回,-59.4
3位スコア,-59.40,-59.40,,02,一発,0 回,0.00%,1 位,,,,,,,,,
バランス,±0,,,06,ツモ,0 回,0.00%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,33.3%,,11,海底摸月,0 回,0.00%,1 位,,,,,,佐藤,+89.10,2 回,178.2
リーチ,3 回,16.7%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,福澤,-5.40,2 回,-10.8
副露,3 回,16.7%,,14,槍槓,0 回,0.00%,1 位,,,,,,多田,-83.70,2 回,-167.4
リーチ成功,2 回,66.7%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
副露成功,2 回,66.7%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
アガリ,5 回,27.8%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
放銃,4 回,22.2%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
ツモ,1 回,20.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,4 回,80.0%,,22,対々和,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,2 回,40.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,2 回,40.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,1 回,20.0%,,25,七対子,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,9040,45200,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,11867,35600,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,4800,9600,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-10900,-43600,,30,清一色,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,5 回,0 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,12 回,0 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,80800,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,20.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,1 回,20.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,1 回,20.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,1 回,20.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,20.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
