名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,03,ドラ,11 回,91.67%,2 位,,0,±0,,東1局,-167,3 回,-500
総局数,21 回,,,05,ガリ,9 回,75.00%,2 位,,1,-14.1,,東2局,+9033,3 回,27100
通算スコア,+105.9,,,01,立直,6 回,50.00%,3 位,,2,+60.9,,東3局,+1650,2 回,3300
平均スコア,+35.30,,,10,役牌,6 回,50.00%,1 位,,3,+105.9,,南1局,+33750,2 回,67500
平均順位,1.67 位,,,04,裏ドラ,5 回,41.67%,1 位,,,,,南2局,-3500,1 回,-3500
1位,2 回,66.7%,,06,ツモ,3 回,25.00%,3 位,,,,,南3局,+12000,1 回,12000
2位,0 回,0.0%,,07,平和,3 回,25.00%,1 位,,,,,,,,
3位,1 回,33.3%,,09,タンヤオ,2 回,16.67%,1 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,02,一発,1 回,8.33%,1 位,,,,,東家,+30.45,2 回,60.9
ふっとばし,2 回,66.7%,,08,一盃口,1 回,8.33%,3 位,,,,,南家,+45.00,1 回,45
逆転,0 回,0.0%,,15,ダブル立直,1 回,8.33%,1 位,,,,,西家,±0,0 回,0
リーチ,10 回,47.6%,,28,混一色,1 回,8.33%,1 位,,,,,,,,
副露,7 回,33.3%,,11,海底摸月,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,7 回,70.0%,,12,河底撈魚,0 回,0.00%,1 位,,,,,りょうすけ,+63.60,3 回,190.8
副露成功,4 回,57.1%,,13,嶺上開花,0 回,0.00%,1 位,,,,,てんちゃん,+42.30,3 回,126.9
アガリ,12 回,57.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ツモ,5 回,41.7%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,
ロン,7 回,58.3%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,
放銃,3 回,14.3%,,18,三色同順,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,9883,118600,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-6900,-20700,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,4 個,,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
最大点数,110000,,,22,対々和,0 回,0.00%,3 位,,,,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
new局数,21 回,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
newアガリ,12 回,,,25,七対子,0 回,0.00%,3 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
