名前,てんちゃん,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,6 回,,,01,立直,8 回,88.89%,1 位,,0,±0,,東1局,-4350,6 回,-26100
総局数,42 回,,,05,ガリ,7 回,77.78%,3 位,,1,-3.0,,東2局,+4483,6 回,26900
通算スコア,-27.0,,,04,裏ドラ,6 回,66.67%,1 位,,2,-22.0,,東3局,-800,5 回,-4000
平均スコア,-4.50,,,06,ツモ,5 回,55.56%,1 位,,3,-21.0,,南1局,-3200,5 回,-16000
平均順位,2.00 位,,,02,一発,4 回,44.44%,1 位,,4,-59.6,,南2局,+4250,2 回,8500
1位,1 回,16.7%,,03,ドラ,4 回,44.44%,4 位,,5,-27.9,,南3局,-8150,2 回,-16300
2位,4 回,66.7%,,10,役牌,3 回,33.33%,4 位,,6,-27.0,,,,,
3位,1 回,16.7%,,07,平和,2 回,22.22%,3 位,,,,,起家,スコア,回数,合計
ふっとび,1 回,16.7%,,08,一盃口,1 回,11.11%,1 位,,,,,東家,+11.20,3 回,33.6
ふっとばし,1 回,16.7%,,13,嶺上開花,1 回,11.11%,1 位,,,,,南家,-38.60,1 回,-38.6
逆転,1 回,16.7%,,20,三暗刻,1 回,11.11%,1 位,,,,,西家,-11.00,2 回,-22
リーチ,15 回,35.7%,,25,七対子,1 回,11.11%,1 位,,,,,,,,
副露,3 回,7.1%,,28,混一色,1 回,11.11%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,8 回,53.3%,,52,赤ドラ,1 回,11.11%,4 位,,,,,りょうすけ,+17.55,6 回,105.3
副露成功,1 回,33.3%,,09,タンヤオ,0 回,0.00%,3 位,,,,,だいち,-31.05,6 回,-186.3
アガリ,9 回,21.4%,,11,海底摸月,0 回,0.00%,3 位,,,,,,,,
ツモ,5 回,55.6%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,,,
ロン,4 回,44.4%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
放銃,4 回,9.5%,,15,ダブル立直,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,11000,99000,,16,一気通貫,0 回,0.00%,3 位,,,,,,,,
平均放銃点,-10900,-43600,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,5 個,,,18,三色同順,0 回,0.00%,1 位,,,,,,,,
最大点数,66700,,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
new局数,42 回,,,22,対々和,0 回,0.00%,4 位,,,,,,,,
newアガリ,9 回,,,23,小三元,0 回,0.00%,1 位,,,,,,,,
,,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
