名前,りょうすけ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,13 回,,,03,ドラ,17 回,121.43%,1 位,,0,±0,,東1局,-869,13 回,-11300
総局数,82 回,,,05,ガリ,14 回,100.00%,1 位,,1,+17.1,,東2局,-10615,13 回,-138000
通算スコア,-309.5,,,52,赤ドラ,6 回,42.86%,2 位,,2,-38.9,,東3局,-2709,11 回,-29800
平均スコア,-23.81,,,01,立直,4 回,28.57%,4 位,,3,-84.9,,南1局,-9988,8 回,-79900
平均順位,2.38 位,,,10,役牌,4 回,28.57%,4 位,,4,-74.8,,南2局,-2680,5 回,-13400
1位,1 回,7.7%,,06,ツモ,3 回,21.43%,4 位,,5,-124.6,,南3局,+725,4 回,2900
2位,6 回,46.2%,,02,一発,2 回,14.29%,4 位,,6,-132.3,,,,,
3位,6 回,46.2%,,04,裏ドラ,2 回,14.29%,4 位,,7,-196.3,,起家,スコア,回数,合計
ふっとび,5 回,38.5%,,07,平和,2 回,14.29%,3 位,,8,-203.2,,東家,+1.50,2 回,3
ふっとばし,0 回,0.0%,,16,一気通貫,2 回,14.29%,1 位,,9,-267.9,,南家,-28.35,4 回,-113.4
逆転,0 回,0.0%,,22,対々和,2 回,14.29%,1 位,,10,-277.7,,西家,-28.44,7 回,-199.1
リーチ,7 回,8.5%,,09,タンヤオ,1 回,7.14%,3 位,,11,-287.0,,,,,
副露,33 回,40.2%,,08,一盃口,0 回,0.00%,4 位,,12,-294.1,,相手,スコア,回数,合計
リーチ成功,4 回,57.1%,,11,海底摸月,0 回,0.00%,3 位,,13,-309.5,,てんちゃん,-29.44,13 回,-382.7
副露成功,8 回,24.2%,,12,河底撈魚,0 回,0.00%,1 位,,,,,だいち,-41.98,13 回,-545.8
アガリ,14 回,17.1%,,13,嶺上開花,0 回,0.00%,3 位,,,,,,,,
ツモ,8 回,57.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ロン,6 回,42.9%,,15,ダブル立直,0 回,0.00%,3 位,,,,,,,,
放銃,20 回,24.4%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,0 回,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
連続無放銃,17 回,17 回,,20,三暗刻,0 回,0.00%,4 位,,,,,,,,
平均アガリ点,9307,130300,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-13335,-266700,,23,小三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,6 個,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
最大点数,52100,,,25,七対子,0 回,0.00%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,4 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
