名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,66 回,,,05,ガリ,122 回,89.71%,2 位,,0,±0,,東1局,±0,66 回,0
総局数,468 回,,,03,ドラ,98 回,72.06%,3 位,,1,-14.1,,東2局,-45,66 回,-3000
通算スコア,-0.0,,,01,立直,79 回,58.09%,2 位,,2,+3.0,,東3局,+53,57 回,3000
平均スコア,-0.00,,,10,役牌,63 回,46.32%,3 位,,3,+0.0,,南1局,-22,45 回,-1000
平均順位,2.00 位,,,04,裏ドラ,52 回,38.24%,3 位,,4,+75.0,,南2局,+30,33 回,1000
1位,22 回,33.3%,,52,赤ドラ,41 回,30.15%,3 位,,5,+19.0,,南3局,±0,21 回,0
2位,22 回,33.3%,,06,ツモ,39 回,28.68%,3 位,,6,±0,,,,,
3位,22 回,33.3%,,02,一発,24 回,17.65%,2 位,,7,+45.0,,起家,スコア,回数,合計
ふっとび,11 回,16.7%,,07,平和,20 回,14.71%,2 位,,8,-1.0,,東家,-0.55,22 回,-12.1
ふっとばし,11 回,16.7%,,28,混一色,16 回,11.76%,2 位,,9,±0,,南家,+0.43,22 回,9.4
逆転,7 回,10.6%,,09,タンヤオ,13 回,9.56%,2 位,,10,+28.5,,西家,+0.12,22 回,2.7
リーチ,133 回,28.4%,,08,一盃口,8 回,5.88%,3 位,,11,+38.6,,,,,
副露,121 回,25.9%,,22,対々和,8 回,5.88%,3 位,,12,±0,,相手,スコア,回数,合計
リーチ成功,81 回,60.9%,,25,七対子,6 回,4.41%,2 位,,13,+18.1,,りょうすけ,+34.55,44 回,1520.1
副露成功,44 回,36.4%,,16,一気通貫,5 回,3.68%,2 位,,14,-31.7,,てんちゃん,-3.91,44 回,-172.2
アガリ,136 回,29.1%,,20,三暗刻,4 回,2.94%,2 位,,15,+0.0,,だいち,-30.63,44 回,-1347.9
ツモ,54 回,39.7%,,11,海底摸月,1 回,0.74%,2 位,,16,+6.8,,,,,
ロン,82 回,60.3%,,12,河底撈魚,1 回,0.74%,2 位,,17,-0.9,,,,,
放銃,81 回,17.3%,,13,嶺上開花,1 回,0.74%,2 位,,18,+0.0,,,,,
連続アガリ,6 回,2 回,,15,ダブル立直,1 回,0.74%,2 位,,19,+75.8,,,,,
連続無放銃,28 回,2 回,,23,小三元,1 回,0.74%,2 位,,20,+11.8,,,,,
平均アガリ点,10606,1442400,,30,清一色,1 回,0.74%,2 位,,21,-0.0,,,,,
平均放銃点,-10810,-875600,,34,大三元,1 回,0.74%,2 位,,22,+37.0,,,,,
最大ドラ数,9 個,,,14,槍槓,0 回,0.00%,1 位,,23,+30.1,,,,,
最大点数,110000,,,17,チャンタ,0 回,0.00%,1 位,,24,±0,,,,,
チョンボ,0 回,0.0%,,19,三色同刻,0 回,0.00%,1 位,,25,±0,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,26,-64.7,,,,,
,,,,24,混老頭,0 回,0.00%,1 位,,27,±0,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,28,+43.1,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,29,+33.3,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,30,±0,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,31,+43.6,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,32,+34.3,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,33,±0,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-7.1,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,35,-69.8,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,36,±0,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,37,-15.4,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,38,-75.2,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,39,±0,,,,,
,,,,41,天和,0 回,0.00%,1 位,,40,+15.0,,,,,
,,,,42,地和,0 回,0.00%,1 位,,41,+61.0,,,,,
,,,,43,人和,0 回,0.00%,1 位,,42,±0,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,43,-29.0,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,44,-1.4,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,45,+0.0,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,46,-50.0,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,-57.0,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,±0,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+38.3,,,,,
,,,,,,,,,,50,+7.5,,,,,
,,,,,,,,,,51,-0.0,,,,,
,,,,,,,,,,52,-37.1,,,,,
,,,,,,,,,,53,-7.7,,,,,
,,,,,,,,,,54,-0.0,,,,,
,,,,,,,,,,55,-56.7,,,,,
,,,,,,,,,,56,+19.0,,,,,
,,,,,,,,,,57,-0.0,,,,,
,,,,,,,,,,58,-66.3,,,,,
,,,,,,,,,,59,-20.7,,,,,
,,,,,,,,,,60,-0.0,,,,,
,,,,,,,,,,61,-40.2,,,,,
,,,,,,,,,,62,-9.0,,,,,
,,,,,,,,,,63,-0.0,,,,,
,,,,,,,,,,64,-32.6,,,,,
,,,,,,,,,,65,-38.9,,,,,
,,,,,,,,,,66,-0.0,,,,,
