名前,いっしー,,,コード,役,回数,割合,順位,,回,スコア,29.1,局,平均点数,回数,合計
対戦数,61 回,,,05,ガリ,60 回,90.9%,4 位,,0,±0,,東1局,-408,61 回,-24900
総局数,441 回,,,03,ドラ,57 回,86.4%,2 位,,1,-39.9,,東2局,+2171,58 回,125900
通算スコア,+256.2,,,10,役牌,43 回,65.2%,4 位,,2,+26.7,,東3局,-1818,56 回,-101800
平均スコア,+4.20,,,01,立直,28 回,42.4%,11 位,,3,-44.5,,南1局,-313,47 回,-14700
平均順位,1.92 位,,,06,ツモ,19 回,28.8%,8 位,,4,+4.0,,南2局,+7068,41 回,289800
1位,21 回,34.4%,,04,裏ドラ,17 回,25.8%,9 位,,5,+8.0,,南3局,-541,29 回,-15700
2位,24 回,39.3%,,22,対々和,7 回,10.6%,4 位,,6,-4.9,,,,,
3位,16 回,26.2%,,07,平和,6 回,9.1%,11 位,,7,+3.0,,起家,スコア,回数,合計
ふっとび,7 回,11.5%,,28,混一色,6 回,9.1%,11 位,,8,-11.5,,東家,+3.17,18 回,57
ふっとばし,11 回,18.0%,,02,一発,5 回,7.6%,11 位,,9,-18.8,,南家,+5.85,31 回,181.5
逆転,3 回,4.9%,,08,一盃口,4 回,6.1%,11 位,,10,-1.0,,西家,+1.48,12 回,17.7
リーチ,48 回,23.6%,,20,三暗刻,4 回,6.1%,2 位,,11,-10.0,,,,,
副露,64 回,31.5%,,25,七対子,3 回,4.5%,10 位,,12,+65.4,,相手,スコア,回数,合計
リーチ成功,28 回,58.3%,,09,タンヤオ,1 回,1.5%,11 位,,13,+11.1,,やがさき,+34.00,1 回,34
副露成功,26 回,40.6%,,16,一気通貫,1 回,1.5%,8 位,,14,+51.0,,かこたろう,+26.77,3 回,80.3
アガリ,153 回,34.7%,,30,清一色,1 回,1.5%,9 位,,15,+17.2,,まっつん,+24.85,2 回,49.7
ツモ,68 回,44.4%,,32,四暗刻,1 回,1.5%,1 位,,16,-15.5,,がくと,+21.20,3 回,63.6
ロン,85 回,55.6%,,11,海底摸月,0 回,0.0%,7 位,,17,-24.5,,りくと,+15.52,36 回,558.6
放銃,69 回,15.6%,,12,河底撈魚,0 回,0.0%,6 位,,18,-41.5,,ただ,+14.37,7 回,100.6
平均アガリ点,9726,1488100,,13,嶺上開花,0 回,0.0%,6 位,,19,+8.0,,たかの,+13.25,2 回,26.5
平均放銃点,-8993,-620500,,14,槍槓,0 回,0.0%,1 位,,20,+25.2,,ぱぱ,+9.65,2 回,19.3
最大ドラ数,7 個,,,15,ダブル立直,0 回,0.0%,7 位,,21,+62.3,,だいち,-0.86,52 回,-44.6
最大点数,118000,,,17,チャンタ,0 回,0.0%,11 位,,22,+8.6,,あさひ,-4.90,2 回,-9.8
チョンボ,1 回,0.2%,,18,三色同順,0 回,0.0%,1 位,,23,+14.8,,れんたろう,-8.88,12 回,-106.6
new局数,203 回,,,19,三色同刻,0 回,0.0%,3 位,,24,-43.9,,,,,
newアガリ,66 回,,,21,三槓子,0 回,0.0%,1 位,,25,+9.5,,,,,
,,,,23,小三元,0 回,0.0%,5 位,,26,+83.0,,,,,
,,,,24,混老頭,0 回,0.0%,6 位,,27,+21.0,,,,,
,,,,26,二盃口,0 回,0.0%,4 位,,28,+11.9,,,,,
,,,,27,純チャン,0 回,0.0%,3 位,,29,+30.3,,,,,
,,,,29,流し満貫,0 回,0.0%,4 位,,30,-6.5,,,,,
,,,,31,国士無双,0 回,0.0%,7 位,,31,-11.6,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,32,+17.5,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,33,+41.0,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,34,-10.5,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,35,-46.0,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,36,+47.1,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,37,+14.8,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,38,-18.2,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,39,+0.4,,,,,
,,,,41,天和,0 回,0.0%,1 位,,40,+3.1,,,,,
,,,,42,地和,0 回,0.0%,1 位,,41,-2.0,,,,,
,,,,43,人和,0 回,0.0%,1 位,,42,+21.2,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,43,+32.8,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,44,-8.8,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,45,-31.2,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,46,-35.5,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,47,-20.7,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,48,+21.8,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,49,-2.8,,,,,
,,,,,,,,,,50,±0,,,,,
,,,,,,,,,,51,+78.7,,,,,
,,,,,,,,,,52,+26.5,,,,,
,,,,,,,,,,53,-50.5,,,,,
,,,,,,,,,,54,-15.1,,,,,
,,,,,,,,,,55,+15.9,,,,,
,,,,,,,,,,56,+4.4,,,,,
,,,,,,,,,,57,-13.5,,,,,
,,,,,,,,,,58,+33.0,,,,,
,,,,,,,,,,59,-10.0,,,,,
,,,,,,,,,,60,-10.7,,,,,
,,,,,,,,,,61,-13.4,,,,,
