名前,がくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,合計点数,回数
対戦数,5 回,,,01,立直,6 回,66.7%,3 位,,0,±0,,東1局,-2740,-13700,5 回
総局数,37 回,,,02,一発,4 回,44.4%,1 位,,1,-41,,東2局,1500,7500,5 回
通算スコア,-86.4,,,03,ドラ,1 回,11.1%,11 位,,2,-82,,東3局,-11250,-45000,4 回
平均スコア,-17.3,,,04,裏ドラ,2 回,22.2%,10 位,,3,-89,,南1局,-12000,-36000,3 回
平均順位,2.20 位,,,05,ガリ,6 回,66.7%,10 位,,4,-109,,南2局,5400,10800,2 回
1位,1 回,20.0%,,06,ツモ,3 回,33.3%,4 位,,5,-86,,南3局,-5000,-10000,2 回
2位,2 回,40.0%,,07,平和,1 回,11.1%,9 位,,,,,,,,
3位,2 回,40.0%,,08,一盃口,0 回,0.0%,11 位,,,,,,,,
ふっとび,2 回,40.0%,,09,タンヤオ,0 回,0.0%,12 位,,,,,,,,
ふっとばし,1 回,20.0%,,10,役牌,4 回,44.4%,10 位,,,,,,,,
リーチ,8 回,25.8%,,11,海底摸月,0 回,0.0%,4 位,,,,,,,,
副露,5 回,16.1%,,12,河底撈魚,0 回,0.0%,4 位,,,,,,,,
リーチ成功,6 回,75.0%,,13,嶺上開花,0 回,0.0%,6 位,,,,,,,,
副露成功,1 回,20.0%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
アガリ,10 回,27.0%,,15,ダブル立直,0 回,0.0%,6 位,,,,,,,,
ツモ,3 回,30.0%,,16,一気通貫,0 回,0.0%,10 位,,,,,,,,
ロン,7 回,70.0%,,17,チャンタ,2 回,22.2%,1 位,,,,,,,,
放銃,8 回,21.6%,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,7100,71000,,19,三色同刻,0 回,0.0%,3 位,,,,,,,,
平均放銃点,-12488,-99900,,20,三暗刻,0 回,0.0%,9 位,,,,,,,,
親,13 回,35.1%,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
親アガリ,6 回,46.2%,,22,対々和,0 回,0.0%,9 位,,,,,,,,
new局数,31 回,,,23,小三元,0 回,0.0%,5 位,,,,,,,,
newアガリ,9 回,,,24,混老頭,0 回,0.0%,5 位,,,,,,,,
最大ドラ数,3 個,,,25,七対子,1 回,11.1%,2 位,,,,,,,,
最大点数,57800,,,26,二盃口,0 回,0.0%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,27,純チャン,0 回,0.0%,3 位,,,,,,,,
,,,,28,混一色,0 回,0.0%,11 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,3 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,8 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,5 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,4 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
