名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,27.0,局,平均点数,回数,合計
対戦数,112 回,,,05,ガリ,196 回,89.9%,6 位,,0,±0,,東1局,+1675,110 回,184300
総局数,847 回,,,03,ドラ,168 回,77.1%,4 位,,1,-36.7,,東2局,+578,104 回,60100
通算スコア,+225.5,,,01,立直,122 回,56.0%,6 位,,2,-8.6,,東3局,-29,96 回,-2800
平均スコア,+2.01,,,10,役牌,121 回,55.5%,8 位,,3,-36.4,,南1局,-1273,90 回,-114600
平均順位,1.93 位,,,04,裏ドラ,80 回,36.7%,4 位,,4,-32.6,,南2局,+997,78 回,77800
1位,42 回,37.5%,,06,ツモ,70 回,32.1%,4 位,,5,-22.0,,南3局,-303,66 回,-20000
2位,36 回,32.1%,,07,平和,40 回,18.3%,2 位,,6,+35.5,,,,,
3位,34 回,30.4%,,28,混一色,33 回,15.1%,7 位,,7,-5.4,,起家,スコア,回数,合計
ふっとび,13 回,11.6%,,02,一発,25 回,11.5%,7 位,,8,+53.9,,東家,+4.71,51 回,240.1
ふっとばし,19 回,17.0%,,08,一盃口,19 回,8.7%,8 位,,9,-1.2,,南家,-5.67,31 回,-175.8
逆転,11 回,9.8%,,09,タンヤオ,14 回,6.4%,3 位,,10,-19.3,,西家,+4.52,28 回,126.5
リーチ,221 回,30.7%,,16,一気通貫,14 回,6.4%,1 位,,11,+3.0,,,,,
副露,154 回,21.4%,,25,七対子,9 回,4.1%,12 位,,12,+15.5,,相手,スコア,回数,合計
リーチ成功,124 回,56.1%,,20,三暗刻,8 回,3.7%,5 位,,13,+11.1,,りくと,+15.71,35 回,549.7
副露成功,59 回,38.3%,,22,対々和,7 回,3.2%,7 位,,14,-7.2,,まっつん,+15.14,10 回,151.4
アガリ,255 回,30.1%,,11,海底摸月,4 回,1.8%,2 位,,15,+74.3,,れんたろう,+14.18,40 回,567.3
ツモ,113 回,44.3%,,30,清一色,4 回,1.8%,6 位,,16,+35.0,,たかの,-3.35,31 回,-104
ロン,142 回,55.7%,,15,ダブル立直,2 回,0.9%,3 位,,17,-0.3,,やがさき,-3.38,5 回,-16.9
放銃,138 回,16.3%,,17,チャンタ,2 回,0.9%,10 位,,18,+64.0,,だいち,-3.77,93 回,-350.8
平均アガリ点,10498,2676900,,32,四暗刻,2 回,0.9%,2 位,,19,+3.1,,あさひ,-5.87,3 回,-17.6
平均放銃点,-9267,-1278800,,12,河底撈魚,1 回,0.5%,2 位,,20,+1.2,,いっしー,-14.37,7 回,-100.6
最大ドラ数,9 個,,,13,嶺上開花,1 回,0.5%,5 位,,21,+2.8,,,,,
最大点数,109300,,,23,小三元,1 回,0.5%,2 位,,22,+44.6,,,,,
チョンボ,3 回,0.4%,,14,槍槓,0 回,0.0%,1 位,,23,-1.4,,,,,
new局数,721 回,,,18,三色同順,0 回,0.0%,1 位,,24,-39.7,,,,,
newアガリ,218 回,,,19,三色同刻,0 回,0.0%,3 位,,25,-15.8,,,,,
,,,,21,三槓子,0 回,0.0%,1 位,,26,+11.3,,,,,
,,,,24,混老頭,0 回,0.0%,6 位,,27,-44.0,,,,,
,,,,26,二盃口,0 回,0.0%,4 位,,28,-41.0,,,,,
,,,,27,純チャン,0 回,0.0%,3 位,,29,-10.8,,,,,
,,,,29,流し満貫,0 回,0.0%,4 位,,30,+15.6,,,,,
,,,,31,国士無双,0 回,0.0%,7 位,,31,-43.4,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,32,+0.7,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,33,+12.2,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,34,-37.3,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,35,+49.0,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,36,-13.8,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,37,+41.0,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,38,-3.4,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,39,+71.6,,,,,
,,,,41,天和,0 回,0.0%,1 位,,40,+31.5,,,,,
