名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,237 回,,,05,ガリ,410 回,85.6%,9 位,,0,±0,,東1局,+1406,233 回,327600
総局数,1794 回,,,03,ドラ,340 回,71.0%,7 位,,1,+30.0,,東2局,+419,225 回,94300
通算スコア,+1592.0,,,01,立直,259 回,54.1%,8 位,,2,+13.0,,東3局,+1826,210 回,383400
平均スコア,+6.72,,,10,役牌,253 回,52.8%,9 位,,3,+44.2,,南1局,+1340,189 回,253200
平均順位,1.76 位,,,06,ツモ,136 回,28.4%,9 位,,4,+199.5,,南2局,+1560,166 回,258900
1位,105 回,44.3%,,04,裏ドラ,135 回,28.2%,8 位,,5,+177.3,,南3局,+1794,133 回,238600
2位,83 回,35.0%,,28,混一色,84 回,17.5%,4 位,,6,+49.8,,,,,
3位,49 回,20.7%,,07,平和,76 回,15.9%,3 位,,7,+85.6,,起家,スコア,回数,合計
ふっとび,24 回,10.1%,,02,一発,56 回,11.7%,7 位,,8,+19.7,,東家,+8.43,51 回,430.1
ふっとばし,45 回,19.0%,,08,一盃口,41 回,8.6%,8 位,,9,-26.3,,南家,+5.65,71 回,401.1
逆転,25 回,10.5%,,09,タンヤオ,32 回,6.7%,2 位,,10,-48.3,,西家,+6.55,112 回,733.2
リーチ,409 回,30.6%,,25,七対子,29 回,6.1%,9 位,,11,+19.8,,,,,
副露,274 回,20.5%,,22,対々和,14 回,2.9%,9 位,,12,+27.1,,相手,スコア,回数,合計
リーチ成功,261 回,63.8%,,20,三暗刻,10 回,2.1%,8 位,,13,+128.3,,がくと,+125.90,1 回,125.9
副露成功,134 回,48.9%,,30,清一色,8 回,1.7%,8 位,,14,-16.7,,かこたろう,+71.75,4 回,287
アガリ,635 回,35.4%,,16,一気通貫,7 回,1.5%,9 位,,15,-46.7,,ぱぱ,+30.23,7 回,211.6
ツモ,238 回,37.5%,,17,チャンタ,5 回,1.0%,9 位,,16,-6.5,,まっつん,+27.29,21 回,573
ロン,397 回,62.5%,,13,嶺上開花,4 回,0.8%,3 位,,17,-50.9,,たかの,+14.48,59 回,854.2
放銃,253 回,14.1%,,15,ダブル立直,4 回,0.8%,4 位,,18,+0.3,,れんたろう,+11.47,99 回,1135.7
平均アガリ点,9836,6246000,,11,海底摸月,3 回,0.6%,5 位,,19,+99.8,,やがさき,+9.16,27 回,247.2
平均放銃点,-9276,-2346900,,31,国士無双,3 回,0.6%,4 位,,20,+95.0,,りくと,+8.56,110 回,942
最大ドラ数,10 個,,,12,河底撈魚,2 回,0.4%,3 位,,21,+181.8,,ともき,+8.00,1 回,8
最大点数,120200,,,26,二盃口,2 回,0.4%,2 位,,22,+74.3,,ただ,+3.77,93 回,350.8
チョンボ,2 回,0.1%,,24,混老頭,1 回,0.2%,5 位,,23,+149.2,,いっしー,+0.86,52 回,44.6
new局数,1338 回,,,29,流し満貫,1 回,0.2%,2 位,,24,+111.5,,,,,
newアガリ,479 回,,,32,四暗刻,1 回,0.2%,5 位,,25,+50.6,,,,,
,,,,34,大三元,1 回,0.2%,1 位,,26,+132.1,,,,,
,,,,45,四暗刻単騎,1 回,0.2%,1 位,,27,+34.2,,,,,
