名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,合計,回数
対戦数,4 回,,,03,ドラ,9 回,81.8%,3 位,,0,±0,,東1局,+5375,21500,4 回
総局数,32 回,,,05,ガリ,9 回,81.8%,9 位,,1,+4.0,,東2局,+1625,6500,4 回
通算スコア,+52.3,,,10,役牌,8 回,72.7%,3 位,,2,+3.7,,東3局,-2025,-8100,4 回
平均スコア,+13.08,,,01,立直,3 回,27.3%,13 位,,3,+27.8,,南1局,+4300,17200,4 回
平均順位,1.50 位,,,28,混一色,3 回,27.3%,2 位,,4,+52.3,,南2局,+2400,7200,3 回
1位,2 回,50.0%,,04,裏ドラ,2 回,18.2%,11 位,,,,,南3局,+4000,8000,2 回
2位,2 回,50.0%,,08,一盃口,2 回,18.2%,2 位,,,,,,,,
3位,0 回,0.0%,,06,ツモ,1 回,9.1%,13 位,,,,,相手,スコア,合計,回数
ふっとび,0 回,0.0%,,22,対々和,1 回,9.1%,4 位,,,,,やがさき,+64.50,129,2 回
ふっとばし,1 回,25.0%,,25,七対子,1 回,9.1%,5 位,,,,,まっつん,+15.20,30.4,2 回
逆転,1 回,25.0%,,02,一発,0 回,0.0%,12 位,,,,,だいち,+8.40,16.8,2 回
リーチ,5 回,15.6%,,07,平和,0 回,0.0%,13 位,,,,,いっしー,-9.65,-19.3,2 回
副露,9 回,28.1%,,09,タンヤオ,0 回,0.0%,12 位,,,,,,,,
リーチ成功,3 回,60.0%,,11,海底摸月,0 回,0.0%,5 位,,,,,,,,
副露成功,5 回,55.6%,,12,河底撈魚,0 回,0.0%,4 位,,,,,,,,
アガリ,11 回,34.4%,,13,嶺上開花,0 回,0.0%,6 位,,,,,,,,
ツモ,4 回,36.4%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
ロン,7 回,63.6%,,15,ダブル立直,0 回,0.0%,6 位,,,,,,,,
放銃,3 回,9.4%,,16,一気通貫,0 回,0.0%,10 位,,,,,,,,
平均アガリ点,8873,97600,,17,チャンタ,0 回,0.0%,10 位,,,,,,,,
平均放銃点,-12000,-36000,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
最大ドラ数,5 個,,,19,三色同刻,0 回,0.0%,3 位,,,,,,,,
最大点数,59500,,,20,三暗刻,0 回,0.0%,9 位,,,,,,,,
チョンボ,0 回,0.0%,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
new局数,32 回,,,23,小三元,0 回,0.0%,5 位,,,,,,,,
newアガリ,11 回,,,24,混老頭,0 回,0.0%,6 位,,,,,,,,
,,,,26,二盃口,0 回,0.0%,4 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,3 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,3 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,6 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,5 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
