名前,やがさき,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,32 回,,,05,ガリ,43 回,97.7%,2 位,,0,±0,,東1局,+544,32 回,17400
総局数,262 回,,,01,立直,30 回,68.2%,1 位,,1,-14.4,,東2局,+2250,30 回,67500
通算スコア,+8.2,,,04,裏ドラ,24 回,54.5%,1 位,,2,+37.6,,東3局,-900,27 回,-24300
平均スコア,+0.26,,,03,ドラ,23 回,52.3%,12 位,,3,-2.8,,南1局,+608,25 回,15200
平均順位,2.03 位,,,10,役牌,19 回,43.2%,13 位,,4,-44.3,,南2局,-1686,21 回,-35400
1位,11 回,34.4%,,06,ツモ,17 回,38.6%,1 位,,5,+8.2,,南3局,-1789,18 回,-32200
2位,9 回,28.1%,,02,一発,7 回,15.9%,2 位,,6,+23.2,,,,,
3位,12 回,37.5%,,28,混一色,6 回,13.6%,9 位,,7,+40.0,,起家,スコア,回数,合計
ふっとび,6 回,18.8%,,07,平和,5 回,11.4%,9 位,,8,+4.2,,東家,+5.82,13 回,75.6
ふっとばし,5 回,15.6%,,08,一盃口,4 回,9.1%,7 位,,9,+6.8,,南家,+9.26,10 回,92.6
逆転,3 回,9.4%,,09,タンヤオ,2 回,4.5%,7 位,,10,+56.8,,西家,-17.78,9 回,-160
リーチ,56 回,31.1%,,16,一気通貫,2 回,4.5%,4 位,,11,+69.3,,,,,
副露,37 回,20.6%,,11,海底摸月,1 回,2.3%,1 位,,12,+80.8,,相手,スコア,回数,合計
リーチ成功,29 回,51.8%,,17,チャンタ,1 回,2.3%,5 位,,13,+155.1,,だいち,+0.23,-42 回,-178.5
副露成功,8 回,21.6%,,22,対々和,1 回,2.3%,11 位,,14,+147.1,,たかの,+0.11,39 回,351.4
アガリ,72 回,27.5%,,25,七対子,1 回,2.3%,13 位,,15,+148.8,,れんたろう,+0.06,-4 回,-63.5
ツモ,33 回,45.8%,,30,清一色,1 回,2.3%,3 位,,16,+152.3,,ただ,-0.18,-5 回,26.8
ロン,39 回,54.2%,,31,国士無双,1 回,2.3%,1 位,,17,+178.1,,ぱぱ,-1.31,-55 回,42.1
放銃,45 回,17.2%,,12,河底撈魚,0 回,0.0%,4 位,,18,+155.0,,りくと,-1.41,35 回,-24.9
平均アガリ点,11042,795000,,13,嶺上開花,0 回,0.0%,6 位,,19,+143.6,,いっしー,-34.00,-34 回,1
平均放銃点,-8929,-401800,,14,槍槓,0 回,0.0%,1 位,,20,+152.5,,,,,
最大ドラ数,7 個,,,15,ダブル立直,0 回,0.0%,6 位,,21,+138.0,,,,,
最大点数,109300,,,18,三色同順,0 回,0.0%,1 位,,22,+101.3,,,,,
チョンボ,0 回,0.0%,,19,三色同刻,0 回,0.0%,3 位,,23,+53.8,,,,,
new局数,180 回,,,20,三暗刻,0 回,0.0%,9 位,,24,+81.5,,,,,
newアガリ,44 回,,,21,三槓子,0 回,0.0%,1 位,,25,+79.5,,,,,
,,,,23,小三元,0 回,0.0%,5 位,,26,+51.1,,,,,
,,,,24,混老頭,0 回,0.0%,6 位,,27,+64.7,,,,,
,,,,26,二盃口,0 回,0.0%,4 位,,28,+49.6,,,,,
,,,,27,純チャン,0 回,0.0%,3 位,,29,+15.4,,,,,
,,,,29,流し満貫,0 回,0.0%,3 位,,30,-30.8,,,,,
,,,,32,四暗刻,0 回,0.0%,5 位,,31,-26.8,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,32,+8.2,,,,,
,,,,34,大三元,0 回,0.0%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
