名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,132 回,,,05,ガリ,160 回,76.9%,10 位,,0,±0,,東1局,-596,130 回,-77500
総局数,1027 回,,,03,ドラ,146 回,70.2%,8 位,,1,+81.8,,東2局,-1071,126 回,-134900
通算スコア,-449.7,,,01,立直,130 回,62.5%,4 位,,2,-42.7,,東3局,+1287,122 回,157000
平均スコア,-3.41,,,10,役牌,105 回,50.5%,11 位,,3,-71.9,,南1局,-1070,109 回,-116600
平均順位,2.10 位,,,06,ツモ,75 回,36.1%,2 位,,4,+43.6,,南2局,-1992,93 回,-185300
1位,39 回,29.5%,,04,裏ドラ,66 回,31.7%,6 位,,5,+25.6,,南3局,-1786,73 回,-130400
2位,41 回,31.1%,,28,混一色,36 回,17.3%,5 位,,6,+80.6,,,,,
3位,52 回,39.4%,,07,平和,32 回,15.4%,6 位,,7,+152.6,,起家,スコア,回数,合計
ふっとび,25 回,18.9%,,02,一発,30 回,14.4%,4 位,,8,+20.3,,東家,-7.34,42 回,-308.1
ふっとばし,17 回,12.9%,,08,一盃口,29 回,13.9%,3 位,,9,-11.4,,南家,-4.64,49 回,-227.6
逆転,10 回,7.6%,,25,七対子,20 回,9.6%,4 位,,10,-64.6,,西家,+0.90,40 回,36
リーチ,228 回,29.8%,,22,対々和,16 回,7.7%,5 位,,11,+12.9,,,,,
副露,136 回,17.8%,,20,三暗刻,10 回,4.8%,3 位,,12,-20.4,,相手,スコア,回数,合計
リーチ成功,132 回,57.9%,,30,清一色,7 回,3.4%,2 位,,13,+111.0,,ぱぱ,+53.30,2 回,106.6
副露成功,52 回,38.2%,,09,タンヤオ,6 回,2.9%,9 位,,14,+16.5,,たかの,+26.97,18 回,485.5
アガリ,269 回,26.2%,,16,一気通貫,5 回,2.4%,7 位,,15,+44.0,,ともき,+26.47,3 回,79.4
ツモ,119 回,44.2%,,17,チャンタ,3 回,1.4%,7 位,,16,-9.3,,れんたろう,+3.42,45 回,154.1
ロン,150 回,55.8%,,23,小三元,2 回,1.0%,1 位,,17,+13.2,,やがさき,-0.14,9 回,-1.3
放銃,198 回,19.3%,,24,混老頭,2 回,1.0%,2 位,,18,-57.9,,だいち,-8.56,110 回,-942
