名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,28.2,局,平均点数,回数,合計
対戦数,121 回,,,05,ガリ,233 回,90.7%,5 位,,0,±0,,東1局,-1787,117 回,-209100
総局数,939 回,,,03,ドラ,199 回,77.4%,3 位,,1,+3.9,,東2局,+759,115 回,87300
通算スコア,-509.7,,,01,立直,155 回,60.3%,5 位,,2,-37.8,,東3局,-199,109 回,-21700
平均スコア,-4.21,,,10,役牌,153 回,59.5%,6 位,,3,-36.2,,南1局,-579,99 回,-57300
平均順位,2.18 位,,,04,裏ドラ,91 回,35.4%,5 位,,4,+35.0,,南2局,-2642,92 回,-243100
1位,29 回,24.0%,,06,ツモ,82 回,31.9%,5 位,,5,-45.0,,南3局,+628,74 回,46500
2位,41 回,33.9%,,07,平和,40 回,15.6%,5 位,,6,-36.0,,,,,
3位,51 回,42.1%,,28,混一色,33 回,12.8%,10 位,,7,-31.3,,起家,スコア,回数,合計
ふっとび,23 回,19.0%,,08,一盃口,30 回,11.7%,5 位,,8,+1.4,,東家,-11.83,41 回,-484.9
ふっとばし,17 回,14.0%,,02,一発,27 回,10.5%,9 位,,9,-27.0,,南家,+1.37,45 回,61.5
逆転,12 回,9.9%,,25,七対子,23 回,8.9%,5 位,,10,-33.1,,西家,+0.81,32 回,26
リーチ,269 回,29.8%,,16,一気通貫,10 回,3.9%,5 位,,11,+32.1,,,,,
副露,175 回,19.4%,,22,対々和,8 回,3.1%,8 位,,12,-23.0,,相手,スコア,回数,合計
リーチ成功,158 回,58.7%,,09,タンヤオ,7 回,2.7%,10 位,,13,-38.0,,ぱぱ,+28.18,5 回,140.9
副露成功,68 回,38.9%,,20,三暗刻,6 回,2.3%,7 位,,14,+4.0,,あさひ,+25.30,2 回,50.6
アガリ,267 回,28.4%,,11,海底摸月,4 回,1.6%,3 位,,15,+18.5,,やがさき,+23.37,3 回,70.1
ツモ,117 回,43.8%,,30,清一色,4 回,1.6%,8 位,,16,-20.7,,まっつん,+10.76,18 回,193.7
ロン,150 回,56.2%,,13,嶺上開花,3 回,1.2%,1 位,,17,-35.5,,いっしー,+8.88,12 回,106.6
放銃,189 回,20.1%,,17,チャンタ,3 回,1.2%,8 位,,18,-27.1,,りくと,-3.42,45 回,-154.1
平均アガリ点,10486,2799800,,32,四暗刻,2 回,0.8%,3 位,,19,+22.6,,ともき,-3.97,3 回,-11.9
平均放銃点,-9495,-1794600,,12,河底撈魚,1 回,0.4%,4 位,,20,+3.2,,だいち,-11.80,97 回,-1144.6
最大ドラ数,7 個,,,15,ダブル立直,1 回,0.4%,6 位,,21,+28.0,,たかの,-11.85,15 回,-177.7
最大点数,124700,,,23,小三元,1 回,0.4%,3 位,,22,+39.1,,ただ,-14.18,40 回,-567.3
チョンボ,7 回,0.7%,,24,混老頭,1 回,0.4%,3 位,,23,+2.0,,がくと,-17.20,2 回,-34.4
new局数,902 回,,,29,流し満貫,1 回,0.4%,1 位,,24,+32.7,,,,,
newアガリ,257 回,,,31,国士無双,1 回,0.4%,6 位,,25,-48.7,,,,,
,,,,14,槍槓,0 回,0.0%,1 位,,26,-39.4,,,,,
