,通算スコア,,平均スコア,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,ふっとばし率,,逆転率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最大ドラ数,,最大点数,,チョンボ数,
相関,,,,,0.9880,,0.9477,,0.9782,,0.9544,,0.8923,,0.4921,,0.1534,,0.9403,,0.9816,,0.4043,,0.7363,,-0.4556,,0.8694,,0.5354,,0.1878,,0.7408,,0.8345,,0.1140,
1位,だいち,+1540.3,あさひ,+7.83,だいち,1.77 位,あさひ,50.0%,だいち,20.9%,あさひ,38.0%,あさひ,8.0%,ともき,12333,かこたろう,-8240,ともき,0.0%,がくと,20.0%,がくと,20.0%,ともき,42.1%,まっつん,40.3%,がくと,75.0%,ともき,100.0%,かこたろう,100.0%,だいち,10 個,れんたろう,124700,全体,20 回
2位,いっしー,+256.2,だいち,+6.70,あさひ,1.83 位,だいち,43.9%,ともき,25.0%,だいち,35.5%,だいち,14.3%,りくと,11045,まっつん,-8587,だいち,10.4%,だいち,19.6%,だいち,10.4%,あさひ,42.0%,いっしー,31.5%,だいち,63.8%,あさひ,50.0%,やがさき,45.8%,りくと,10 個,全体,124700,れんたろう,7 回
3位,ただ,+217.0,いっしー,+4.20,いっしー,1.92 位,ただ,36.9%,いっしー,26.2%,いっしー,34.7%,いっしー,15.6%,やがさき,11042,やがさき,-8929,いっしー,11.5%,いっしー,18.0%,れんたろう,10.3%,やがさき,31.1%,ぱぱ,28.0%,あさひ,61.9%,だいち,49.0%,たかの,45.2%,全体,10 個,だいち,120200,りくと,4 回
4位,あさひ,+47.0,ただ,+1.95,ただ,1.94 位,いっしー,34.4%,ただ,30.6%,全体,30.1%,ただ,16.3%,れんたろう,10541,いっしー,-8993,ただ,11.7%,ただ,17.1%,ただ,9.9%,だいち,30.7%,たかの,26.7%,れんたろう,59.2%,いっしー,40.6%,ただ,44.8%,ただ,9 個,いっしー,118000,ただ,3 回
5位,やがさき,+8.2,やがさき,+0.26,全体,2.00 位,やがさき,34.4%,全体,33.3%,ただ,30.1%,ともき,16.7%,ただ,10512,ただ,-9276,全体,15.9%,あさひ,16.7%,やがさき,9.4%,ただ,30.6%,全体,22.0%,いっしー,58.3%,全体,39.7%,いっしー,44.4%,いっしー,7 個,ただ,109300,だいち,2 回
6位,全体,-5.0,全体,-0.01,ともき,2.00 位,全体,33.3%,あさひ,33.3%,れんたろう,29.0%,やがさき,17.2%,全体,10187,だいち,-9316,あさひ,16.7%,全体,15.9%,ぱぱ,9.1%,れんたろう,30.3%,ただ,21.6%,全体,58.0%,りくと,38.8%,れんたろう,43.9%,やがさき,7 個,やがさき,109300,たかの,2 回
7位,ともき,-15.5,りくと,-3.37,やがさき,2.03 位,りくと,29.8%,やがさき,37.5%,やがさき,27.5%,全体,17.3%,だいち,9889,全体,-9425,やがさき,18.8%,やがさき,15.6%,全体,8.5%,りくと,29.6%,だいち,20.6%,りくと,57.6%,れんたろう,38.6%,ぱぱ,43.8%,れんたろう,7 個,たかの,103200,いっしー,1 回
8位,がくと,-86.4,ともき,-3.88,りくと,2.09 位,ともき,25.0%,りくと,38.9%,がくと,27.0%,たかの,18.3%,いっしー,9726,ぱぱ,-9550,りくと,19.1%,れんたろう,14.5%,りくと,7.6%,全体,28.9%,やがさき,20.6%,ただ,55.5%,ただ,38.3%,りくと,43.6%,たかの,6 個,りくと,97700,まっつん,1 回
9位,かこたろう,-132.1,れんたろう,-3.88,れんたろう,2.17 位,れんたろう,24.8%,がくと,40.0%,たかの,26.3%,りくと,19.1%,まっつん,9544,れんたろう,-9570,たかの,19.4%,たかの,13.4%,たかの,6.0%,たかの,26.1%,れんたろう,19.8%,やがさき,51.8%,たかの,37.1%,全体,41.6%,まっつん,5 個,あさひ,78000,やがさき,0 回
