名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,24 回,,,03,ドラ,45 回,72.58%,4 位,,0,±0,,東1局,-125,24 回,-3000
総局数,204 回,,,10,役牌,34 回,54.84%,3 位,,1,-5.1,,東2局,-42,24 回,-1000
通算スコア,-0.0,,,52,赤ドラ,30 回,48.39%,4 位,,2,+40.4,,東3局,+190,21 回,4000
平均スコア,-0.00,,,01,立直,28 回,45.16%,4 位,,3,±0,,南1局,±0,21 回,0
平均順位,2.00 位,,,04,裏ドラ,19 回,30.65%,3 位,,4,+2.2,,南2局,-48,21 回,-1000
1位,8 回,33.3%,,06,ツモ,13 回,20.97%,4 位,,5,-37.0,,南3局,+56,18 回,1000
2位,8 回,33.3%,,28,混一色,13 回,20.97%,3 位,,6,±0,,,,,
3位,8 回,33.3%,,07,平和,11 回,17.74%,4 位,,7,+73.3,,起家,スコア,回数,合計
ふっとび,1 回,4.2%,,02,一発,8 回,12.90%,2 位,,8,+19.7,,東家,-31.24,8 回,-249.9
ふっとばし,1 回,4.2%,,25,七対子,6 回,9.68%,3 位,,9,-0.0,,南家,+15.23,8 回,121.8
逆転,5 回,20.8%,,08,一盃口,4 回,6.45%,3 位,,10,+40.1,,西家,+16.01,8 回,128.1
リーチ,57 回,27.9%,,09,タンヤオ,3 回,4.84%,2 位,,11,-11.1,,,,,
副露,44 回,21.6%,,16,一気通貫,2 回,3.23%,3 位,,12,-0.0,,相手,スコア,回数,合計
リーチ成功,29 回,50.9%,,30,清一色,1 回,1.61%,2 位,,13,-42.1,,ぱぱ,+123.90,2 回,247.8
副露成功,18 回,40.9%,,11,海底摸月,0 回,0.00%,1 位,,14,+18.8,,れんたろう,+69.98,4 回,279.9
アガリ,62 回,30.4%,,12,河底撈魚,0 回,0.00%,1 位,,15,-0.0,,ただ,+14.63,12 回,175.5
ツモ,18 回,29.0%,,13,嶺上開花,0 回,0.00%,1 位,,16,+90.9,,たかの,+5.78,4 回,23.1
ロン,44 回,71.0%,,14,槍槓,0 回,0.00%,1 位,,17,+8.3,,りくと,+3.50,12 回,42
放銃,43 回,21.1%,,15,ダブル立直,0 回,0.00%,1 位,,18,-0.0,,だいち,-54.88,14 回,-768.3
平均アガリ点,8124,503700,,17,チャンタ,0 回,0.00%,1 位,,19,+31.0,,,,,
平均放銃点,-7849,-337500,,18,三色同順,0 回,0.00%,1 位,,20,+0.8,,,,,
最大ドラ数,7 個,,,19,三色同刻,0 回,0.00%,1 位,,21,-0.0,,,,,
最大点数,105900,,,20,三暗刻,0 回,0.00%,1 位,,22,+23.7,,,,,
チョンボ,2 回,1.0%,,21,三槓子,0 回,0.00%,1 位,,23,+26.3,,,,,
new局数,204 回,,,22,対々和,0 回,0.00%,1 位,,24,-0.0,,,,,
newアガリ,62 回,,,23,小三元,0 回,0.00%,1 位,,,,,,,,
,,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
