名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,01,立直,6 回,85.7%,2 位,,0,±0,,東1局,+12000,2 回,24000
総局数,21 回,,,03,ドラ,6 回,85.7%,2 位,,1,-10.7,,東2局,-3350,2 回,-6700
通算スコア,-15.7,,,02,一発,4 回,57.1%,1 位,,2,-15.7,,東3局,-5500,2 回,-11000
平均スコア,-7.85,,,04,裏ドラ,4 回,57.1%,3 位,,,,,南1局,-400,2 回,-800
平均順位,2.00 位,,,05,ガリ,4 回,57.1%,3 位,,,,,南2局,+1500,2 回,3000
1位,0 回,0.0%,,06,ツモ,3 回,42.9%,2 位,,,,,南3局,-12100,2 回,-24200
2位,2 回,100.0%,,10,役牌,3 回,42.9%,2 位,,,,,,,,
3位,0 回,0.0%,,07,平和,2 回,28.6%,1 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,22,対々和,1 回,14.3%,1 位,,,,,東家,-5.00,1 回,-5
ふっとばし,0 回,0.0%,,28,混一色,1 回,14.3%,3 位,,,,,南家,±0,0 回,0
逆転,0 回,0.0%,,08,一盃口,0 回,0.0%,3 位,,,,,西家,-10.70,1 回,-10.7
リーチ,12 回,57.1%,,09,タンヤオ,0 回,0.0%,1 位,,,,,,,,
副露,2 回,9.5%,,11,海底摸月,0 回,0.0%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,6 回,50.0%,,12,河底撈魚,0 回,0.0%,1 位,,,,,あやめ,+20.10,2 回,40.2
副露成功,1 回,50.0%,,13,嶺上開花,0 回,0.0%,1 位,,,,,はんまー,-43.65,2 回,-87.3
アガリ,7 回,33.3%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
ツモ,4 回,57.1%,,15,ダブル立直,0 回,0.0%,1 位,,,,,,,,
ロン,3 回,42.9%,,16,一気通貫,0 回,0.0%,1 位,,,,,,,,
放銃,6 回,28.6%,,17,チャンタ,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,7729,54100,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
平均放銃点,-7800,-46800,,19,三色同刻,0 回,0.0%,1 位,,,,,,,,
最大ドラ数,4 個,,,20,三暗刻,0 回,0.0%,1 位,,,,,,,,
最大点数,20000,,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.0%,1 位,,,,,,,,
new局数,21 回,,,24,混老頭,0 回,0.0%,1 位,,,,,,,,
newアガリ,7 回,,,25,七対子,0 回,0.0%,4 位,,,,,,,,
,,,,26,二盃口,0 回,0.0%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.0%,1 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.0%,3 位,,,,,,,,
