名前,はんまー,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,1 回,,,05,ガリ,7 回,140.0%,1 位,,0,±0,,東1局,-3000,1 回,-3000
総局数,9 回,,,04,裏ドラ,5 回,100.0%,1 位,,1,+35.1,,東2局,+13600,1 回,13600
通算スコア,+35.1,,,01,立直,4 回,80.0%,3 位,,,,,東3局,+9000,1 回,9000
平均スコア,+35.10,,,03,ドラ,2 回,40.0%,3 位,,,,,南1局,-1000,1 回,-1000
平均順位,1.00 位,,,02,一発,1 回,20.0%,3 位,,,,,南2局,+6500,1 回,6500
1位,1 回,100.0%,,06,ツモ,1 回,20.0%,3 位,,,,,南3局,+10000,1 回,10000
2位,0 回,0.0%,,10,役牌,1 回,20.0%,3 位,,,,,,,,
3位,0 回,0.0%,,22,対々和,1 回,20.0%,1 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,25,七対子,1 回,20.0%,1 位,,,,,東家,±0,0 回,0
ふっとばし,0 回,0.0%,,28,混一色,1 回,20.0%,1 位,,,,,南家,+35.10,1 回,35.1
逆転,0 回,0.0%,,07,平和,0 回,0.0%,3 位,,,,,西家,±0,0 回,0
リーチ,5 回,55.6%,,08,一盃口,0 回,0.0%,1 位,,,,,,,,
副露,1 回,11.1%,,09,タンヤオ,0 回,0.0%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,4 回,80.0%,,11,海底摸月,0 回,0.0%,1 位,,,,,あやめ,+59.50,1 回,59.5
副露成功,1 回,100.0%,,12,河底撈魚,0 回,0.0%,1 位,,,,,だいち,+45.80,1 回,45.8
アガリ,5 回,55.6%,,13,嶺上開花,0 回,0.0%,1 位,,,,,,,,
ツモ,1 回,20.0%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
ロン,4 回,80.0%,,15,ダブル立直,0 回,0.0%,1 位,,,,,,,,
放銃,0 回,0.0%,,16,一気通貫,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,8120,40600,,17,チャンタ,0 回,0.0%,1 位,,,,,,,,
平均放銃点,0,0,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
最大ドラ数,4 個,,,19,三色同刻,0 回,0.0%,1 位,,,,,,,,
最大点数,60100,,,20,三暗刻,0 回,0.0%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
new局数,9 回,,,23,小三元,0 回,0.0%,1 位,,,,,,,,
newアガリ,5 回,,,24,混老頭,0 回,0.0%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.0%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.0%,1 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.0%,1 位,,,,,,,,
