名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,05,ガリ,11 回,122.2%,2 位,,0,±0,,東1局,±0,3 回,0
総局数,27 回,,,01,立直,8 回,88.9%,2 位,,1,-10.7,,東2局,±0,3 回,0
通算スコア,+0.0,,,04,裏ドラ,7 回,77.8%,2 位,,2,-35.1,,東3局,±0,3 回,0
平均スコア,+0.00,,,03,ドラ,5 回,55.6%,2 位,,3,+0.0,,南1局,±0,3 回,0
平均順位,2.00 位,,,02,一発,3 回,33.3%,2 位,,,,,南2局,±0,3 回,0
1位,1 回,33.3%,,06,ツモ,3 回,33.3%,2 位,,,,,南3局,±0,3 回,0
2位,1 回,33.3%,,07,平和,2 回,22.2%,2 位,,,,,,,,
3位,1 回,33.3%,,10,役牌,2 回,22.2%,2 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,22,対々和,1 回,11.1%,2 位,,,,,東家,-24.40,1 回,-24.4
ふっとばし,0 回,0.0%,,25,七対子,1 回,11.1%,2 位,,,,,南家,+35.10,1 回,35.1
逆転,0 回,0.0%,,28,混一色,1 回,11.1%,2 位,,,,,西家,-10.70,1 回,-10.7
リーチ,14 回,51.9%,,08,一盃口,0 回,0.0%,1 位,,,,,,,,
副露,6 回,22.2%,,09,タンヤオ,0 回,0.0%,1 位,,,,,相手,スコア,回数,合計
リーチ成功,8 回,57.1%,,11,海底摸月,0 回,0.0%,1 位,,,,,あやめ,+36.60,2 回,73.2
副露成功,1 回,16.7%,,12,河底撈魚,0 回,0.0%,1 位,,,,,だいち,+16.05,2 回,32.1
アガリ,9 回,33.3%,,13,嶺上開花,0 回,0.0%,1 位,,,,,はんまー,-52.65,2 回,-105.3
ツモ,3 回,33.3%,,14,槍槓,0 回,0.0%,1 位,,,,,,,,
ロン,6 回,66.7%,,15,ダブル立直,0 回,0.0%,1 位,,,,,,,,
放銃,6 回,22.2%,,16,一気通貫,0 回,0.0%,1 位,,,,,,,,
平均アガリ点,7500,67500,,17,チャンタ,0 回,0.0%,1 位,,,,,,,,
平均放銃点,-6750,-40500,,18,三色同順,0 回,0.0%,1 位,,,,,,,,
最大ドラ数,4 個,,,19,三色同刻,0 回,0.0%,1 位,,,,,,,,
最大点数,60100,,,20,三暗刻,0 回,0.0%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,21,三槓子,0 回,0.0%,1 位,,,,,,,,
new局数,27 回,,,23,小三元,0 回,0.0%,1 位,,,,,,,,
newアガリ,9 回,,,24,混老頭,0 回,0.0%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.0%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.0%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.0%,1 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.0%,1 位,,,,,,,,
