名前,たいせい,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,7 回,,,01,立直,11 回,78.57%,1 位,,0,±0,1500,,東1局,+5029,7 回,35200
総局数,42 回,,,03,ドラ,10 回,71.43%,4 位,,1,-3.2,1499,,東2局,-2783,6 回,-16700
通算スコア,+25.0,,,52,赤ドラ,8 回,57.14%,2 位,,2,-26.4,1495,,東3局,-2733,6 回,-16400
平均スコア,+3.57,,,06,ツモ,6 回,42.86%,1 位,,3,+23.2,1504,,南1局,+6533,3 回,19600
レーティング,1504,,,04,裏ドラ,5 回,35.71%,4 位,,4,+52.1,1509,,南2局,-3800,4 回,-15200
平均順位,1.86 位,,,02,一発,2 回,14.29%,3 位,,5,+1.1,1500,,南3局,+5000,4 回,20000
1位,3 回,42.9%,,07,平和,2 回,14.29%,1 位,,6,+23.6,1504,,,,,
2位,2 回,28.6%,,10,役牌,2 回,14.29%,4 位,,7,+25.0,1504,,起家,スコア,回数,合計
3位,2 回,28.6%,,25,七対子,2 回,14.29%,2 位,,,,,,東家,+13.20,2 回,26.4
1位スコア,+33.67,+101.00,,09,タンヤオ,1 回,7.14%,2 位,,,,,,南家,+16.07,3 回,48.2
2位スコア,-0.90,-1.80,,11,海底摸月,1 回,7.14%,1 位,,,,,,西家,-24.80,2 回,-49.6
3位スコア,-37.10,-74.20,,08,一盃口,0 回,0.00%,3 位,,,,,,,,,
バランス,-1.44,,,12,河底撈魚,0 回,0.00%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,14.3%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,ともまさ,+14.93,7 回,104.5
リーチ,16 回,38.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,だいち,-4.21,7 回,-29.5
副露,4 回,9.5%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,11 回,68.8%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
副露成功,2 回,50.0%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
アガリ,14 回,33.3%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
放銃,6 回,14.3%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
ツモ,7 回,50.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,7 回,50.0%,,22,対々和,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,11 回,78.6%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,2 回,14.3%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,1 回,7.1%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,7514,105200,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,8183,98200,,28,混一色,0 回,0.00%,3 位,,,,,,,,,
副露アガリ点,3500,7000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-9367,-56200,,30,清一色,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,11 回,11 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,74600,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,3 回,21.4%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,2 回,14.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,2 回,14.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,14.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,1 回,7.1%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,14.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,14.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
