名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,5 回,,,03,ドラ,9 回,81.82%,3 位,,0,±0,1500,,東1局,+1540,5 回,7700
総局数,32 回,,,04,裏ドラ,9 回,81.82%,1 位,,1,-26.3,1495,,東2局,+350,4 回,1400
通算スコア,+27.8,,,10,役牌,7 回,63.64%,1 位,,2,-38.4,1493,,東3局,+4825,4 回,19300
平均スコア,+5.56,,,01,立直,6 回,54.55%,4 位,,3,-38.7,1493,,南1局,-3333,3 回,-10000
レーティング,1505,,,52,赤ドラ,5 回,45.45%,4 位,,4,-22.2,1496,,南2局,+2667,3 回,8000
平均順位,2.00 位,,,28,混一色,4 回,36.36%,1 位,,5,+27.8,1505,,南3局,-5533,3 回,-16600
1位,1 回,20.0%,,02,一発,3 回,27.27%,1 位,,,,,,,,,
2位,3 回,60.0%,,06,ツモ,2 回,18.18%,4 位,,,,,,起家,スコア,回数,合計
3位,1 回,20.0%,,25,七対子,2 回,18.18%,2 位,,,,,,東家,+50.00,1 回,50
1位スコア,+50.00,+50.00,,07,平和,1 回,9.09%,3 位,,,,,,南家,-12.10,1 回,-12.1
2位スコア,+1.37,+4.10,,08,一盃口,1 回,9.09%,1 位,,,,,,西家,-3.37,3 回,-10.1
3位スコア,-26.30,-26.30,,09,タンヤオ,1 回,9.09%,1 位,,,,,,,,,
バランス,+8.36,,,22,対々和,1 回,9.09%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,11,海底摸月,0 回,0.00%,3 位,,,,,,ともまさ,+11.34,5 回,56.7
リーチ,9 回,28.1%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,たいせい,+5.34,5 回,26.7
副露,10 回,31.3%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,6 回,66.7%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,4 回,40.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
アガリ,11 回,34.4%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
放銃,5 回,15.6%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
ツモ,3 回,27.3%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,8 回,72.7%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,6 回,54.5%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,4 回,36.4%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,1 回,9.1%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,11000,121000,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,13143,92000,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,7250,29000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-7740,-38700,,30,清一色,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,3 回,3 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,17 回,17 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,4 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,75000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,9.1%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,1 回,9.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,4 回,36.4%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,18.2%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,18.2%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,9.1%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
