名前,ともまさ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,7 回,,,03,ドラ,12 回,100.00%,2 位,,0,±0,1500,,東1局,-6129,7 回,-42900
総局数,42 回,,,01,立直,8 回,66.67%,2 位,,1,+29.5,1505,,東2局,+3417,6 回,20500
通算スコア,-79.5,,,52,赤ドラ,8 回,66.67%,1 位,,2,+64.8,1512,,東3局,-3067,6 回,-18400
平均スコア,-11.36,,,04,裏ドラ,5 回,41.67%,3 位,,3,+15.5,1503,,南1局,-3200,3 回,-9600
レーティング,1486,,,10,役牌,5 回,41.67%,2 位,,4,-29.9,1495,,南2局,+1700,4 回,6800
平均順位,2.14 位,,,06,ツモ,3 回,25.00%,3 位,,5,-28.9,1495,,南3局,+1150,4 回,4600
1位,2 回,28.6%,,02,一発,1 回,8.33%,4 位,,6,-28.1,1495,,,,,
2位,2 回,28.6%,,25,七対子,1 回,8.33%,4 位,,7,-79.5,1486,,起家,スコア,回数,合計
3位,3 回,42.9%,,07,平和,0 回,0.00%,4 位,,,,,,東家,-5.03,3 回,-15.1
1位スコア,+32.40,+64.80,,08,一盃口,0 回,0.00%,3 位,,,,,,南家,-33.23,3 回,-99.7
2位スコア,+0.90,+1.80,,09,タンヤオ,0 回,0.00%,4 位,,,,,,西家,+35.30,1 回,35.3
3位スコア,-48.70,-146.10,,11,海底摸月,0 回,0.00%,3 位,,,,,,,,,
バランス,-5.13,,,12,河底撈魚,0 回,0.00%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,3 回,42.9%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,たいせい,-14.93,7 回,-104.5
リーチ,16 回,38.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,だいち,-19.14,7 回,-134
副露,11 回,26.2%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,8 回,50.0%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
副露成功,2 回,18.2%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
アガリ,12 回,28.6%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
放銃,11 回,26.2%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
ツモ,4 回,33.3%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,8 回,66.7%,,22,対々和,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,8 回,66.7%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,2 回,16.7%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,2 回,16.7%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,7642,91700,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,7110,71100,,28,混一色,0 回,0.00%,3 位,,,,,,,,,
副露アガリ点,10300,20600,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-8255,-90800,,30,清一色,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,2 回,0 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,18 回,0 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,4 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,60300,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,1 回,2.4%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,2 回,16.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,5 回,41.7%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,16.7%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,1 回,8.3%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,16.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
