名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,15 回,,,03,ドラ,28 回,90.32%,2 位,,0,±0,1500,,東1局,±0,15 回,0
総局数,96 回,,,01,立直,21 回,67.74%,3 位,,1,+29.5,1505,,東2局,±0,12 回,0
通算スコア,+0.0,,,52,赤ドラ,19 回,61.29%,3 位,,2,+26.3,1505,,東3局,±0,12 回,0
平均スコア,+0.00,,,04,裏ドラ,18 回,58.06%,2 位,,3,±0,1500,,南1局,±0,9 回,0
レーティング,1500,,,10,役牌,12 回,38.71%,3 位,,4,+35.3,1506,,南2局,±0,9 回,0
平均順位,2.00 位,,,06,ツモ,11 回,35.48%,2 位,,5,+12.1,1502,,南3局,±0,9 回,0
1位,5 回,33.3%,,02,一発,6 回,19.35%,3 位,,6,-0.0,1500,,,,,
2位,5 回,33.3%,,25,七対子,5 回,16.13%,3 位,,7,+49.6,1509,,起家,スコア,回数,合計
3位,5 回,33.3%,,28,混一色,4 回,12.90%,2 位,,8,+0.3,1500,,東家,+12.10,5 回,60.5
1位スコア,+38.66,+193.30,,07,平和,3 回,9.68%,2 位,,9,+0.0,1500,,南家,-6.94,5 回,-34.7
2位スコア,+0.38,+1.90,,08,一盃口,1 回,3.23%,2 位,,10,-45.4,1492,,西家,-5.16,5 回,-25.8
3位スコア,-39.04,-195.20,,09,タンヤオ,1 回,3.23%,2 位,,11,-16.5,1497,,,,,
バランス,±0,,,11,海底摸月,1 回,3.23%,2 位,,12,+0.0,1500,,相手,スコア,回数,合計
ふっとび,3 回,20.0%,,22,対々和,1 回,3.23%,2 位,,13,+1.0,1500,,ともまさ,+8.67,10 回,86.7
リーチ,34 回,35.4%,,12,河底撈魚,0 回,0.00%,1 位,,14,-50.0,1491,,たいせい,-0.33,10 回,-3.3
副露,21 回,21.9%,,13,嶺上開花,0 回,0.00%,1 位,,15,+0.0,1500,,だいち,-8.34,10 回,-83.4
リーチ成功,21 回,61.8%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,6 回,28.6%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
アガリ,31 回,32.3%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
放銃,17 回,17.7%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
ツモ,14 回,45.2%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,17 回,54.8%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,21 回,67.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,6 回,19.4%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,4 回,12.9%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,9587,297200,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,9768,244200,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,8833,53000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-8635,-146800,,30,清一色,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,3 回,3 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,15 回,7 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,75000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,2 回,6.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,2 回,6.5%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,6 回,19.4%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,4 回,12.9%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,6 回,19.4%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,6 回,19.4%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,4 回,12.9%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,3.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
