名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,7 回,,,03,ドラ,7 回,50.00%,4 位,,0,±0,,東1局,+1586,7 回,11100
総局数,76 回,,,52,赤ドラ,7 回,50.00%,2 位,,1,+65.5,,東2局,-1457,7 回,-10200
通算スコア,+48.9,,,06,門前清自摸和,5 回,35.71%,1 位,,2,+1.6,,東3局,+914,7 回,6400
平均スコア,+6.99,,,10,役牌,5 回,35.71%,5 位,,3,+75.2,,東4局,-700,7 回,-4900
平均順位,2.43 位,,,09,タンヤオ,4 回,28.57%,1 位,,4,+55.1,,南1局,-57,7 回,-400
1位,3 回,42.9%,,01,立直,3 回,21.43%,6 位,,5,+36.1,,南2局,-71,7 回,-500
2位,0 回,0.0%,,08,一盃口,2 回,14.29%,1 位,,6,-19.2,,南3局,-1686,7 回,-11800
3位,2 回,28.6%,,17,チャンタ,1 回,7.14%,1 位,,7,+48.9,,南4局,+3457,7 回,24200
4位,2 回,28.6%,,18,三色同順,1 回,7.14%,2 位,,,,,,,,
連対,3 回,42.9%,,20,三暗刻,1 回,7.14%,1 位,,,,,位置,スコア,回数,合計
1位スコア,+69.07,+207.20,,28,混一色,1 回,7.14%,1 位,,,,,東家,+65.50,1 回,65.5
2位スコア,±0,±0,,30,清一色,1 回,7.14%,1 位,,,,,南家,-37.15,2 回,-74.3
3位スコア,-19.55,-39.10,,02,一発,0 回,0.00%,6 位,,,,,西家,+26.75,2 回,53.5
4位スコア,-59.60,-119.20,,04,裏ドラ,0 回,0.00%,5 位,,,,,北家,+2.10,2 回,4.2
バランス,-2.52,,,07,平和,0 回,0.00%,6 位,,,,,,,,
ふっとび,1 回,14.3%,,11,海底摸月,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,10 回,13.2%,,12,河底撈魚,0 回,0.00%,1 位,,,,,わさび,+32.95,2 回,65.9
副露,11 回,14.5%,,13,嶺上開花,0 回,0.00%,1 位,,,,,りくと,+17.04,7 回,119.3
リーチ成功,3 回,30.0%,,14,槍槓,0 回,0.00%,1 位,,,,,ただ,+16.72,5 回,83.6
副露成功,7 回,63.6%,,15,ダブル立直,0 回,0.00%,1 位,,,,,てんちゃん,-9.03,7 回,-63.2
アガリ,14 回,18.4%,,16,一気通貫,0 回,0.00%,4 位,,,,,,,,
放銃,9 回,11.8%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ツモ,7 回,50.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ロン,7 回,50.0%,,22,対々和,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,3 回,21.4%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
副露アガリ,7 回,50.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,4 回,28.6%,,25,七対子,0 回,0.00%,4 位,,,,,,,,
平均アガリ点,6593,92300,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
門前アガリ点,5900,41300,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
副露アガリ点,7286,51000,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-5233,-47100,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,17 回,8 回,,34,大三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,4 個,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
最高点,53600,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
1翻,2 回,14.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
2翻,3 回,21.4%,,41,天和,0 回,0.00%,1 位,,,,,,,,
3翻,2 回,14.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,
4翻,5 回,35.7%,,,,,,,,,,,,,,
5翻,1 回,7.1%,,,,,,,,,,,,,,
6翻,1 回,7.1%,,,,,,,,,,,,,,
7翻,0 回,0.0%,,,,,,,,,,,,,,
8翻,0 回,0.0%,,,,,,,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
