名前,てんちゃん,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,8 回,,,03,ドラ,16 回,80.00%,1 位,,0,±0,,東1局,+3188,8 回,25500
総局数,89 回,,,01,立直,12 回,60.00%,2 位,,1,-16.4,,東2局,-1025,8 回,-8200
通算スコア,+94.1,,,07,平和,8 回,40.00%,2 位,,2,-3.0,,東3局,+363,8 回,2900
平均スコア,+11.76,,,10,役牌,8 回,40.00%,2 位,,3,-57.2,,東4局,+1550,8 回,12400
平均順位,2.25 位,,,52,赤ドラ,7 回,35.00%,6 位,,4,+1.3,,南1局,+3450,8 回,27600
1位,2 回,25.0%,,02,一発,4 回,20.00%,2 位,,5,+21.3,,南2局,+1450,8 回,11600
2位,3 回,37.5%,,04,裏ドラ,4 回,20.00%,1 位,,6,+89.1,,南3局,-2575,8 回,-20600
3位,2 回,25.0%,,09,タンヤオ,3 回,15.00%,2 位,,7,+71.1,,南4局,+363,8 回,2900
4位,1 回,12.5%,,06,門前清自摸和,2 回,10.00%,6 位,,8,+94.1,,,,,
連対,5 回,62.5%,,18,三色同順,2 回,10.00%,1 位,,,,,位置,スコア,回数,合計
1位スコア,+63.15,+126.30,,08,一盃口,1 回,5.00%,5 位,,,,,東家,+16.70,2 回,33.4
2位スコア,+18.80,+56.40,,16,一気通貫,1 回,5.00%,2 位,,,,,南家,-15.60,2 回,-31.2
3位スコア,-17.20,-34.40,,27,純チャン,1 回,5.00%,1 位,,,,,西家,-17.20,2 回,-34.4
4位スコア,-54.20,-54.20,,11,海底摸月,0 回,0.00%,1 位,,,,,北家,+63.15,2 回,126.3
バランス,+2.64,,,12,河底撈魚,0 回,0.00%,1 位,,,,,,,,
ふっとび,0 回,0.0%,,13,嶺上開花,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,16 回,18.0%,,14,槍槓,0 回,0.00%,1 位,,,,,わさび,+25.37,3 回,76.1
副露,17 回,19.1%,,15,ダブル立直,0 回,0.00%,1 位,,,,,りくと,+19.59,8 回,156.7
リーチ成功,12 回,75.0%,,17,チャンタ,0 回,0.00%,3 位,,,,,ただ,+15.07,6 回,90.4
副露成功,7 回,41.2%,,19,三色同刻,0 回,0.00%,1 位,,,,,だいち,+9.03,7 回,63.2
アガリ,20 回,22.5%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
放銃,9 回,10.1%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ツモ,3 回,15.0%,,22,対々和,0 回,0.00%,1 位,,,,,,,,
ロン,17 回,85.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,12 回,60.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
副露アガリ,7 回,35.0%,,25,七対子,0 回,0.00%,4 位,,,,,,,,
ダマアガリ,1 回,5.0%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,6850,137000,,28,混一色,0 回,0.00%,5 位,,,,,,,,
門前アガリ点,9100,118300,,30,清一色,0 回,0.00%,3 位,,,,,,,,
副露アガリ点,2671,18700,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-5122,-46100,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,3 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,21 回,12 回,,34,大三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,5 個,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
最高点,47800,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
1翻,1 回,5.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
2翻,5 回,25.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
3翻,5 回,25.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
4翻,3 回,15.0%,,,,,,,,,,,,,,
5翻,3 回,15.0%,,,,,,,,,,,,,,
6翻,2 回,10.0%,,,,,,,,,,,,,,
7翻,1 回,5.0%,,,,,,,,,,,,,,
8翻,0 回,0.0%,,,,,,,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
