名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,5 回,62.50%,3 位,,0,±0,,東1局,-1680,5 回,-8400
総局数,54 回,,,52,赤ドラ,5 回,62.50%,1 位,,1,-65.7,,東2局,+200,5 回,1000
通算スコア,-19.9,,,03,ドラ,3 回,37.50%,5 位,,2,-1.0,,東3局,-1700,5 回,-8500
平均スコア,-3.98,,,06,門前清自摸和,2 回,25.00%,2 位,,3,-32.4,,東4局,-740,5 回,-3700
平均順位,2.60 位,,,07,平和,2 回,25.00%,2 位,,4,-83.6,,南1局,-2820,5 回,-14100
1位,2 回,40.0%,,10,役牌,2 回,25.00%,2 位,,5,-19.9,,南2局,-2000,5 回,-10000
2位,0 回,0.0%,,02,一発,1 回,12.50%,4 位,,,,,南3局,+6580,5 回,32900
3位,1 回,20.0%,,04,裏ドラ,1 回,12.50%,4 位,,,,,南4局,-2820,5 回,-14100
4位,2 回,40.0%,,09,タンヤオ,1 回,12.50%,2 位,,,,,,,,
連対,2 回,40.0%,,25,七対子,1 回,12.50%,1 位,,,,,位置,スコア,回数,合計
1位スコア,+64.20,+128.40,,08,一盃口,0 回,0.00%,5 位,,,,,東家,-31.40,1 回,-31.4
2位スコア,±0,±0,,11,海底摸月,0 回,0.00%,1 位,,,,,南家,-58.45,2 回,-116.9
3位スコア,-31.40,-31.40,,12,河底撈魚,0 回,0.00%,1 位,,,,,西家,+64.20,2 回,128.4
4位スコア,-58.45,-116.90,,13,嶺上開花,0 回,0.00%,1 位,,,,,北家,±0,0 回,0
バランス,-6.41,,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ふっとび,1 回,20.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,12 回,22.2%,,16,一気通貫,0 回,0.00%,4 位,,,,,ただ,+5.52,5 回,27.6
副露,12 回,22.2%,,17,チャンタ,0 回,0.00%,3 位,,,,,てんちゃん,-8.24,5 回,-41.2
リーチ成功,5 回,41.7%,,18,三色同順,0 回,0.00%,3 位,,,,,だいち,-11.20,5 回,-56
副露成功,2 回,16.7%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
アガリ,8 回,14.8%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
放銃,9 回,16.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ツモ,3 回,37.5%,,22,対々和,0 回,0.00%,1 位,,,,,,,,
ロン,5 回,62.5%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,5 回,62.5%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
副露アガリ,2 回,25.0%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,1 回,12.5%,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,6863,54900,,28,混一色,0 回,0.00%,4 位,,,,,,,,
門前アガリ点,8483,50900,,30,清一色,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,2000,4000,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-6022,-54200,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,4 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,12 回,2 回,,34,大三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,3 個,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
最高点,44700,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
1翻,2 回,25.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
2翻,2 回,25.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
3翻,2 回,25.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
4翻,0 回,0.0%,,,,,,,,,,,,,,
5翻,0 回,0.0%,,,,,,,,,,,,,,
6翻,2 回,25.0%,,,,,,,,,,,,,,
7翻,0 回,0.0%,,,,,,,,,,,,,,
8翻,0 回,0.0%,,,,,,,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
