名前,わさび,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,07,平和,4 回,50.00%,1 位,,0,±0,,東1局,-3400,3 回,-10200
総局数,35 回,,,10,役牌,3 回,37.50%,3 位,,1,+14.7,,東2局,+6700,3 回,20100
通算スコア,-3.3,,,52,赤ドラ,3 回,37.50%,4 位,,2,+64.5,,東3局,-8600,3 回,-25800
平均スコア,-1.10,,,01,立直,2 回,25.00%,5 位,,3,-3.3,,東4局,+500,3 回,1500
平均順位,2.33 位,,,03,ドラ,2 回,25.00%,6 位,,,,,南1局,-1067,3 回,-3200
1位,1 回,33.3%,,06,門前清自摸和,2 回,25.00%,2 位,,,,,南2局,-667,3 回,-2000
2位,1 回,33.3%,,02,一発,1 回,12.50%,4 位,,,,,南3局,-667,3 回,-2000
3位,0 回,0.0%,,09,タンヤオ,1 回,12.50%,4 位,,,,,南4局,+1100,3 回,3300
4位,1 回,33.3%,,04,裏ドラ,0 回,0.00%,5 位,,,,,,,,
連対,2 回,66.7%,,08,一盃口,0 回,0.00%,6 位,,,,,位置,スコア,回数,合計
1位スコア,+49.80,+49.80,,11,海底摸月,0 回,0.00%,1 位,,,,,東家,-67.80,1 回,-67.8
2位スコア,+14.70,+14.70,,12,河底撈魚,0 回,0.00%,1 位,,,,,南家,+49.80,1 回,49.8
3位スコア,±0,±0,,13,嶺上開花,0 回,0.00%,1 位,,,,,西家,+14.70,1 回,14.7
4位スコア,-67.80,-67.80,,14,槍槓,0 回,0.00%,1 位,,,,,北家,±0,0 回,0
バランス,-0.82,,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
ふっとび,1 回,33.3%,,16,一気通貫,0 回,0.00%,4 位,,,,,相手,スコア,回数,合計
リーチ,4 回,11.4%,,17,チャンタ,0 回,0.00%,3 位,,,,,ただ,+89.40,1 回,89.4
副露,5 回,14.3%,,18,三色同順,0 回,0.00%,4 位,,,,,りくと,+13.13,3 回,39.4
リーチ成功,2 回,50.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,てんちゃん,-25.37,3 回,-76.1
副露成功,3 回,60.0%,,20,三暗刻,0 回,0.00%,3 位,,,,,だいち,-32.95,2 回,-65.9
アガリ,8 回,22.9%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
放銃,6 回,17.1%,,22,対々和,0 回,0.00%,1 位,,,,,,,,
ツモ,2 回,25.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
ロン,6 回,75.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,2 回,25.0%,,25,七対子,0 回,0.00%,4 位,,,,,,,,
副露アガリ,3 回,37.5%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,3 回,37.5%,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,3050,24400,,28,混一色,0 回,0.00%,5 位,,,,,,,,
門前アガリ点,4080,20400,,30,清一色,0 回,0.00%,3 位,,,,,,,,
副露アガリ点,1333,4000,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-6383,-38300,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
連続アガリ,3 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,11 回,2 回,,34,大三元,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,2 個,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
最高点,34700,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
1翻,2 回,25.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
2翻,3 回,37.5%,,41,天和,0 回,0.00%,1 位,,,,,,,,
3翻,2 回,25.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
4翻,1 回,12.5%,,,,,,,,,,,,,,
5翻,0 回,0.0%,,,,,,,,,,,,,,
6翻,0 回,0.0%,,,,,,,,,,,,,,
7翻,0 回,0.0%,,,,,,,,,,,,,,
8翻,0 回,0.0%,,,,,,,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
