名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,20 回,,,01,立直,28 回,62.22%,4 位,,0,±0,,東1局,±0,20 回,0
総局数,216 回,,,03,ドラ,27 回,60.00%,2 位,,1,+65.5,,東2局,-100,20 回,-2000
通算スコア,-10.0,,,52,赤ドラ,20 回,44.44%,3 位,,2,-0.2,,東3局,+100,20 回,2000
平均スコア,-0.50,,,06,門前清自摸和,11 回,24.44%,3 位,,3,-16.6,,東4局,-550,20 回,-11000
平均順位,2.50 位,,,07,平和,11 回,24.44%,4 位,,4,±0,,南1局,+50,20 回,1000
1位,5 回,25.0%,,10,役牌,10 回,22.22%,4 位,,5,+13.4,,南2局,-100,20 回,-2000
2位,5 回,25.0%,,02,一発,9 回,20.00%,3 位,,6,-0.8,,南3局,+100,20 回,2000
3位,5 回,25.0%,,04,裏ドラ,7 回,15.56%,3 位,,7,+63.9,,南4局,±0,20 回,0
4位,5 回,25.0%,,08,一盃口,5 回,11.11%,3 位,,8,+0.0,,,,,
連対,10 回,50.0%,,09,タンヤオ,5 回,11.11%,3 位,,9,-31.4,,位置,スコア,回数,合計
ふっとび,3 回,15.0%,,16,一気通貫,2 回,4.44%,3 位,,10,-85.6,,東家,+16.06,5 回,80.3
リーチ,47 回,21.8%,,25,七対子,2 回,4.44%,3 位,,11,-12.0,,南家,-40.86,5 回,-204.3
副露,36 回,16.7%,,28,混一色,2 回,4.44%,3 位,,12,-10.0,,西家,+33.10,5 回,165.5
リーチ成功,28 回,59.6%,,17,チャンタ,1 回,2.22%,2 位,,13,+2.8,,北家,-10.30,5 回,-51.5
副露成功,10 回,27.8%,,18,三色同順,1 回,2.22%,2 位,,14,-48.4,,,,,
アガリ,45 回,20.8%,,20,三暗刻,1 回,2.22%,2 位,,15,-68.5,,相手,スコア,回数,合計
放銃,31 回,14.4%,,27,純チャン,1 回,2.22%,2 位,,16,-10.0,,ただ,+12.00,15 回,180
ツモ,14 回,31.1%,,11,海底摸月,0 回,0.00%,1 位,,17,+10.0,,りくと,+4.64,15 回,69.6
ロン,31 回,68.9%,,12,河底撈魚,0 回,0.00%,1 位,,18,-9.0,,てんちゃん,-6.35,15 回,-95.2
リーチアガリ,28 回,62.2%,,13,嶺上開花,0 回,0.00%,1 位,,19,+54.7,,だいち,-10.29,15 回,-154.4
副露アガリ,10 回,22.2%,,14,槍槓,0 回,0.00%,1 位,,20,-10.0,,,,,
ダマアガリ,7 回,15.6%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,6678,300500,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
門前アガリ点,7100,248500,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,5200,52000,,22,対々和,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-5581,-173000,,23,小三元,0 回,0.00%,1 位,,,,,,,,
連続アガリ,4 回,0 回,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
連続無放銃,17 回,4 回,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,5 個,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
最高点,53600,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
チョンボ,1 回,0.5%,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
翻数,回数,割合,,34,大三元,0 回,0.00%,1 位,,,,,,,,
1翻,5 回,11.1%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
2翻,7 回,15.6%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
3翻,14 回,31.1%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
4翻,10 回,22.2%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
5翻,4 回,8.9%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
6翻,4 回,8.9%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
7翻,1 回,2.2%,,41,天和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,,,,,,,,,,,,,
10翻,0 回,0.0%,,,,,,,,,,,,,,
11翻,0 回,0.0%,,,,,,,,,,,,,,
12翻,0 回,0.0%,,,,,,,,,,,,,,
13翻～,0 回,0.0%,,,,,,,,,,,,,,
