名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,39 回,,,03,ドラ,81 回,84.38%,4 位,,0,±0,,東1局,+1684,38 回,64000
総局数,320 回,,,52,赤ドラ,78 回,81.25%,1 位,,1,+33.9,,東2局,+1792,38 回,68100
通算スコア,+61.7,,,01,立直,44 回,45.83%,4 位,,2,-10.9,,東3局,-1292,36 回,-46500
平均スコア,+1.58,,,10,役牌,41 回,42.71%,4 位,,3,-8.8,,南1局,+1659,34 回,56400
平均順位,2.00 位,,,06,ツモ,34 回,35.42%,4 位,,4,+13.3,,南2局,+523,31 回,16200
1位,9 回,23.1%,,04,裏ドラ,27 回,28.13%,2 位,,5,+16.1,,南3局,-2158,26 回,-56100
2位,21 回,53.8%,,07,平和,18 回,18.75%,1 位,,6,+30.1,,,,,
3位,9 回,23.1%,,08,一盃口,13 回,13.54%,1 位,,7,+46.1,,起家,スコア,回数,合計
1位スコア,+28.49,+256.40,,02,一発,11 回,11.46%,4 位,,8,+38.6,,東家,+1.35,15 回,20.3
2位スコア,+2.78,+58.40,,28,混一色,9 回,9.38%,4 位,,9,+37.7,,南家,+7.64,10 回,76.4
3位スコア,-28.12,-253.10,,25,七対子,7 回,7.29%,2 位,,10,+38.4,,西家,-2.50,14 回,-35
バランス,+1.05,,,09,タンヤオ,6 回,6.25%,1 位,,11,-6.0,,,,,
ふっとび,3 回,7.7%,,22,対々和,4 回,4.17%,2 位,,12,-5.6,,相手,スコア,回数,合計
リーチ,64 回,20.0%,,17,チャンタ,2 回,2.08%,2 位,,13,+1.8,,あやめ,+8.81,39 回,343.5
副露,47 回,14.7%,,20,三暗刻,2 回,2.08%,2 位,,14,-29.4,,パパ,-4.06,39 回,-158.4
リーチ成功,44 回,68.8%,,11,海底摸月,1 回,1.04%,2 位,,15,-51.5,,,,,
副露成功,21 回,44.7%,,13,嶺上開花,1 回,1.04%,1 位,,16,-36.7,,,,,
アガリ,96 回,30.0%,,16,一気通貫,1 回,1.04%,3 位,,17,-31.7,,,,,
放銃,31 回,9.7%,,29,流し満貫,1 回,1.04%,2 位,,18,-0.8,,,,,
ツモ,45 回,46.9%,,30,清一色,1 回,1.04%,4 位,,19,+0.3,,,,,
ロン,51 回,53.1%,,12,河底撈魚,0 回,0.00%,1 位,,20,+14.7,,,,,
リーチアガリ,44 回,45.8%,,14,槍槓,0 回,0.00%,1 位,,21,+15.3,,,,,
副露アガリ,21 回,21.9%,,15,ダブル立直,0 回,0.00%,1 位,,22,+66.6,,,,,
ダマアガリ,31 回,32.3%,,19,三色同刻,0 回,0.00%,1 位,,23,+44.9,,,,,
平均アガリ点,6491,623100,,21,三槓子,0 回,0.00%,1 位,,24,+28.2,,,,,
門前アガリ点,6564,492300,,23,小三元,0 回,0.00%,3 位,,25,+25.7,,,,,
副露アガリ点,6229,130800,,24,混老頭,0 回,0.00%,4 位,,26,-12.5,,,,,
平均放銃点,-6239,-193400,,26,二盃口,0 回,0.00%,1 位,,27,-4.5,,,,,
連続アガリ,3 回,0 回,,27,純チャン,0 回,0.00%,1 位,,28,-9.8,,,,,
連続無放銃,33 回,5 回,,31,国士無双,0 回,0.00%,3 位,,29,+16.2,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,1 位,,30,+17.2,,,,,
最高点,66300,,,33,字一色,0 回,0.00%,1 位,,31,+26.6,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,1 位,,32,+31.6,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,33,+61.4,,,,,
1翻,3 回,3.1%,,36,小四喜,0 回,0.00%,1 位,,34,+46.4,,,,,
2翻,15 回,15.6%,,37,緑一色,0 回,0.00%,1 位,,35,+44.1,,,,,
3翻,20 回,20.8%,,38,清老頭,0 回,0.00%,1 位,,36,+76.1,,,,,
4翻,19 回,19.8%,,39,四槓子,0 回,0.00%,1 位,,37,+83.1,,,,,
5翻,9 回,9.4%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,+64.1,,,,,
6翻,18 回,18.8%,,41,天和,0 回,0.00%,1 位,,39,+61.7,,,,,
7翻,4 回,4.2%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,5 回,5.2%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,1 回,1.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,2 回,2.1%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
