名前,かこたろう,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,4 回,,,01,立直,0 回,0.00%,14 位,,0,±0,,東1局,-9250,4 回,-37000
総局数,25 回,,,02,一発,0 回,0.00%,12 位,,1,-22.0,,東2局,-7225,4 回,-28900
通算スコア,-132.1,,,03,ドラ,0 回,0.00%,14 位,,2,-60.4,,東3局,-10875,4 回,-43500
平均スコア,-33.03,,,04,裏ドラ,0 回,0.00%,14 位,,3,-85.6,,南1局,-2850,2 回,-5700
平均順位,3.00 位,,,05,ガリ,0 回,0.00%,14 位,,4,-132.1,,南2局,-6000,2 回,-12000
1位,0 回,0.0%,,06,ツモ,0 回,0.00%,14 位,,,,,南3局,-5000,1 回,-5000
2位,0 回,0.0%,,07,平和,0 回,0.00%,13 位,,,,,,,,
3位,4 回,100.0%,,08,一盃口,0 回,0.00%,12 位,,,,,起家,スコア,回数,合計
ふっとび,2 回,50.0%,,09,タンヤオ,0 回,0.00%,12 位,,,,,東家,-30.20,2 回,-60.4
リーチ,0 回,0.0%,,10,役牌,0 回,0.00%,14 位,,,,,南家,-25.20,1 回,-25.2
副露,0 回,0.0%,,11,海底摸月,0 回,0.00%,7 位,,,,,西家,-46.50,1 回,-46.5
リーチ成功,0 回,0.0%,,12,河底撈魚,0 回,0.00%,6 位,,,,,,,,
副露成功,0 回,0.0%,,13,嶺上開花,0 回,0.00%,7 位,,,,,相手,スコア,回数,合計
アガリ,1 回,4.0%,,14,槍槓,0 回,0.00%,1 位,,,,,いっしー,-26.77,3 回,-80.3
放銃,10 回,40.0%,,15,ダブル立直,0 回,0.00%,7 位,,,,,ともき,-29.00,1 回,-29
ツモ,1 回,100.0%,,16,一気通貫,0 回,0.00%,10 位,,,,,だいち,-71.75,4 回,-287
ロン,0 回,0.0%,,17,チャンタ,0 回,0.00%,11 位,,,,,,,,
リーチアガリ,0 回,0.0%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,
副露アガリ,0 回,0.0%,,20,三暗刻,0 回,0.00%,10 位,,,,,,,,
ダマアガリ,1 回,100.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,7800,7800,,22,対々和,0 回,0.00%,12 位,,,,,,,,
門前アガリ点,7800,7800,,23,小三元,0 回,0.00%,5 位,,,,,,,,
副露アガリ点,0,0,,24,混老頭,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-8240,-82400,,25,七対子,0 回,0.00%,14 位,,,,,,,,
連続アガリ,1 回,0 回,,26,二盃口,0 回,0.00%,5 位,,,,,,,,
連続無放銃,4 回,2 回,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
最大ドラ数,0 個,,,28,混一色,0 回,0.00%,13 位,,,,,,,,
最高点,13000,,,29,流し満貫,0 回,0.00%,4 位,,,,,,,,
チョンボ,0 回,0.0%,,30,清一色,0 回,0.00%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
1翻,0 回,0.0%,,32,四暗刻,0 回,0.00%,6 位,,,,,,,,
2翻,0 回,0.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
3翻,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
4翻,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
5翻,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
6翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
7翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
new局数,0 回,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
newアガリ,0 回,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
