名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,123 回,,,05,ガリ,220 回,90.91%,5 位,,0,±0,,東1局,+1019,121 回,123300
総局数,934 回,,,03,ドラ,182 回,75.21%,4 位,,1,-36.7,,東2局,+620,114 回,70700
通算スコア,+201.4,,,10,役牌,139 回,57.44%,7 位,,2,-45.3,,東3局,-58,106 回,-6200
平均スコア,+1.64,,,01,立直,131 回,54.13%,8 位,,3,-81.7,,南1局,-810,100 回,-81000
平均順位,1.93 位,,,04,裏ドラ,86 回,35.54%,5 位,,4,-114.3,,南2局,+1013,87 回,88100
1位,46 回,37.4%,,06,ツモ,77 回,31.82%,5 位,,5,-136.3,,南3局,-462,74 回,-34200
2位,40 回,32.5%,,07,平和,43 回,17.77%,2 位,,6,-100.8,,,,,
3位,37 回,30.1%,,28,混一色,36 回,14.88%,9 位,,7,-106.2,,起家,スコア,回数,合計
ふっとび,14 回,11.4%,,02,一発,29 回,11.98%,8 位,,8,-52.3,,東家,+3.93,55 回,215.9
ふっとばし,21 回,17.1%,,08,一盃口,21 回,8.68%,8 位,,9,-53.5,,南家,-5.34,35 回,-187
逆転,11 回,8.9%,,09,タンヤオ,17 回,7.02%,2 位,,10,-72.8,,西家,+4.45,31 回,137.8
リーチ,240 回,29.7%,,16,一気通貫,14 回,5.79%,1 位,,11,-69.8,,,,,
副露,174 回,21.5%,,20,三暗刻,10 回,4.13%,5 位,,12,-54.3,,相手,スコア,回数,合計
リーチ成功,134 回,55.8%,,25,七対子,10 回,4.13%,10 位,,13,-43.2,,ぱぱ,+33.40,1 回,33.4
副露成功,66 回,37.9%,,22,対々和,8 回,3.31%,8 位,,14,-50.4,,まっつん,+14.79,12 回,177.5
アガリ,279 回,29.9%,,30,清一色,6 回,2.48%,4 位,,15,+23.9,,れんたろう,+14.63,41 回,599.9
ツモ,122 回,43.7%,,11,海底摸月,4 回,1.65%,2 位,,16,+58.9,,りくと,+13.90,37 回,514.2
ロン,157 回,56.3%,,15,ダブル立直,2 回,0.83%,2 位,,17,+58.6,,やがさき,+4.22,6 回,25.3
放銃,150 回,16.1%,,17,チャンタ,2 回,0.83%,10 位,,18,+122.6,,だいち,-4.03,101 回,-407.3
放銃,6 回,200.0%,,32,四暗刻,2 回,0.83%,2 位,,19,+125.7,,あさひ,-5.87,3 回,-17.6
連続アガリ,26 回,3 回,,12,河底撈魚,1 回,0.41%,2 位,,20,+126.9,,たかの,-6.79,37 回,-251.2
平均アガリ点,10381,2896400,,13,嶺上開花,1 回,0.41%,6 位,,21,+129.7,,いっしー,-8.38,8 回,-67
平均放銃点,-9181,-1377100,,23,小三元,1 回,0.41%,2 位,,22,+174.3,,,,,
最大ドラ数,9 個,,,14,槍槓,0 回,0.00%,1 位,,23,+172.9,,,,,
最大点数,109300,,,18,三色同順,0 回,0.00%,1 位,,24,+133.2,,,,,
チョンボ,3 回,0.3%,,19,三色同刻,0 回,0.00%,3 位,,25,+117.4,,,,,
new局数,808 回,,,21,三槓子,0 回,0.00%,1 位,,26,+128.7,,,,,
newアガリ,242 回,,,24,混老頭,0 回,0.00%,6 位,,27,+84.7,,,,,
,,,,26,二盃口,0 回,0.00%,5 位,,28,+43.7,,,,,
,,,,27,純チャン,0 回,0.00%,3 位,,29,+32.9,,,,,
,,,,29,流し満貫,0 回,0.00%,4 位,,30,+48.5,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,31,+5.1,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,32,+5.8,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,33,+18.0,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-19.3,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,35,+29.7,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,36,+15.9,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,37,+56.9,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,38,+53.5,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,39,+125.1,,,,,
,,,,41,天和,0 回,0.00%,1 位,,40,+156.6,,,,,
,,,,42,地和,0 回,0.00%,1 位,,41,+192.0,,,,,
,,,,43,人和,0 回,0.00%,1 位,,42,+203.5,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,43,+212.6,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,44,+164.2,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,45,+209.1,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,46,+219.0,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,+199.0,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+194.1,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+211.9,,,,,
,,,,,,,,,,50,+185.5,,,,,
,,,,,,,,,,51,+196.0,,,,,
