名前,ともき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,4 回,,,03,ドラ,5 回,125.00%,1 位,,0,±0,1500,,東1局,-7250,4 回,-29000
総局数,24 回,,,10,役牌,3 回,75.00%,2 位,,1,+7.0,1501,,東2局,-3167,3 回,-9500
通算スコア,-15.5,,,01,立直,2 回,50.00%,9 位,,2,-24.5,1495,,東3局,-3667,3 回,-11000
平均スコア,-3.88,,,04,裏ドラ,2 回,50.00%,2 位,,3,-26.5,1495,,南1局,+4000,2 回,8000
レーティング,1497,,,28,混一色,2 回,50.00%,1 位,,4,-15.5,1497,,南2局,+21500,2 回,43000
平均順位,2.00 位,,,06,ツモ,1 回,25.00%,10 位,,,,,,南3局,-8500,2 回,-17000
1位,1 回,25.0%,,07,平和,1 回,25.00%,1 位,,,,,,,,,
2位,2 回,50.0%,,09,タンヤオ,1 回,25.00%,1 位,,,,,,起家,スコア,回数,合計
3位,1 回,25.0%,,22,対々和,1 回,25.00%,1 位,,,,,,東家,±0,0 回,0
1位スコア,+11.00,+11.00,,25,七対子,1 回,25.00%,1 位,,,,,,南家,+9.00,2 回,18
2位スコア,+2.50,+5.00,,02,一発,0 回,0.00%,12 位,,,,,,西家,-16.75,2 回,-33.5
3位スコア,-31.50,-31.50,,08,一盃口,0 回,0.00%,12 位,,,,,,,,,
バランス,-6.00,,,11,海底摸月,0 回,0.00%,7 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,12,河底撈魚,0 回,0.00%,6 位,,,,,,かこたろう,+29.00,1 回,29
リーチ,8 回,42.1%,,13,嶺上開花,0 回,0.00%,7 位,,,,,,れんたろう,+3.97,3 回,11.9
副露,2 回,10.5%,,14,槍槓,0 回,0.00%,1 位,,,,,,だいち,-8.00,1 回,-8
リーチ成功,2 回,25.0%,,15,ダブル立直,0 回,0.00%,7 位,,,,,,りくと,-26.47,3 回,-79.4
副露成功,2 回,100.0%,,16,一気通貫,0 回,0.00%,10 位,,,,,,,,,
アガリ,6 回,25.0%,,17,チャンタ,0 回,0.00%,11 位,,,,,,,,,
放銃,4 回,16.7%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,,
ツモ,2 回,33.3%,,20,三暗刻,0 回,0.00%,10 位,,,,,,,,,
ロン,4 回,66.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,2 回,33.3%,,23,小三元,0 回,0.00%,5 位,,,,,,,,,
副露アガリ,2 回,33.3%,,24,混老頭,0 回,0.00%,6 位,,,,,,,,,
ダマアガリ,2 回,33.3%,,26,二盃口,0 回,0.00%,5 位,,,,,,,,,
平均アガリ点,12333,74000,,27,純チャン,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,12000,48000,,29,流し満貫,0 回,0.00%,4 位,,,,,,,,,
副露アガリ点,13000,26000,,30,清一色,0 回,0.00%,10 位,,,,,,,,,
平均放銃点,-12000,-48000,,31,国士無双,0 回,0.00%,7 位,,,,,,,,,
連続アガリ,3 回,0 回,,32,四暗刻,0 回,0.00%,6 位,,,,,,,,,
連続無放銃,11 回,0 回,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,3 個,,,34,大三元,0 回,0.00%,3 位,,,,,,,,,
最高点,46000,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
4翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
5翻,2 回,33.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
6翻,1 回,16.7%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
9翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,16.7%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
New局数,19 回,,,52,赤ドラ,0 回,0.00%,1 位,,,,,,,,,
Newアガリ,4 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
