名前,やがさき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,33 回,,,01,立直,30 回,66.67%,1 位,,0,±0,1500,,東1局,+327,33 回,10800
総局数,270 回,,,04,裏ドラ,24 回,53.33%,1 位,,1,-14.4,1497,,東2局,+2145,31 回,66500
通算スコア,-9.4,,,03,ドラ,22 回,48.89%,12 位,,2,+37.6,1507,,東3局,-868,28 回,-24300
平均スコア,-0.28,,,10,役牌,21 回,46.67%,12 位,,3,-2.8,1500,,南1局,+469,26 回,12200
レーティング,1501,,,06,ツモ,17 回,37.78%,1 位,,4,-44.3,1492,,南2局,-1950,22 回,-42900
平均順位,2.06 位,,,02,一発,7 回,15.56%,3 位,,5,+8.2,1502,,南3局,-1668,19 回,-31700
1位,11 回,33.3%,,28,混一色,7 回,15.56%,7 位,,6,+23.2,1505,,,,,
2位,9 回,27.3%,,07,平和,6 回,13.33%,8 位,,7,+40.0,1508,,起家,スコア,回数,合計
3位,13 回,39.4%,,08,一盃口,4 回,8.89%,7 位,,8,+4.2,1501,,東家,+5.82,13 回,75.6
1位スコア,+34.11,+375.20,,09,タンヤオ,2 回,4.44%,7 位,,9,+6.8,1502,,南家,+6.82,11 回,75
2位スコア,+0.49,+4.40,,16,一気通貫,2 回,4.44%,3 位,,10,+56.8,1511,,西家,-17.78,9 回,-160
3位スコア,-29.92,-389.00,,11,海底摸月,1 回,2.22%,1 位,,11,+69.3,1513,,,,,
バランス,+1.56,,,17,チャンタ,1 回,2.22%,5 位,,12,+80.8,1515,,相手,スコア,回数,合計
ふっとび,6 回,18.2%,,22,対々和,1 回,2.22%,10 位,,13,+155.1,1529,,たかの,+24.99,15 回,374.9
リーチ,58 回,30.9%,,25,七対子,1 回,2.22%,13 位,,14,+147.1,1527,,りくと,+0.14,9 回,1.3
副露,39 回,20.7%,,30,清一色,1 回,2.22%,5 位,,15,+148.8,1528,,ぱぱ,-4.30,4 回,-17.2
リーチ成功,30 回,51.7%,,31,国士無双,1 回,2.22%,1 位,,16,+152.3,1528,,ただ,-4.38,6 回,-26.3
副露成功,9 回,23.1%,,12,河底撈魚,0 回,0.00%,6 位,,17,+178.1,1533,,だいち,-9.16,27 回,-247.2
アガリ,73 回,27.0%,,13,嶺上開花,0 回,0.00%,7 位,,18,+155.0,1529,,れんたろう,-19.93,4 回,-79.7
放銃,47 回,17.4%,,14,槍槓,0 回,0.00%,1 位,,19,+143.6,1526,,いっしー,-34.00,1 回,-34
ツモ,33 回,45.2%,,15,ダブル立直,0 回,0.00%,7 位,,20,+152.5,1528,,,,,
ロン,40 回,54.8%,,19,三色同刻,0 回,0.00%,3 位,,21,+138.0,1525,,,,,
リーチアガリ,30 回,41.1%,,20,三暗刻,0 回,0.00%,10 位,,22,+101.3,1519,,,,,
副露アガリ,9 回,12.3%,,21,三槓子,0 回,0.00%,1 位,,23,+53.8,1510,,,,,
ダマアガリ,34 回,46.6%,,23,小三元,0 回,0.00%,5 位,,24,+81.5,1516,,,,,
平均アガリ点,11055,807000,,24,混老頭,0 回,0.00%,6 位,,25,+79.5,1516,,,,,
門前アガリ点,11541,738600,,26,二盃口,0 回,0.00%,5 位,,26,+51.1,1510,,,,,
副露アガリ点,7600,68400,,27,純チャン,0 回,0.00%,3 位,,27,+64.7,1513,,,,,
平均放銃点,-8860,-416400,,29,流し満貫,0 回,0.00%,4 位,,28,+49.6,1511,,,,,
連続アガリ,4 回,0 回,,32,四暗刻,0 回,0.00%,6 位,,29,+15.4,1505,,,,,
連続無放銃,23 回,4 回,,33,字一色,0 回,0.00%,1 位,,30,-30.8,1497,,,,,
最大ドラ数,7 個,,,34,大三元,0 回,0.00%,3 位,,31,-26.8,1497,,,,,
最高点,109300,,,35,大四喜,0 回,0.00%,1 位,,32,+8.2,1504,,,,,
チョンボ,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,33,-9.4,1501,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
1翻,2 回,2.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
2翻,6 回,8.2%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
3翻,6 回,8.2%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
4翻,8 回,11.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
5翻,5 回,6.8%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
6翻,6 回,8.2%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
7翻,5 回,6.8%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
8翻,3 回,4.1%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
9翻,3 回,4.1%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,1.4%,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
New局数,188 回,,,52,赤ドラ,0 回,0.00%,1 位,,,,,,,,,
Newアガリ,45 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
