名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,142 回,,,05,ガリ,179 回,78.85%,10 位,,0,±0,,東1局,-1066,140 回,-149300
総局数,1103 回,,,03,ドラ,153 回,67.40%,9 位,,1,+40.9,,東2局,-1138,136 回,-154700
通算スコア,-538.5,,,01,立直,139 回,61.23%,4 位,,2,-0.9,,東3局,+1198,131 回,157000
平均スコア,-3.79,,,10,役牌,115 回,50.66%,11 位,,3,-36.4,,南1局,-956,117 回,-111900
平均順位,2.11 位,,,06,ツモ,84 回,37.00%,2 位,,4,+3.6,,南2局,-1676,101 回,-169300
1位,41 回,28.9%,,04,裏ドラ,68 回,29.96%,7 位,,5,+14.6,,南3局,-1629,80 回,-130300
2位,45 回,31.7%,,28,混一色,40 回,17.62%,4 位,,6,+47.6,,,,,
3位,56 回,39.4%,,07,平和,36 回,15.86%,3 位,,7,+100.1,,起家,スコア,回数,合計
ふっとび,27 回,19.0%,,02,一発,34 回,14.98%,5 位,,8,+60.2,,東家,-7.81,46 回,-359.1
ふっとばし,17 回,12.0%,,08,一盃口,30 回,13.22%,3 位,,9,+24.4,,南家,-3.97,53 回,-210.6
逆転,12 回,8.5%,,25,七対子,20 回,8.81%,5 位,,10,-20.1,,西家,-0.45,42 回,-18.8
リーチ,244 回,29.0%,,22,対々和,16 回,7.05%,5 位,,11,-3.6,,,,,
副露,148 回,17.6%,,20,三暗刻,10 回,4.41%,4 位,,12,-12.0,,相手,スコア,回数,合計
リーチ成功,141 回,57.8%,,09,タンヤオ,7 回,3.08%,9 位,,13,+49.5,,ぱぱ,+53.30,2 回,106.6
副露成功,58 回,39.2%,,30,清一色,7 回,3.08%,2 位,,14,+33.0,,ともき,+26.47,3 回,79.4
アガリ,288 回,26.1%,,16,一気通貫,5 回,2.20%,7 位,,15,+38.5,,たかの,+22.35,22 回,491.6
ツモ,131 回,45.5%,,17,チャンタ,3 回,1.32%,8 位,,16,+14.6,,れんたろう,+3.11,48 回,149.3
ロン,157 回,54.5%,,23,小三元,2 回,0.88%,1 位,,17,+13.9,,やがさき,-0.14,9 回,-1.3
放銃,210 回,19.0%,,24,混老頭,2 回,0.88%,2 位,,18,-22.0,,だいち,-10.04,118 回,-1184.4
連続アガリ,7 回,0 回,,31,国士無双,2 回,0.88%,3 位,,19,-26.7,,まっつん,-10.37,3 回,-31.1
連続無放銃,31 回,8 回,,11,海底摸月,1 回,0.44%,6 位,,20,-57.9,,ただ,-13.90,37 回,-514.2
平均アガリ点,10793,3108300,,12,河底撈魚,1 回,0.44%,1 位,,21,-82.7,,いっしー,-15.96,39 回,-622.4
門前アガリ点,11046,2540600,,13,嶺上開花,1 回,0.44%,5 位,,22,-94.6,,あさひ,-29.67,3 回,-89
副露アガリ点,9788,567700,,19,三色同刻,1 回,0.44%,1 位,,23,-111.3,,,,,
平均放銃点,-9621,-2020500,,26,二盃口,1 回,0.44%,1 位,,24,-68.1,,,,,
最大ドラ数,10 個,,,27,純チャン,1 回,0.44%,1 位,,25,-70.9,,,,,
最大点数,97700,,,14,槍槓,0 回,0.00%,1 位,,26,-125.9,,,,,
チョンボ,4 回,0.4%,,15,ダブル立直,0 回,0.00%,7 位,,27,-163.6,,,,,
new局数,842 回,,,21,三槓子,0 回,0.00%,1 位,,28,-169.5,,,,,
newアガリ,227 回,,,29,流し満貫,0 回,0.00%,4 位,,29,-163.3,,,,,
,62,,,32,四暗刻,0 回,0.00%,6 位,,30,-209.4,,,,,
1翻,4 回,1.4%,,33,字一色,0 回,0.00%,1 位,,31,-259.9,,,,,
2翻,22 回,7.6%,,34,大三元,0 回,0.00%,3 位,,32,-253.6,,,,,
3翻,46 回,16.0%,,35,大四喜,0 回,0.00%,1 位,,33,-234.9,,,,,
4翻,37 回,12.8%,,36,小四喜,0 回,0.00%,1 位,,34,-229.8,,,,,
5翻,37 回,12.8%,,37,緑一色,0 回,0.00%,1 位,,35,-254.3,,,,,
6翻,32 回,11.1%,,38,清老頭,0 回,0.00%,1 位,,36,-204.3,,,,,
7翻,21 回,7.3%,,39,四槓子,0 回,0.00%,1 位,,37,-249.3,,,,,
8翻,8 回,2.8%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,-242.5,,,,,
9翻,9 回,3.1%,,41,天和,0 回,0.00%,1 位,,39,-244.6,,,,,
10翻,1 回,0.3%,,42,地和,0 回,0.00%,1 位,,40,-279.7,,,,,
11翻,2 回,0.7%,,43,人和,0 回,0.00%,1 位,,41,-320.1,,,,,
