名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,131 回,,,03,ドラ,213 回,76.62%,3 位,,0,±0,1500,,東1局,-1305,127 回,-165700
総局数,1016 回,,,01,立直,169 回,60.79%,5 位,,1,+3.9,1501,,東2局,+444,125 回,55500
通算スコア,-461.3,,,10,役牌,163 回,58.63%,6 位,,2,-33.9,1494,,東3局,-257,119 回,-30600
平均スコア,-3.52,,,04,裏ドラ,102 回,36.69%,4 位,,3,-70.1,1487,,南1局,+58,107 回,6200
レーティング,1463,,,06,ツモ,87 回,31.29%,6 位,,4,-35.1,1494,,南2局,-2686,99 回,-265900
平均順位,2.16 位,,,07,平和,43 回,15.47%,4 位,,5,-80.1,1486,,南3局,+636,81 回,51500
1位,32 回,24.4%,,28,混一色,35 回,12.59%,10 位,,6,-116.1,1479,,,,,
2位,46 回,35.1%,,08,一盃口,34 回,12.23%,4 位,,7,-147.4,1474,,起家,スコア,回数,合計
3位,53 回,40.5%,,02,一発,31 回,11.15%,9 位,,8,-146.0,1474,,東家,-9.84,45 回,-442.6
1位スコア,+35.34,+1131.00,,25,七対子,24 回,8.63%,6 位,,9,-173.0,1470,,南家,+1.84,50 回,92.2
2位スコア,-2.15,-98.70,,16,一気通貫,10 回,3.60%,5 位,,10,-206.1,1464,,西家,+0.04,33 回,1.4
3位スコア,-28.18,-1493.60,,09,タンヤオ,8 回,2.88%,10 位,,11,-174.0,1470,,,,,
バランス,+1.67,,,22,対々和,8 回,2.88%,9 位,,12,-197.0,1466,,相手,スコア,回数,合計
ふっとび,23 回,17.6%,,20,三暗刻,6 回,2.16%,8 位,,13,-235.0,1459,,ぱぱ,+28.18,5 回,140.9
リーチ,296 回,30.2%,,30,清一色,6 回,2.16%,6 位,,14,-231.0,1460,,あさひ,+25.30,2 回,50.6
副露,181 回,18.5%,,11,海底摸月,4 回,1.44%,3 位,,15,-212.5,1464,,やがさき,+19.93,4 回,79.7
