,通算スコア,,平均スコア,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,ふっとばし率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最大点数,
相関,,,,,0.8576,,0.8153,,0.8634,,0.8515,,0.8916,,0.4810,,-0.1962,,0.8984,,0.7700,,0.7567,,-0.3771,,0.8353,,0.5380,,0.2333,,0.7767,
1位,だいち,+1890.0,あさひ,+8.00,だいち,1.75 位,あさひ,50.0%,だいち,19.8%,あさひ,38.0%,あさひ,8.0%,ともき,12333,かこたろう,-8240,ともき,0.0%,がくと,20.0%,ともき,42.1%,まっつん,35.5%,がくと,75.0%,ともき,100.0%,かこたろう,100.0%,れんたろう,124700
2位,いっしー,+270.8,だいち,+7.35,あさひ,1.83 位,だいち,45.1%,ともき,25.0%,だいち,35.7%,だいち,14.0%,やがさき,11055,まっつん,-8745,だいち,9.7%,だいち,18.7%,あさひ,42.0%,いっしー,29.7%,だいち,65.5%,あさひ,50.0%,たかの,47.8%,全体,124700
3位,ただ,+203.4,いっしー,+4.17,いっしー,1.92 位,ただ,37.4%,いっしー,26.2%,いっしー,34.4%,いっしー,15.4%,りくと,10793,いっしー,-8855,いっしー,10.8%,ただ,17.1%,やがさき,30.9%,たかの,28.3%,あさひ,61.9%,だいち,49.2%,りくと,45.5%,だいち,120200
4位,あさひ,+48.0,ただ,+1.65,ただ,1.93 位,いっしー,33.8%,ただ,30.1%,全体,30.1%,ただ,16.1%,れんたろう,10578,やがさき,-8860,ただ,11.4%,いっしー,16.9%,だいち,30.3%,ぱぱ,27.3%,全体,58.5%,いっしー,42.9%,やがさき,45.2%,いっしー,118000
5位,全体,+0.0,全体,+0.00,全体,2.00 位,やがさき,33.3%,全体,33.3%,ただ,29.9%,ともき,16.7%,ただ,10381,ただ,-9181,全体,15.2%,あさひ,16.7%,れんたろう,30.2%,全体,21.8%,れんたろう,58.4%,全体,40.1%,れんたろう,43.8%,ただ,109300
6位,やがさき,-9.4,やがさき,-0.28,ともき,2.00 位,全体,33.3%,あさひ,33.3%,れんたろう,28.3%,全体,17.0%,全体,10093,ぱぱ,-9191,あさひ,16.7%,全体,15.2%,ただ,29.7%,ただ,21.5%,いっしー,58.2%,れんたろう,39.2%,ただ,43.7%,やがさき,109300
7位,ともき,-15.5,れんたろう,-3.52,やがさき,2.06 位,りくと,28.9%,やがさき,39.4%,たかの,27.9%,やがさき,17.4%,だいち,9923,だいち,-9278,れんたろう,17.6%,やがさき,15.2%,りくと,28.9%,だいち,20.9%,りくと,58.0%,りくと,38.9%,いっしー,42.9%,たかの,103200
8位,がくと,-86.4,りくと,-3.79,りくと,2.11 位,ともき,25.0%,りくと,39.4%,やがさき,27.0%,まっつん,19.0%,いっしー,9707,全体,-9359,やがさき,18.2%,れんたろう,14.5%,全体,28.5%,やがさき,20.7%,ただ,55.8%,ただ,37.9%,全体,42.3%,りくと,97700
9位,かこたろう,-132.1,ともき,-3.88,れんたろう,2.16 位,れんたろう,24.4%,がくと,40.0%,がくと,27.0%,りくと,19.0%,まっつん,9373,れんたろう,-9493,たかの,18.8%,りくと,12.0%,たかの,27.3%,れんたろう,18.5%,やがさき,51.7%,たかの,36.8%,ぱぱ,41.2%,あさひ,78000
10位,ぱぱ,-155.1,たかの,-6.58,がくと,2.20 位,たかの,22.4%,れんたろう,40.5%,りくと,26.1%,たかの,19.1%,あさひ,9163,りくと,-9621,りくと,19.0%,たかの,11.8%,がくと,25.8%,りくと,17.7%,たかの,48.9%,ぱぱ,33.3%,だいち,38.7%,まっつん,67700
11位,まっつん,-454.9,まっつん,-12.64,たかの,2.21 位,がくと,20.0%,たかの,43.5%,ともき,25.0%,れんたろう,19.4%,たかの,8946,たかの,-9652,まっつん,27.8%,まっつん,8.3%,いっしー,23.3%,がくと,16.1%,まっつん,46.2%,まっつん,28.3%,まっつん,37.5%,ぱぱ,59500
12位,れんたろう,-461.3,ぱぱ,-12.93,まっつん,2.39 位,まっつん,19.4%,まっつん,58.3%,まっつん,20.1%,がくと,21.6%,ぱぱ,8671,あさひ,-10025,ぱぱ,33.3%,ぱぱ,8.3%,まっつん,14.0%,あさひ,12.0%,ぱぱ,41.7%,やがさき,23.1%,ともき,33.3%,がくと,57800
13位,りくと,-538.5,がくと,-17.28,ぱぱ,2.42 位,ぱぱ,16.7%,ぱぱ,58.3%,ぱぱ,19.3%,ぱぱ,25.0%,かこたろう,7800,ともき,-12000,がくと,40.0%,かこたろう,0.0%,ぱぱ,13.6%,ともき,10.5%,ともき,25.0%,がくと,20.0%,あさひ,31.6%,ともき,46000
14位,たかの,-559.0,かこたろう,-33.03,かこたろう,3.00 位,かこたろう,0.0%,かこたろう,100.0%,かこたろう,4.0%,かこたろう,40.0%,がくと,7100,がくと,-12488,かこたろう,50.0%,ともき,0.0%,かこたろう,0.0%,かこたろう,0.0%,かこたろう,0.0%,かこたろう,0.0%,がくと,30.0%,かこたろう,13000
