名前,あさひ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,01,立直,3 回,60.00%,1 位,,0,±0,,東1局,+3000,3 回,9000
総局数,19 回,,,03,ドラ,3 回,60.00%,12 位,,1,-14.6,,東2局,+2233,3 回,6700
通算スコア,+61.0,,,10,役牌,3 回,60.00%,4 位,,2,+22.5,,東3局,-1000,3 回,-3000
平均スコア,+20.33,,,04,裏ドラ,2 回,40.00%,3 位,,3,+61.0,,南1局,+6233,3 回,18700
平均順位,1.33 位,,,28,混一色,2 回,40.00%,1 位,,,,,南2局,+100,3 回,300
1位,2 回,66.7%,,52,赤ドラ,2 回,40.00%,8 位,,,,,南3局,-3567,3 回,-10700
2位,1 回,33.3%,,06,ツモ,1 回,20.00%,14 位,,,,,,,,
3位,0 回,0.0%,,07,平和,1 回,20.00%,2 位,,,,,起家,スコア,回数,合計
1位スコア,+37.80,+75.60,,09,タンヤオ,1 回,20.00%,1 位,,,,,東家,±0,0 回,0
2位スコア,-14.60,-14.60,,25,七対子,1 回,20.00%,1 位,,,,,南家,±0,0 回,0
3位スコア,±0,±0,,02,一発,0 回,0.00%,14 位,,,,,西家,+20.33,3 回,61
バランス,+7.73,,,08,一盃口,0 回,0.00%,13 位,,,,,,,,
ふっとび,0 回,0.0%,,11,海底摸月,0 回,0.00%,9 位,,,,,相手,スコア,回数,合計
リーチ,5 回,26.3%,,12,河底撈魚,0 回,0.00%,7 位,,,,,いっしー,+69.60,1 回,69.6
副露,4 回,21.1%,,13,嶺上開花,0 回,0.00%,9 位,,,,,まっつん,+45.70,3 回,137.1
リーチ成功,3 回,60.0%,,14,槍槓,0 回,0.00%,1 位,,,,,ぱぱ,+45.50,1 回,45.5
副露成功,2 回,50.0%,,15,ダブル立直,0 回,0.00%,9 位,,,,,だいち,-69.20,1 回,-69.2
アガリ,5 回,26.3%,,16,一気通貫,0 回,0.00%,12 位,,,,,,,,
放銃,2 回,10.5%,,17,チャンタ,0 回,0.00%,12 位,,,,,,,,
ツモ,1 回,20.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ロン,4 回,80.0%,,20,三暗刻,0 回,0.00%,13 位,,,,,,,,
リーチアガリ,3 回,60.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ,2 回,40.0%,,22,対々和,0 回,0.00%,13 位,,,,,,,,
ダマアガリ,0 回,0.0%,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均アガリ点,7860,39300,,24,混老頭,0 回,0.00%,5 位,,,,,,,,
門前アガリ点,9133,27400,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
副露アガリ点,5950,11900,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
平均放銃点,-5150,-10300,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
連続アガリ,2 回,0 回,,30,清一色,0 回,0.00%,10 位,,,,,,,,
連続無放銃,12 回,12 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,3 個,,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
最高点,53500,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,4 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,1 回,20.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,2 回,40.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,1 回,20.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
6翻,1 回,20.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
