名前,いっしー,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,24 回,,,03,ドラ,43 回,86.00%,3 位,,0,±0,,東1局,-408,24 回,-9800
総局数,181 回,,,10,役牌,30 回,60.00%,4 位,,1,-43.7,,東2局,-4538,24 回,-108900
通算スコア,-300.5,,,01,立直,27 回,54.00%,4 位,,2,-76.2,,東3局,-70,20 回,-1400
平均スコア,-12.52,,,52,赤ドラ,16 回,32.00%,14 位,,3,-78.4,,南1局,-3300,20 回,-66000
平均順位,2.21 位,,,06,ツモ,15 回,30.00%,9 位,,4,-49.8,,南2局,-1533,18 回,-27600
1位,8 回,33.3%,,04,裏ドラ,12 回,24.00%,11 位,,5,-121.0,,南3局,-3320,15 回,-49800
2位,3 回,12.5%,,07,平和,8 回,16.00%,5 位,,6,-167.0,,,,,
3位,13 回,54.2%,,08,一盃口,8 回,16.00%,1 位,,7,-218.2,,起家,スコア,回数,合計
1位スコア,+47.25,+378.00,,22,対々和,6 回,12.00%,1 位,,8,-170.5,,東家,-7.88,9 回,-70.9
2位スコア,+4.93,+14.80,,28,混一色,5 回,10.00%,11 位,,9,-228.1,,南家,-11.75,6 回,-70.5
3位スコア,-53.33,-693.30,,02,一発,4 回,8.00%,10 位,,10,-197.5,,西家,-17.68,9 回,-159.1
バランス,-0.38,,,09,タンヤオ,3 回,6.00%,9 位,,11,-161.2,,,,,
ふっとび,7 回,29.2%,,17,チャンタ,3 回,6.00%,2 位,,12,-116.6,,相手,スコア,回数,合計
リーチ,42 回,23.2%,,11,海底摸月,1 回,2.00%,2 位,,13,-144.8,,ぱぱ,+159.00,1 回,159
副露,45 回,24.9%,,12,河底撈魚,1 回,2.00%,1 位,,14,-138.7,,ただ,+30.85,6 回,185.1
リーチ成功,28 回,66.7%,,13,嶺上開花,1 回,2.00%,1 位,,15,-84.4,,まっつん,-4.87,6 回,-29.2
副露成功,17 回,37.8%,,20,三暗刻,1 回,2.00%,9 位,,16,-139.8,,れんたろう,-18.20,4 回,-72.8
アガリ,50 回,27.6%,,36,小四喜,1 回,2.00%,1 位,,17,-203.5,,りくと,-21.07,10 回,-210.7
放銃,41 回,22.7%,,14,槍槓,0 回,0.00%,1 位,,18,-126.5,,だいち,-29.12,14 回,-407.7
ツモ,24 回,48.0%,,15,ダブル立直,0 回,0.00%,9 位,,19,-67.6,,たかの,-44.43,4 回,-177.7
ロン,26 回,52.0%,,16,一気通貫,0 回,0.00%,12 位,,20,-124.1,,あさひ,-69.60,1 回,-69.6
リーチアガリ,28 回,56.0%,,19,三色同刻,0 回,0.00%,1 位,,21,-189.2,,やがさき,-138.95,2 回,-277.9
副露アガリ,17 回,34.0%,,21,三槓子,0 回,0.00%,1 位,,22,-264.4,,,,,
ダマアガリ,5 回,10.0%,,23,小三元,0 回,0.00%,6 位,,23,-253.5,,,,,
平均アガリ点,8434,421700,,24,混老頭,0 回,0.00%,5 位,,24,-300.5,,,,,
門前アガリ点,7952,262400,,25,七対子,0 回,0.00%,13 位,,,,,,,,
副露アガリ点,9371,159300,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
平均放銃点,-9878,-405000,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
連続アガリ,5 回,0 回,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
連続無放銃,17 回,1 回,,30,清一色,0 回,0.00%,10 位,,,,,,,,
最大ドラ数,6 個,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最高点,92000,,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
チョンボ,0 回,0.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,4 位,,,,,,,,
1翻,6 回,12.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
2翻,6 回,12.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,11 回,22.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,7 回,14.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,9 回,18.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
6翻,1 回,2.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
7翻,6 回,12.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,1 回,2.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,2 回,4.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,1 回,2.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
