名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,105 回,,,03,ドラ,190 回,64.19%,9 位,,0,±0,1423,,東1局,+37,105 回,3900
総局数,890 回,,,10,役牌,168 回,56.76%,6 位,,1,+11.1,1426,,東2局,-964,105 回,-101200
通算スコア,-243.5,,,52,赤ドラ,126 回,42.57%,4 位,,2,-7.7,1422,,東3局,-1045,95 回,-99300
平均スコア,-2.32,,,01,立直,105 回,35.47%,13 位,,3,+1.8,1424,,南1局,+1018,90 回,91600
レーティング,1426,,,06,ツモ,73 回,24.66%,12 位,,4,+34.9,1431,,南2局,-176,84 回,-14800
平均順位,2.06 位,,,04,裏ドラ,53 回,17.91%,12 位,,5,+29.4,1430,,南3局,-549,71 回,-39000
1位,26 回,24.8%,,07,平和,46 回,15.54%,6 位,,6,+4.3,1426,,,,,
2位,47 回,44.8%,,02,一発,31 回,10.47%,6 位,,7,+7.8,1427,,起家,スコア,回数,合計
3位,32 回,30.5%,,28,混一色,24 回,8.11%,12 位,,8,-29.5,1421,,東家,-4.16,34 回,-141.5
1位スコア,+44.30,+1151.80,,09,タンヤオ,23 回,7.77%,4 位,,9,-56.5,1417,,南家,+1.91,31 回,59.3
2位スコア,-1.86,-87.50,,08,一盃口,21 回,7.09%,8 位,,10,+24.2,1432,,西家,-4.03,40 回,-161.3
3位スコア,-40.87,-1307.80,,22,対々和,21 回,7.09%,3 位,,11,+74.2,1441,,,,,
バランス,+0.52,,,25,七対子,13 回,4.39%,11 位,,12,+46.1,1437,,相手,スコア,回数,合計
ふっとび,6 回,5.7%,,20,三暗刻,9 回,3.04%,3 位,,13,-3.0,1429,,いっしー,+44.43,4 回,177.7
リーチ,189 回,21.2%,,16,一気通貫,4 回,1.35%,10 位,,14,-12.3,1428,,ただ,+21.45,38 回,815.1
副露,254 回,28.5%,,30,清一色,4 回,1.35%,7 位,,15,-80.3,1417,,ぱぱ,+4.07,13 回,52.9
リーチ成功,104 回,55.0%,,17,チャンタ,3 回,1.01%,10 位,,16,-87.6,1416,,まっつん,+1.64,33 回,54
副露成功,107 回,42.1%,,12,河底撈魚,2 回,0.68%,4 位,,17,-55.1,1422,,りくと,+0.40,37 回,14.9
アガリ,296 回,33.3%,,11,海底摸月,1 回,0.34%,6 位,,18,-28.2,1427,,れんたろう,-7.01,22 回,-154.3
放銃,130 回,14.6%,,13,嶺上開花,1 回,0.34%,6 位,,19,+29.2,1438,,ほたに,-16.63,7 回,-116.4
ツモ,117 回,39.5%,,15,ダブル立直,1 回,0.34%,6 位,,20,+43.0,1441,,だいち,-27.73,53 回,-1469.8
ロン,179 回,60.5%,,26,二盃口,1 回,0.34%,4 位,,21,+89.9,1449,,やがさき,-34.87,3 回,-104.6
リーチアガリ,104 回,35.1%,,29,流し満貫,1 回,0.34%,3 位,,22,+54.7,1443,,,,,
副露アガリ,107 回,36.1%,,14,槍槓,0 回,0.00%,1 位,,23,-5.4,1433,,,,,
ダマアガリ,85 回,28.7%,,19,三色同刻,0 回,0.00%,1 位,,24,+68.9,1446,,,,,
平均アガリ点,6763,2001700,,21,三槓子,0 回,0.00%,1 位,,25,+30.4,1441,,,,,
門前アガリ点,7049,1332300,,23,小三元,0 回,0.00%,5 位,,26,+32.9,1441,,,,,
副露アガリ点,6256,669400,,24,混老頭,0 回,0.00%,4 位,,27,+40.4,1444,,,,,
平均放銃点,-8148,-1059300,,27,純チャン,0 回,0.00%,4 位,,28,+8.3,1439,,,,,
連続アガリ,10 回,0 回,,31,国士無双,0 回,0.00%,6 位,,29,+90.8,1454,,,,,
連続無放銃,23 回,1 回,,32,四暗刻,0 回,0.00%,6 位,,30,+63.3,1450,,,,,
最大ドラ数,7 個,,,33,字一色,0 回,0.00%,1 位,,31,+114.4,1460,,,,,
最高点,97500,,,34,大三元,0 回,0.00%,3 位,,32,+76.9,1453,,,,,
チョンボ,1 回,0.1%,,35,大四喜,0 回,0.00%,1 位,,33,+42.5,1447,,,,,
,,,,36,小四喜,0 回,0.00%,2 位,,34,+9.8,1442,,,,,
1翻,35 回,11.8%,,37,緑一色,0 回,0.00%,1 位,,35,-8.3,1438,,,,,
2翻,69 回,23.3%,,38,清老頭,0 回,0.00%,1 位,,36,-9.7,1439,,,,,
3翻,62 回,20.9%,,39,四槓子,0 回,0.00%,1 位,,37,+30.0,1447,,,,,
4翻,50 回,16.9%,,40,九蓮宝燈,0 回,0.00%,2 位,,38,+32.1,1448,,,,,
5翻,45 回,15.2%,,41,天和,0 回,0.00%,1 位,,39,+62.8,1455,,,,,
6翻,15 回,5.1%,,42,地和,0 回,0.00%,1 位,,40,+37.7,1451,,,,,
7翻,9 回,3.0%,,43,人和,0 回,0.00%,1 位,,41,+46.9,1454,,,,,
8翻,7 回,2.4%,,44,国士13面,0 回,0.00%,1 位,,42,+42.3,1453,,,,,
9翻,2 回,0.7%,,45,四暗刻単騎,0 回,0.00%,2 位,,43,-33.0,1439,,,,,
10翻,1 回,0.3%,,46,純正九蓮,0 回,0.00%,1 位,,44,-28.0,1441,,,,,
11翻,1 回,0.3%,,47,大車輪,0 回,0.00%,1 位,,45,-25.3,1442,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,+12.9,1449,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,47,+45.9,1455,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,+111.4,1468,,,,,
,,,,51,オープン立直,0 回,0.00%,7 位,,49,+113.0,1469,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+106.3,1468,,,,,
,,,,,,,,,,51,+113.4,1469,,,,,
,,,,,,,,,,52,+98.8,1467,,,,,
,,,,,,,,,,53,+65.2,1461,,,,,
,,,,,,,,,,54,+55.6,1460,,,,,
,,,,,,,,,,55,+34.7,1457,,,,,
,,,,,,,,,,56,-8.0,1449,,,,,
