名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,179 回,,,03,ドラ,335 回,80.34%,4 位,,0,±0,1534,,東1局,-1697,178 回,-302100
総局数,1508 回,,,01,立直,191 回,45.80%,9 位,,1,-40.4,1527,,東2局,-1649,174 回,-287000
通算スコア,-1205.5,,,10,役牌,190 回,45.56%,11 位,,2,-3.4,1534,,東3局,+1036,166 回,172000
平均スコア,-6.73,,,52,赤ドラ,160 回,38.37%,9 位,,3,-23.1,1530,,南1局,-2515,150 回,-377200
レーティング,1432,,,06,ツモ,136 回,32.61%,5 位,,4,-31.4,1529,,南2局,+147,135 回,19900
平均順位,2.11 位,,,04,裏ドラ,103 回,24.70%,9 位,,5,-32.2,1529,,南3局,-553,118 回,-65200
1位,54 回,30.2%,,07,平和,61 回,14.63%,9 位,,6,-58.5,1525,,,,,
2位,52 回,29.1%,,08,一盃口,61 回,14.63%,2 位,,7,-116.8,1514,,起家,スコア,回数,合計
3位,73 回,40.8%,,28,混一色,49 回,11.75%,7 位,,8,-79.6,1521,,東家,-12.03,50 回,-601.7
1位スコア,+43.07,+2325.80,,09,タンヤオ,41 回,9.83%,3 位,,9,-127.6,1512,,南家,-4.53,63 回,-285.6
2位スコア,-1.45,-75.50,,02,一発,36 回,8.63%,8 位,,10,-231.4,1494,,西家,-4.82,66 回,-318.2
3位スコア,-47.34,-3455.80,,25,七対子,22 回,5.28%,9 位,,11,-305.9,1481,,,,,
バランス,-1.91,,,22,対々和,16 回,3.84%,10 位,,12,-337.5,1475,,相手,スコア,回数,合計
ふっとび,25 回,14.0%,,16,一気通貫,12 回,2.88%,6 位,,13,-369.1,1470,,やがさき,+42.50,4 回,170
リーチ,370 回,24.5%,,20,三暗刻,11 回,2.64%,6 位,,14,-394.6,1465,,のり,+38.15,6 回,228.9
副露,305 回,20.2%,,15,ダブル立直,6 回,1.44%,2 位,,15,-424.5,1460,,ほたに,+36.20,6 回,217.2
リーチ成功,200 回,54.1%,,17,チャンタ,6 回,1.44%,9 位,,16,-472.0,1452,,ちさと,+5.75,4 回,23
副露成功,109 回,35.7%,,30,清一色,5 回,1.20%,8 位,,17,-538.3,1440,,まっつん,+0.20,60 回,11.8
アガリ,417 回,27.7%,,12,河底撈魚,3 回,0.72%,3 位,,18,-537.2,1440,,ぱぱ,-1.11,17 回,-18.9
放銃,260 回,17.2%,,13,嶺上開花,3 回,0.72%,5 位,,19,-569.5,1434,,りくと,-2.81,67 回,-188.2
ツモ,174 回,41.7%,,26,二盃口,3 回,0.72%,1 位,,20,-633.0,1424,,れんたろう,-16.48,42 回,-692.2
ロン,243 回,58.3%,,23,小三元,2 回,0.48%,2 位,,21,-629.5,1425,,たかの,-21.45,38 回,-815.1
リーチアガリ,200 回,48.0%,,32,四暗刻,2 回,0.48%,1 位,,22,-670.2,1419,,だいち,-21.93,108 回,-2367.9
副露アガリ,109 回,26.1%,,51,オープン立直,2 回,0.48%,6 位,,23,-737.2,1408,,いっしー,-30.85,6 回,-185.1
ダマアガリ,108 回,25.9%,,11,海底摸月,1 回,0.24%,7 位,,24,-817.1,1395,,,,,
平均アガリ点,8105,3379800,,24,混老頭,1 回,0.24%,3 位,,25,-783.7,1402,,,,,
門前アガリ点,8624,2656300,,27,純チャン,1 回,0.24%,3 位,,26,-818.5,1397,,,,,
副露アガリ点,6638,723500,,31,国士無双,1 回,0.24%,5 位,,27,-876.2,1388,,,,,
