名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,219 回,,,03,ドラ,466 回,77.02%,6 位,,0,±0,1726,,東1局,+1201,218 回,261800
総局数,1793 回,,,10,役牌,334 回,55.21%,8 位,,1,-5.1,1723,,東2局,+1853,213 回,394700
通算スコア,+2746.9,,,01,立直,287 回,47.44%,8 位,,2,-2.9,1723,,東3局,+701,204 回,143000
平均スコア,+12.54,,,52,赤ドラ,241 回,39.83%,8 位,,3,+70.4,1735,,南1局,+2811,187 回,525700
レーティング,1876,,,04,裏ドラ,190 回,31.40%,6 位,,4,+110.5,1741,,南2局,+1248,166 回,207100
平均順位,1.76 位,,,06,ツモ,169 回,27.93%,10 位,,5,+201.4,1757,,南3局,+1223,142 回,173600
1位,106 回,48.4%,,28,混一色,100 回,16.53%,4 位,,6,+232.4,1761,,,,,
2位,60 回,27.4%,,07,平和,96 回,15.87%,5 位,,7,+256.1,1764,,起家,スコア,回数,合計
3位,53 回,24.2%,,02,一発,74 回,12.23%,2 位,,8,+285.2,1768,,東家,+17.36,70 回,1215.3
1位スコア,+48.21,+5110.60,,08,一盃口,47 回,7.77%,7 位,,9,+277.9,1766,,南家,+9.07,70 回,634.8
2位スコア,+0.17,+10.10,,25,七対子,43 回,7.11%,6 位,,10,+246.2,1759,,西家,+11.35,79 回,896.8
3位スコア,-44.79,-2373.80,,09,タンヤオ,39 回,6.45%,6 位,,11,+333.3,1773,,,,,
バランス,+1.20,,,22,対々和,29 回,4.79%,6 位,,12,+371.7,1779,,相手,スコア,回数,合計
ふっとび,18 回,8.2%,,51,オープン立直,25 回,4.13%,2 位,,13,+418.9,1786,,あさひ,+69.20,1 回,69.2
リーチ,542 回,30.2%,,16,一気通貫,15 回,2.48%,8 位,,14,+473.5,1795,,かわたつ,+29.60,1 回,29.6
副露,392 回,21.9%,,30,清一色,14 回,2.31%,4 位,,15,+481.5,1795,,いっしー,+29.12,14 回,407.7
リーチ成功,317 回,58.5%,,20,三暗刻,12 回,1.98%,9 位,,16,+425.5,1783,,ぱぱ,+28.00,29 回,812
副露成功,196 回,50.0%,,17,チャンタ,9 回,1.49%,7 位,,17,+427.4,1782,,たかの,+27.73,53 回,1469.8
アガリ,605 回,33.7%,,24,混老頭,6 回,0.99%,2 位,,18,+429.3,1781,,ただ,+21.93,108 回,2367.9
放銃,268 回,14.9%,,11,海底摸月,4 回,0.66%,5 位,,19,+405.4,1776,,まっつん,+21.24,51 回,1083.2
ツモ,253 回,41.8%,,15,ダブル立直,4 回,0.66%,5 位,,20,+469.6,1786,,りくと,+19.81,113 回,2238.3
ロン,352 回,58.2%,,31,国士無双,4 回,0.66%,2 位,,21,+468.3,1785,,れんたろう,-1.93,63 回,-121.4
リーチアガリ,317 回,52.4%,,29,流し満貫,3 回,0.50%,2 位,,22,+519.2,1793,,ほたに,-13.45,2 回,-26.9
副露アガリ,196 回,32.4%,,27,純チャン,2 回,0.33%,1 位,,23,+555.9,1798,,やがさき,-29.57,3 回,-88.7
ダマアガリ,92 回,15.2%,,32,四暗刻,2 回,0.33%,4 位,,24,+592.2,1803,,,,,
平均アガリ点,9241,5590600,,13,嶺上開花,1 回,0.17%,7 位,,25,+655.2,1813,,,,,
門前アガリ点,9632,3939500,,23,小三元,1 回,0.17%,4 位,,26,+625.4,1806,,,,,
副露アガリ点,8424,1651100,,26,二盃口,1 回,0.17%,5 位,,27,+596.3,1800,,,,,
平均放銃点,-8208,-2199800,,34,大三元,1 回,0.17%,2 位,,28,+655.6,1809,,,,,
連続アガリ,7 回,1 回,,12,河底撈魚,0 回,0.00%,6 位,,29,+703.1,1816,,,,,
連続無放銃,39 回,6 回,,14,槍槓,0 回,0.00%,1 位,,30,+733.6,1820,,,,,
最大ドラ数,8 個,,,19,三色同刻,0 回,0.00%,1 位,,31,+796.8,1831,,,,,
最高点,116000,,,21,三槓子,0 回,0.00%,1 位,,32,+788.3,1828,,,,,
