名前,ちさと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,4 回,,,10,役牌,7 回,70.00%,3 位,,0,±0,,東1局,+2675,4 回,10700
総局数,32 回,,,01,立直,4 回,40.00%,13 位,,1,-57.7,,東2局,-7300,4 回,-29200
通算スコア,-56.2,,,03,ドラ,2 回,20.00%,15 位,,2,-94.5,,東3局,-100,4 回,-400
平均スコア,-14.05,,,52,赤ドラ,2 回,20.00%,15 位,,3,-96.4,,南1局,+3025,4 回,12100
平均順位,2.25 位,,,02,一発,1 回,10.00%,8 位,,4,-56.2,,南2局,-6000,3 回,-18000
1位,1 回,25.0%,,04,裏ドラ,1 回,10.00%,14 位,,,,,南3局,-5833,3 回,-17500
2位,1 回,25.0%,,06,ツモ,1 回,10.00%,15 位,,,,,,,,
3位,2 回,50.0%,,07,平和,1 回,10.00%,13 位,,,,,起家,スコア,回数,合計
ふっとび,1 回,25.0%,,20,三暗刻,1 回,10.00%,2 位,,,,,東家,-57.70,1 回,-57.7
リーチ,7 回,21.9%,,22,対々和,1 回,10.00%,2 位,,,,,南家,+0.50,3 回,1.5
副露,12 回,37.5%,,25,七対子,1 回,10.00%,4 位,,,,,西家,±0,0 回,0
リーチ成功,3 回,42.9%,,28,混一色,1 回,10.00%,11 位,,,,,,,,
副露成功,3 回,25.0%,,08,一盃口,0 回,0.00%,13 位,,,,,相手,スコア,回数,合計
アガリ,10 回,31.3%,,09,タンヤオ,0 回,0.00%,13 位,,,,,ただ,-5.75,4 回,-23
放銃,5 回,15.6%,,11,海底摸月,0 回,0.00%,9 位,,,,,まっつん,-36.40,4 回,-145.6
ツモ,3 回,30.0%,,12,河底撈魚,0 回,0.00%,7 位,,,,,,,,
ロン,7 回,70.0%,,13,嶺上開花,0 回,0.00%,9 位,,,,,,,,
リーチアガリ,3 回,30.0%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
副露アガリ,3 回,30.0%,,15,ダブル立直,0 回,0.00%,9 位,,,,,,,,
ダマアガリ,4 回,40.0%,,16,一気通貫,0 回,0.00%,12 位,,,,,,,,
平均アガリ点,4940,49400,,17,チャンタ,0 回,0.00%,12 位,,,,,,,,
門前アガリ点,5471,38300,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,3700,11100,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-11280,-56400,,23,小三元,0 回,0.00%,6 位,,,,,,,,
連続アガリ,4 回,4 回,,24,混老頭,0 回,0.00%,5 位,,,,,,,,
連続無放銃,12 回,12 回,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,2 個,,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
最高点,55200,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
チョンボ,0 回,0.0%,,30,清一色,0 回,0.00%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
1翻,1 回,10.0%,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
2翻,5 回,50.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
3翻,2 回,20.0%,,34,大三元,0 回,0.00%,4 位,,,,,,,,
4翻,1 回,10.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
5翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
6翻,1 回,10.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
7翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
10翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
