名前,のり,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,52,赤ドラ,4 回,100.00%,1 位,,0,±0,,東1局,-7950,2 回,-15900
総局数,21 回,,,10,役牌,3 回,75.00%,2 位,,1,-43.2,,東2局,-7750,2 回,-15500
通算スコア,-96.5,,,03,ドラ,2 回,50.00%,14 位,,2,-96.5,,東3局,-1150,2 回,-2300
平均スコア,-48.25,,,01,立直,1 回,25.00%,13 位,,,,,南1局,-3950,2 回,-7900
平均順位,3.00 位,,,06,ツモ,1 回,25.00%,13 位,,,,,南2局,-2100,2 回,-4200
1位,0 回,0.0%,,07,平和,1 回,25.00%,1 位,,,,,南3局,-5350,2 回,-10700
2位,0 回,0.0%,,02,一発,0 回,0.00%,12 位,,,,,,,,
3位,2 回,100.0%,,04,裏ドラ,0 回,0.00%,14 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,08,一盃口,0 回,0.00%,11 位,,,,,東家,-43.20,1 回,-43.2
ふっとばし,0 回,0.0%,,09,タンヤオ,0 回,0.00%,12 位,,,,,南家,-53.30,1 回,-53.3
逆転,0 回,0.0%,,11,海底摸月,0 回,0.00%,8 位,,,,,西家,±0,0 回,0
リーチ,1 回,4.8%,,12,河底撈魚,0 回,0.00%,7 位,,,,,,,,
副露,10 回,47.6%,,13,嶺上開花,0 回,0.00%,9 位,,,,,相手,スコア,回数,合計
リーチ成功,1 回,100.0%,,14,槍槓,0 回,0.00%,1 位,,,,,まっつん,-45.80,2 回,-91.6
副露成功,2 回,20.0%,,15,ダブル立直,0 回,0.00%,8 位,,,,,ただ,-98.95,2 回,-197.9
アガリ,4 回,19.0%,,16,一気通貫,0 回,0.00%,11 位,,,,,,,,
ツモ,1 回,25.0%,,17,チャンタ,0 回,0.00%,12 位,,,,,,,,
ロン,3 回,75.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
放銃,5 回,23.8%,,20,三暗刻,0 回,0.00%,11 位,,,,,,,,
連続アガリ,2 回,0 回,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
連続無放銃,7 回,0 回,,22,対々和,0 回,0.00%,12 位,,,,,,,,
平均アガリ点,4475,17900,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-6140,-30700,,24,混老頭,0 回,0.00%,4 位,,,,,,,,
最大ドラ数,2 個,,,25,七対子,0 回,0.00%,11 位,,,,,,,,
最大点数,11800,,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
チョンボ,0 回,0.0%,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
,,,,28,混一色,0 回,0.00%,13 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,9 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,4 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,7 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
