名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,10 回,,,03,ドラ,20 回,86.96%,2 位,,0,±0,,東1局,-3600,10 回,-36000
総局数,97 回,,,10,役牌,12 回,52.17%,5 位,,1,-82.6,,東2局,-5730,10 回,-57300
通算スコア,-318.4,,,06,ツモ,9 回,39.13%,3 位,,2,-122.3,,東3局,-122,9 回,-1100
平均スコア,-31.84,,,01,立直,6 回,26.09%,8 位,,3,-149.0,,南1局,-7700,8 回,-61600
平均順位,2.60 位,,,52,赤ドラ,6 回,26.09%,7 位,,4,-150.6,,南2局,-4586,7 回,-32100
1位,0 回,0.0%,,07,平和,3 回,13.04%,6 位,,5,-184.9,,南3局,-1717,6 回,-10300
2位,4 回,40.0%,,28,混一色,3 回,13.04%,6 位,,6,-187.6,,,,,
3位,6 回,60.0%,,04,裏ドラ,2 回,8.70%,8 位,,7,-216.1,,起家,スコア,回数,合計
ふっとび,2 回,20.0%,,08,一盃口,2 回,8.70%,4 位,,8,-219.6,,東家,-34.10,2 回,-68.2
ふっとばし,0 回,0.0%,,22,対々和,2 回,8.70%,1 位,,9,-260.6,,南家,-27.35,6 回,-164.1
逆転,0 回,0.0%,,09,タンヤオ,1 回,4.35%,2 位,,10,-318.4,,西家,-43.05,2 回,-86.1
リーチ,14 回,16.1%,,02,一発,0 回,0.00%,8 位,,,,,,,,
副露,25 回,28.7%,,11,海底摸月,0 回,0.00%,3 位,,,,,相手,スコア,回数,合計
リーチ成功,6 回,42.9%,,12,河底撈魚,0 回,0.00%,1 位,,,,,たかの,-5.90,2 回,-11.8
副露成功,9 回,36.0%,,13,嶺上開花,0 回,0.00%,5 位,,,,,ただ,-13.95,2 回,-27.9
アガリ,25 回,25.8%,,14,槍槓,0 回,0.00%,1 位,,,,,れんたろう,-33.24,7 回,-232.7
ツモ,13 回,52.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,りくと,-52.48,5 回,-262.4
ロン,12 回,48.0%,,16,一気通貫,0 回,0.00%,4 位,,,,,まっつん,-60.40,1 回,-60.4
放銃,23 回,23.7%,,17,チャンタ,0 回,0.00%,1 位,,,,,だいち,-120.00,3 回,-360
平均アガリ点,4756,118900,,18,三色同順,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-9313,-214200,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,6 個,,,20,三暗刻,0 回,0.00%,5 位,,,,,,,,
最大点数,33400,,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
new局数,87 回,,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
newアガリ,23 回,,,25,七対子,0 回,0.00%,6 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,4 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,3 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
