名前,ほたに,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,19 回,,,10,役牌,43 回,71.67%,2 位,,0,±0,,東1局,-1789,19 回,-34000
総局数,175 回,,,03,ドラ,32 回,53.33%,13 位,,1,-12.5,,東2局,+2684,19 回,51000
通算スコア,+94.3,,,01,立直,27 回,45.00%,11 位,,2,-28.1,,東3局,-6317,18 回,-113700
平均スコア,+4.96,,,06,ツモ,23 回,38.33%,2 位,,3,-20.4,,南1局,-950,18 回,-17100
平均順位,1.84 位,,,04,裏ドラ,18 回,30.00%,8 位,,4,+19.4,,南2局,+9793,15 回,146900
1位,7 回,36.8%,,52,赤ドラ,18 回,30.00%,14 位,,5,-16.1,,南3局,+1650,14 回,23100
2位,8 回,42.1%,,07,平和,10 回,16.67%,5 位,,6,-16.3,,,,,
3位,4 回,21.1%,,28,混一色,9 回,15.00%,5 位,,7,-25.3,,起家,スコア,回数,合計
ふっとび,3 回,15.8%,,25,七対子,7 回,11.67%,2 位,,8,+9.6,,東家,-10.03,6 回,-60.2
ふっとばし,1 回,5.3%,,02,一発,5 回,8.33%,8 位,,9,+18.1,,南家,+15.64,5 回,78.2
逆転,2 回,10.5%,,16,一気通貫,4 回,6.67%,2 位,,10,+109.4,,西家,+9.54,8 回,76.3
リーチ,43 回,24.6%,,15,ダブル立直,3 回,5.00%,1 位,,11,+100.7,,,,,
副露,55 回,31.4%,,22,対々和,3 回,5.00%,6 位,,12,+45.6,,相手,スコア,回数,合計
リーチ成功,27 回,62.8%,,08,一盃口,1 回,1.67%,12 位,,13,+83.3,,ぱぱ,+59.70,3 回,179.1
副露成功,24 回,43.6%,,09,タンヤオ,1 回,1.67%,12 位,,14,+115.0,,のり,+27.37,3 回,82.1
アガリ,60 回,34.3%,,17,チャンタ,1 回,1.67%,5 位,,15,+157.7,,たかの,+16.63,7 回,116.4
ツモ,35 回,58.3%,,20,三暗刻,1 回,1.67%,10 位,,16,+99.6,,だいち,+13.45,2 回,26.9
ロン,25 回,41.7%,,11,海底摸月,0 回,0.00%,8 位,,17,+112.4,,れんたろう,+12.75,6 回,76.5
放銃,28 回,16.0%,,12,河底撈魚,0 回,0.00%,7 位,,18,+45.4,,りくと,+5.50,2 回,11
連続アガリ,7 回,2 回,,13,嶺上開花,0 回,0.00%,9 位,,19,+94.3,,まっつん,+0.90,9 回,8.1
連続無放銃,14 回,11 回,,14,槍槓,0 回,0.00%,1 位,,,,,ただ,-36.20,6 回,-217.2
平均アガリ点,8058,483500,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-8368,-234300,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,4 個,,,23,小三元,0 回,0.00%,6 位,,,,,,,,
最大点数,106300,,,24,混老頭,0 回,0.00%,5 位,,,,,,,,
チョンボ,2 回,1.1%,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,4 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
