名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,121 回,,,03,ドラ,165 回,60.22%,10 位,,0,±0,1426,,東1局,+379,121 回,45900
総局数,1007 回,,,01,立直,162 回,59.12%,2 位,,1,-1.9,1426,,東2局,+843,117 回,98600
通算スコア,+57.4,,,10,役牌,126 回,45.99%,10 位,,2,+30.0,1431,,東3局,-145,110 回,-15900
平均スコア,+0.47,,,52,赤ドラ,120 回,43.80%,3 位,,3,-10.0,1425,,南1局,+461,104 回,47900
レーティング,1473,,,04,裏ドラ,111 回,40.51%,2 位,,4,+40.0,1434,,南2局,-1935,95 回,-183800
平均順位,1.98 位,,,06,ツモ,89 回,32.48%,6 位,,5,+35.4,1434,,南3局,+903,78 回,70400
1位,40 回,33.1%,,07,平和,41 回,14.96%,8 位,,6,+3.9,1428,,,,,
2位,43 回,35.5%,,02,一発,31 回,11.31%,4 位,,7,-30.1,1423,,起家,スコア,回数,合計
3位,38 回,31.4%,,28,混一色,31 回,11.31%,9 位,,8,-87.1,1414,,東家,-3.81,44 回,-167.6
1位スコア,+46.48,+1859.20,,08,一盃口,23 回,8.39%,6 位,,9,-128.6,1407,,南家,+2.58,41 回,105.6
2位スコア,-0.71,-30.70,,09,タンヤオ,21 回,7.66%,5 位,,10,-183.7,1398,,西家,+3.32,36 回,119.4
3位スコア,-46.61,-1771.10,,22,対々和,15 回,5.47%,5 位,,11,-152.9,1405,,,,,
バランス,-0.28,,,25,七対子,13 回,4.74%,10 位,,12,-208.1,1395,,相手,スコア,回数,合計
ふっとび,15 回,12.4%,,16,一気通貫,9 回,3.28%,5 位,,13,-209.6,1396,,のり,+64.68,5 回,323.4
リーチ,265 回,26.3%,,30,清一色,9 回,3.28%,3 位,,14,-178.5,1402,,ちさと,+36.40,4 回,145.6
副露,194 回,19.3%,,20,三暗刻,7 回,2.55%,7 位,,15,-146.2,1409,,れんたろう,+30.40,25 回,760.1
リーチ成功,161 回,60.8%,,24,混老頭,5 回,1.82%,1 位,,16,-153.3,1408,,ぱぱ,+10.35,11 回,113.9
副露成功,69 回,35.6%,,17,チャンタ,4 回,1.46%,8 位,,17,-161.2,1407,,ほたに,+9.35,11 回,102.9
アガリ,274 回,27.2%,,12,河底撈魚,2 回,0.73%,2 位,,18,-159.0,1408,,いっしー,+4.87,6 回,29.2
放銃,151 回,15.0%,,13,嶺上開花,2 回,0.73%,4 位,,19,-235.6,1394,,ただ,-0.20,60 回,-11.8
ツモ,121 回,44.2%,,15,ダブル立直,2 回,0.73%,4 位,,20,-200.8,1400,,りくと,-0.51,33 回,-16.8
ロン,153 回,55.8%,,29,流し満貫,2 回,0.73%,1 位,,21,-188.6,1403,,たかの,-1.64,33 回,-54
リーチアガリ,161 回,58.8%,,31,国士無双,1 回,0.36%,3 位,,22,-142.6,1411,,だいち,-21.24,51 回,-1083.2
副露アガリ,69 回,25.2%,,32,四暗刻,1 回,0.36%,3 位,,23,-145.8,1411,,あさひ,-45.70,3 回,-137.1
ダマアガリ,44 回,16.1%,,40,九蓮宝燈,1 回,0.36%,1 位,,24,-204.0,1401,,,,,
平均アガリ点,8751,2397700,,11,海底摸月,0 回,0.00%,8 位,,25,-151.5,1411,,,,,
門前アガリ点,9341,1914900,,14,槍槓,0 回,0.00%,1 位,,26,-115.1,1418,,,,,
副露アガリ点,6997,482800,,19,三色同刻,0 回,0.00%,1 位,,27,-27.1,1434,,,,,
平均放銃点,-7063,-1066500,,21,三槓子,0 回,0.00%,1 位,,28,+7.2,1440,,,,,
連続アガリ,4 回,1 回,,23,小三元,0 回,0.00%,5 位,,29,-49.0,1430,,,,,
連続無放銃,45 回,3 回,,26,二盃口,0 回,0.00%,6 位,,30,-99.6,1421,,,,,
最大ドラ数,8 個,,,27,純チャン,0 回,0.00%,4 位,,31,-54.2,1430,,,,,
最高点,103000,,,33,字一色,0 回,0.00%,1 位,,32,-92.0,1424,,,,,
チョンボ,4 回,0.4%,,34,大三元,0 回,0.00%,3 位,,33,-107.4,1422,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-45.8,1433,,,,,
1翻,25 回,9.1%,,36,小四喜,0 回,0.00%,2 位,,35,+19.4,1445,,,,,
2翻,40 回,14.6%,,37,緑一色,0 回,0.00%,1 位,,36,+85.8,1457,,,,,
3翻,49 回,17.9%,,38,清老頭,0 回,0.00%,1 位,,37,+44.7,1450,,,,,
4翻,47 回,17.2%,,39,四槓子,0 回,0.00%,1 位,,38,-18.8,1440,,,,,
5翻,43 回,15.7%,,41,天和,0 回,0.00%,1 位,,39,-16.7,1440,,,,,
6翻,29 回,10.6%,,42,地和,0 回,0.00%,1 位,,40,+39.3,1451,,,,,
7翻,17 回,6.2%,,43,人和,0 回,0.00%,1 位,,41,+96.3,1462,,,,,
8翻,8 回,2.9%,,44,国士13面,0 回,0.00%,1 位,,42,+97.6,1462,,,,,
9翻,9 回,3.3%,,45,四暗刻単騎,0 回,0.00%,2 位,,43,+103.1,1463,,,,,
10翻,4 回,1.5%,,46,純正九蓮,0 回,0.00%,1 位,,44,+96.6,1463,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,45,+39.5,1453,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,+37.3,1454,,,,,
13翻～,3 回,1.1%,,49,大数隣,0 回,0.00%,1 位,,47,+71.1,1460,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,+40.9,1455,,,,,
,,,,51,オープン立直,0 回,0.00%,7 位,,49,-29.9,1443,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-26.9,1444,,,,,
,,,,,,,,,,51,+21.0,1453,,,,,
,,,,,,,,,,52,+30.7,1455,,,,,
,,,,,,,,,,53,+76.8,1463,,,,,
,,,,,,,,,,54,+133.3,1473,,,,,
,,,,,,,,,,55,+181.6,1482,,,,,
,,,,,,,,,,56,+187.6,1483,,,,,
,,,,,,,,,,57,+255.5,1495,,,,,
,,,,,,,,,,58,+244.6,1494,,,,,
,,,,,,,,,,59,+295.0,1503,,,,,
,,,,,,,,,,60,+359.4,1515,,,,,
,,,,,,,,,,61,+347.5,1512,,,,,
,,,,,,,,,,62,+345.6,1512,,,,,
,,,,,,,,,,63,+287.6,1502,,,,,
,,,,,,,,,,64,+323.6,1509,,,,,
,,,,,,,,,,65,+328.6,1509,,,,,
,,,,,,,,,,66,+307.0,1506,,,,,
,,,,,,,,,,67,+274.1,1500,,,,,
,,,,,,,,,,68,+285.4,1501,,,,,
,,,,,,,,,,69,+330.4,1510,,,,,
,,,,,,,,,,70,+382.5,1520,,,,,
,,,,,,,,,,71,+350.4,1514,,,,,
,,,,,,,,,,72,+304.6,1505,,,,,
,,,,,,,,,,73,+275.0,1500,,,,,
,,,,,,,,,,74,+242.1,1494,,,,,
,,,,,,,,,,75,+255.8,1497,,,,,
,,,,,,,,,,76,+198.3,1487,,,,,
,,,,,,,,,,77,+201.7,1487,,,,,
,,,,,,,,,,78,+193.4,1485,,,,,
,,,,,,,,,,79,+151.6,1478,,,,,
,,,,,,,,,,80,+154.2,1478,,,,,
,,,,,,,,,,81,+216.2,1489,,,,,
,,,,,,,,,,82,+225.8,1492,,,,,
