名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,110 回,,,03,ドラ,208 回,78.49%,5 位,,0,±0,1463,,東1局,+1039,110 回,114300
総局数,914 回,,,10,役牌,148 回,55.85%,7 位,,1,-51.2,1455,,東2局,+781,107 回,83600
通算スコア,+136.3,,,01,立直,137 回,51.70%,6 位,,2,-93.3,1447,,東3局,+1440,98 回,141100
平均スコア,+1.24,,,52,赤ドラ,108 回,40.75%,6 位,,3,-60.1,1453,,南1局,-251,87 回,-21800
レーティング,1520,,,04,裏ドラ,88 回,33.21%,5 位,,4,-11.3,1462,,南2局,-1971,78 回,-153700
平均順位,2.02 位,,,06,ツモ,78 回,29.43%,9 位,,5,-36.1,1458,,南3局,-228,71 回,-16200
1位,35 回,31.8%,,07,平和,49 回,18.49%,3 位,,6,+9.1,1466,,,,,
2位,38 回,34.5%,,28,混一色,44 回,16.60%,3 位,,7,-51.3,1456,,起家,スコア,回数,合計
3位,37 回,33.6%,,02,一発,30 回,11.32%,3 位,,8,-1.7,1465,,東家,+3.92,30 回,117.6
1位スコア,+50.95,+1783.10,,08,一盃口,26 回,9.81%,5 位,,9,-5.8,1465,,南家,-1.18,39 回,-46.2
2位スコア,-0.41,-15.70,,25,七対子,20 回,7.55%,5 位,,10,-56.5,1456,,西家,+1.58,41 回,64.9
3位スコア,-44.08,-1631.10,,09,タンヤオ,16 回,6.04%,7 位,,11,-27.6,1461,,,,,
バランス,+2.15,,,16,一気通貫,12 回,4.53%,4 位,,12,-42.9,1459,,相手,スコア,回数,合計
ふっとび,11 回,10.0%,,22,対々和,11 回,4.15%,8 位,,13,-58.7,1456,,いっしー,+18.20,4 回,72.8
リーチ,259 回,28.3%,,30,清一色,10 回,3.77%,2 位,,14,-29.4,1462,,ただ,+16.48,42 回,692.2
副露,181 回,19.8%,,20,三暗刻,8 回,3.02%,4 位,,15,-26.3,1463,,ぱぱ,+13.94,19 回,264.9
リーチ成功,146 回,56.4%,,17,チャンタ,6 回,2.26%,3 位,,16,-50.3,1459,,たかの,+7.01,22 回,154.3
副露成功,74 回,40.9%,,51,オープン立直,6 回,2.26%,3 位,,17,-74.3,1455,,だいち,+1.93,63 回,121.4
アガリ,265 回,29.0%,,11,海底摸月,3 回,1.13%,3 位,,18,-76.1,1456,,りくと,+0.25,38 回,9.4
放銃,163 回,17.8%,,13,嶺上開花,3 回,1.13%,2 位,,19,+0.6,1470,,ほたに,-12.75,6 回,-76.5
ツモ,107 回,40.4%,,15,ダブル立直,3 回,1.13%,3 位,,20,-3.6,1469,,まっつん,-30.40,25 回,-760.1
ロン,158 回,59.6%,,31,国士無双,3 回,1.13%,1 位,,21,-3.1,1470,,かわたつ,-69.50,1 回,-69.5
リーチアガリ,146 回,55.1%,,23,小三元,2 回,0.75%,1 位,,22,-17.1,1468,,,,,
副露アガリ,74 回,27.9%,,26,二盃口,1 回,0.38%,3 位,,23,-55.7,1462,,,,,
ダマアガリ,45 回,17.0%,,32,四暗刻,1 回,0.38%,2 位,,24,-59.5,1462,,,,,
平均アガリ点,10015,2654000,,12,河底撈魚,0 回,0.00%,6 位,,25,-40.0,1466,,,,,
