名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,390 回,,,03,ドラ,722 回,72.78%,7 位,,0,±0,,東1局,-15,390 回,-6000
総局数,3282 回,,,10,役牌,515 回,51.92%,8 位,,1,-5.1,,東2局,-10,387 回,-4000
通算スコア,+0.0,,,01,立直,496 回,50.00%,6 位,,2,+40.4,,東3局,+11,366 回,4000
平均スコア,+0.00,,,52,赤ドラ,392 回,39.52%,6 位,,3,±0,,南1局,+15,333 回,5000
平均順位,2.00 位,,,06,ツモ,298 回,30.04%,5 位,,4,+2.2,,南2局,-16,306 回,-5000
1位,130 回,33.3%,,04,裏ドラ,287 回,28.93%,7 位,,5,-37.0,,南3局,+21,285 回,6000
2位,130 回,33.3%,,07,平和,182 回,18.35%,6 位,,6,±0,,,,,
3位,130 回,33.3%,,02,一発,125 回,12.60%,4 位,,7,+73.3,,起家,スコア,回数,合計
ふっとび,39 回,10.0%,,28,混一色,123 回,12.40%,7 位,,8,+19.7,,東家,-1.08,130 回,-139.8
ふっとばし,39 回,10.0%,,08,一盃口,101 回,10.18%,5 位,,9,-0.0,,南家,-3.13,130 回,-406.6
逆転,37 回,9.5%,,09,タンヤオ,61 回,6.15%,6 位,,10,+40.1,,西家,+4.20,130 回,546.4
リーチ,882 回,26.9%,,25,七対子,56 回,5.65%,5 位,,11,-11.1,,,,,
副露,710 回,21.6%,,22,対々和,45 回,4.54%,6 位,,12,-0.0,,相手,スコア,回数,合計
リーチ成功,521 回,59.1%,,20,三暗刻,31 回,3.13%,7 位,,13,-42.1,,ただ,+32.76,76 回,2490
副露成功,274 回,38.6%,,16,一気通貫,17 回,1.71%,5 位,,14,+18.8,,いっしー,+29.63,20 回,592.5
アガリ,992 回,30.2%,,30,清一色,17 回,1.71%,3 位,,15,-0.0,,まっつん,+9.72,44 回,427.8
ツモ,434 回,43.8%,,17,チャンタ,15 回,1.51%,5 位,,16,+90.9,,ぱぱ,+9.64,70 回,674.7
ロン,558 回,56.3%,,51,オープン立直,15 回,1.51%,4 位,,17,+8.3,,ほたに,+4.83,10 回,48.3
放銃,550 回,16.8%,,13,嶺上開花,7 回,0.71%,5 位,,18,-0.0,,りくと,+4.59,192 回,881.7
連続アガリ,7 回,0 回,,11,海底摸月,6 回,0.60%,4 位,,19,+31.0,,れんたろう,+1.06,94 回,99.3
連続無放銃,31 回,10 回,,31,国士無双,4 回,0.40%,3 位,,20,+0.8,,たかの,-0.42,92 回,-38.7
