名前,いっしー,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,10,役牌,7 回,100.00%,1 位,,0,±0,,東1局,+3600,2 回,7200
総局数,15 回,,,03,ドラ,3 回,42.86%,14 位,,1,+27.8,,東2局,-2200,2 回,-4400
通算スコア,+26.2,,,04,裏ドラ,3 回,42.86%,4 位,,2,+26.2,,東3局,-3500,2 回,-7000
平均スコア,+13.10,,,28,混一色,3 回,42.86%,1 位,,,,,南1局,+7950,2 回,15900
平均順位,1.50 位,,,01,立直,2 回,28.57%,13 位,,,,,南2局,+6000,2 回,12000
1位,1 回,50.0%,,06,ツモ,2 回,28.57%,8 位,,,,,南3局,±0,1 回,0
2位,1 回,50.0%,,22,対々和,2 回,28.57%,1 位,,,,,,,,
3位,0 回,0.0%,,08,一盃口,1 回,14.29%,2 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,09,タンヤオ,1 回,14.29%,1 位,,,,,東家,±0,0 回,0
リーチ,4 回,26.7%,,52,赤ドラ,1 回,14.29%,14 位,,,,,南家,-1.60,1 回,-1.6
副露,5 回,33.3%,,02,一発,0 回,0.00%,14 位,,,,,西家,+27.80,1 回,27.8
リーチ成功,2 回,50.0%,,07,平和,0 回,0.00%,14 位,,,,,,,,
副露成功,5 回,100.0%,,11,海底摸月,0 回,0.00%,5 位,,,,,相手,スコア,回数,合計
アガリ,7 回,46.7%,,12,河底撈魚,0 回,0.00%,7 位,,,,,だいち,+70.50,1 回,70.5
放銃,1 回,6.7%,,13,嶺上開花,0 回,0.00%,10 位,,,,,のり,+17.65,2 回,35.3
ツモ,2 回,28.6%,,14,槍槓,0 回,0.00%,1 位,,,,,まっつん,-27.20,1 回,-27.2
ロン,5 回,71.4%,,15,ダブル立直,0 回,0.00%,6 位,,,,,,,,
リーチアガリ,2 回,28.6%,,16,一気通貫,0 回,0.00%,11 位,,,,,,,,
副露アガリ,5 回,71.4%,,17,チャンタ,0 回,0.00%,10 位,,,,,,,,
ダマアガリ,0 回,0.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,7386,51700,,20,三暗刻,0 回,0.00%,11 位,,,,,,,,
門前アガリ点,8000,16000,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,7140,35700,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-8000,-8000,,24,混老頭,0 回,0.00%,7 位,,,,,,,,
連続アガリ,2 回,0 回,,25,七対子,0 回,0.00%,12 位,,,,,,,,
連続無放銃,9 回,5 回,,26,二盃口,0 回,0.00%,6 位,,,,,,,,
最大ドラ数,4 個,,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
最高点,52800,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
チョンボ,1 回,6.7%,,30,清一色,0 回,0.00%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,6 位,,,,,,,,
1翻,0 回,0.0%,,32,四暗刻,0 回,0.00%,5 位,,,,,,,,
2翻,1 回,14.3%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
3翻,3 回,42.9%,,34,大三元,0 回,0.00%,5 位,,,,,,,,
4翻,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
5翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
6翻,2 回,28.6%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
7翻,1 回,14.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
10翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,9 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
