名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,95 回,,,03,ドラ,156 回,66.95%,11 位,,0,±0,1500,,東1局,+1757,95 回,166900
総局数,848 回,,,10,役牌,126 回,54.08%,8 位,,1,-4.6,1499,,東2局,-1743,93 回,-162100
通算スコア,-703.0,,,52,赤ドラ,84 回,36.05%,10 位,,2,+19.9,1504,,東3局,-2713,91 回,-246900
平均スコア,-7.40,,,01,立直,65 回,27.90%,14 位,,3,-8.3,1498,,南1局,-652,85 回,-55400
レーティング,1400,,,06,ツモ,65 回,27.90%,11 位,,4,-30.7,1494,,南2局,-995,83 回,-82600
平均順位,2.17 位,,,04,裏ドラ,44 回,18.88%,13 位,,5,-55.8,1490,,南3局,-2332,68 回,-158600
1位,25 回,26.3%,,07,平和,39 回,16.74%,5 位,,6,-40.8,1493,,,,,
2位,29 回,30.5%,,09,タンヤオ,32 回,13.73%,2 位,,7,-71.0,1487,,起家,スコア,回数,合計
3位,41 回,43.2%,,08,一盃口,28 回,12.02%,4 位,,8,-76.9,1486,,東家,-12.58,35 回,-440.4
1位スコア,+29.58,+739.60,,22,対々和,20 回,8.58%,2 位,,9,-59.5,1490,,南家,-6.72,28 回,-188.1
2位スコア,-0.32,-9.40,,28,混一色,15 回,6.44%,12 位,,10,-32.7,1495,,西家,-2.33,32 回,-74.5
3位スコア,-34.96,-1433.20,,02,一発,13 回,5.58%,13 位,,11,-35.5,1494,,,,,
バランス,-1.90,,,20,三暗刻,10 回,4.29%,3 位,,12,-59.5,1490,,相手,スコア,回数,合計
ふっとび,9 回,9.5%,,25,七対子,7 回,3.00%,10 位,,13,-66.2,1489,,ともき,+57.23,3 回,171.7
リーチ,124 回,14.6%,,17,チャンタ,5 回,2.15%,3 位,,14,-51.1,1492,,ぱぱ,+7.43,6 回,44.6
副露,222 回,26.2%,,30,清一色,4 回,1.72%,5 位,,15,-65.2,1489,,まっつん,-0.16,32 回,-5.1
リーチ成功,66 回,53.2%,,12,河底撈魚,2 回,0.86%,1 位,,16,-70.6,1488,,りくと,-2.62,21 回,-55.1
副露成功,88 回,39.6%,,13,嶺上開花,2 回,0.86%,4 位,,17,-65.2,1489,,ただ,-13.96,38 回,-530.3
アガリ,233 回,27.5%,,16,一気通貫,2 回,0.86%,10 位,,18,-80.2,1487,,だいち,-15.07,43 回,-648.2
放銃,136 回,16.0%,,27,純チャン,2 回,0.86%,1 位,,19,-115.1,1480,,のり,-18.41,15 回,-276.1
ツモ,100 回,42.9%,,32,四暗刻,2 回,0.86%,1 位,,20,-88.8,1485,,れんたろう,-24.92,31 回,-772.5
ロン,133 回,57.1%,,15,ダブル立直,1 回,0.43%,3 位,,21,-111.4,1481,,たか,-38.00,1 回,-38
リーチアガリ,66 回,28.3%,,23,小三元,1 回,0.43%,3 位,,22,-142.8,1476,,,,,
副露アガリ,88 回,37.8%,,26,二盃口,1 回,0.43%,3 位,,23,-80.9,1487,,,,,
ダマアガリ,79 回,33.9%,,11,海底摸月,0 回,0.00%,6 位,,24,-111.6,1482,,,,,
平均アガリ点,6991,1629000,,14,槍槓,0 回,0.00%,3 位,,25,-97.5,1484,,,,,
門前アガリ点,7473,1083600,,19,三色同刻,0 回,0.00%,1 位,,26,-123.1,1480,,,,,
副露アガリ点,6198,545400,,21,三槓子,0 回,0.00%,1 位,,27,-125.2,1480,,,,,
平均放銃点,-7711,-1048700,,24,混老頭,0 回,0.00%,8 位,,28,-124.4,1481,,,,,
連続アガリ,5 回,0 回,,29,流し満貫,0 回,0.00%,5 位,,29,-156.0,1475,,,,,
連続無放銃,32 回,5 回,,31,国士無双,0 回,0.00%,8 位,,30,-182.9,1470,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,1 位,,31,-203.2,1467,,,,,
最高点,87400,,,34,大三元,0 回,0.00%,6 位,,32,-211.9,1465,,,,,
チョンボ,3 回,0.4%,,35,大四喜,0 回,0.00%,1 位,,33,-183.1,1471,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,34,-168.3,1473,,,,,
1翻,30 回,12.9%,,37,緑一色,0 回,0.00%,1 位,,35,-210.6,1466,,,,,
2翻,49 回,21.0%,,38,清老頭,0 回,0.00%,1 位,,36,-199.2,1468,,,,,
3翻,49 回,21.0%,,39,四槓子,0 回,0.00%,1 位,,37,-177.0,1472,,,,,
4翻,43 回,18.5%,,40,九蓮宝燈,0 回,0.00%,3 位,,38,-213.1,1466,,,,,
5翻,24 回,10.3%,,41,天和,0 回,0.00%,1 位,,39,-238.6,1462,,,,,
6翻,18 回,7.7%,,42,地和,0 回,0.00%,1 位,,40,-193.6,1470,,,,,
7翻,11 回,4.7%,,43,人和,0 回,0.00%,1 位,,41,-170.0,1474,,,,,
8翻,6 回,2.6%,,44,国士13面,0 回,0.00%,1 位,,42,-143.3,1479,,,,,
9翻,1 回,0.4%,,45,四暗刻単騎,0 回,0.00%,3 位,,43,-172.2,1474,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,44,-144.1,1480,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,45,-97.3,1488,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,-145.9,1480,,,,,
13翻～,2 回,0.9%,,49,大数隣,0 回,0.00%,1 位,,47,-187.0,1473,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,-230.3,1465,,,,,
,,,,51,オープン立直,0 回,0.00%,9 位,,49,-256.7,1461,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-292.8,1454,,,,,
,,,,,,,,,,51,-273.6,1458,,,,,
,,,,,,,,,,52,-296.1,1454,,,,,
,,,,,,,,,,53,-383.5,1439,,,,,
,,,,,,,,,,54,-415.0,1434,,,,,
,,,,,,,,,,55,-381.5,1441,,,,,
,,,,,,,,,,56,-369.5,1443,,,,,
,,,,,,,,,,57,-389.2,1440,,,,,
,,,,,,,,,,58,-436.0,1432,,,,,
,,,,,,,,,,59,-399.2,1439,,,,,
,,,,,,,,,,60,-444.3,1431,,,,,
,,,,,,,,,,61,-491.0,1423,,,,,
,,,,,,,,,,62,-482.0,1425,,,,,
,,,,,,,,,,63,-522.2,1419,,,,,
,,,,,,,,,,64,-550.9,1414,,,,,
,,,,,,,,,,65,-526.2,1419,,,,,
,,,,,,,,,,66,-497.9,1424,,,,,
,,,,,,,,,,67,-494.0,1425,,,,,
,,,,,,,,,,68,-513.0,1422,,,,,
,,,,,,,,,,69,-482.6,1428,,,,,
,,,,,,,,,,70,-490.9,1427,,,,,
,,,,,,,,,,71,-486.7,1428,,,,,
,,,,,,,,,,72,-450.0,1435,,,,,
,,,,,,,,,,73,-460.5,1433,,,,,
,,,,,,,,,,74,-460.7,1434,,,,,
,,,,,,,,,,75,-462.2,1434,,,,,
,,,,,,,,,,76,-520.5,1423,,,,,
,,,,,,,,,,77,-490.0,1429,,,,,
,,,,,,,,,,78,-427.6,1441,,,,,
,,,,,,,,,,79,-419.2,1443,,,,,
,,,,,,,,,,80,-427.5,1442,,,,,
,,,,,,,,,,81,-430.9,1442,,,,,
,,,,,,,,,,82,-468.4,1436,,,,,
,,,,,,,,,,83,-502.9,1430,,,,,
,,,,,,,,,,84,-564.2,1419,,,,,
,,,,,,,,,,85,-589.9,1416,,,,,
,,,,,,,,,,86,-582.3,1418,,,,,
,,,,,,,,,,87,-606.9,1414,,,,,
,,,,,,,,,,88,-597.7,1416,,,,,
,,,,,,,,,,89,-581.0,1419,,,,,
,,,,,,,,,,90,-584.9,1419,,,,,
,,,,,,,,,,91,-589.0,1419,,,,,
,,,,,,,,,,92,-643.6,1410,,,,,
,,,,,,,,,,93,-703.8,1399,,,,,
,,,,,,,,,,94,-702.6,1399,,,,,
,,,,,,,,,,95,-703.0,1400,,,,,
