名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,202 回,,,03,ドラ,387 回,72.74%,8 位,,0,±0,1500,,東1局,-701,200 回,-140200
総局数,1667 回,,,10,役牌,295 回,55.45%,4 位,,1,-45.6,1492,,東2局,+1005,196 回,196900
通算スコア,+21.9,,,52,赤ドラ,218 回,40.98%,6 位,,2,-34.3,1494,,東3局,-58,183 回,-10700
平均スコア,+0.11,,,01,立直,193 回,36.28%,12 位,,3,-58.6,1490,,南1局,-63,175 回,-11100
レーティング,1521,,,06,ツモ,143 回,26.88%,12 位,,4,-38.1,1493,,南2局,-1187,160 回,-189900
平均順位,1.97 位,,,04,裏ドラ,103 回,19.36%,12 位,,5,-11.3,1498,,南3局,+1076,136 回,146300
1位,69 回,34.2%,,07,平和,61 回,11.47%,10 位,,6,-11.9,1498,,,,,
2位,70 回,34.7%,,28,混一色,61 回,11.47%,10 位,,7,-9.5,1499,,起家,スコア,回数,合計
3位,63 回,31.2%,,08,一盃口,51 回,9.59%,8 位,,8,-56.8,1490,,東家,-2.07,63 回,-130.3
1位スコア,+34.82,+2402.60,,09,タンヤオ,45 回,8.46%,7 位,,9,-83.7,1485,,南家,+5.57,70 回,389.6
2位スコア,-1.40,-98.10,,02,一発,41 回,7.71%,12 位,,10,-78.4,1486,,西家,-3.44,69 回,-237.4
3位スコア,-36.23,-2282.60,,25,七対子,28 回,5.26%,3 位,,11,-68.1,1488,,,,,
バランス,-0.94,,,22,対々和,23 回,4.32%,8 位,,12,-89.0,1485,,相手,スコア,回数,合計
ふっとび,19 回,9.4%,,16,一気通貫,20 回,3.76%,3 位,,13,-86.8,1485,,ほたに,+75.30,2 回,150.6
リーチ,372 回,22.3%,,20,三暗刻,14 回,2.63%,4 位,,14,-138.4,1476,,ぱぱ,+21.86,8 回,174.9
副露,494 回,29.6%,,30,清一色,14 回,2.63%,2 位,,15,-144.3,1475,,りくと,+17.40,61 回,1061.1
リーチ成功,194 回,52.2%,,17,チャンタ,8 回,1.50%,5 位,,16,-187.3,1467,,のり,+15.22,18 回,274
副露成功,201 回,40.7%,,51,オープン立直,6 回,1.13%,7 位,,17,-179.7,1469,,たかの,+13.96,38 回,530.3
アガリ,532 回,31.9%,,31,国士無双,4 回,0.75%,4 位,,18,-112.9,1481,,ともき,-2.86,5 回,-14.3
