名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,27 回,,,03,ドラ,43 回,48.31%,9 位,,0,±0,,東1局,-1367,27 回,-36900
総局数,235 回,,,10,役牌,41 回,46.07%,9 位,,1,+50.2,,東2局,+92,25 回,2300
通算スコア,+362.4,,,01,立直,36 回,40.45%,8 位,,2,+14.4,,東3局,-300,25 回,-7500
平均スコア,+13.42,,,52,赤ドラ,26 回,29.21%,7 位,,3,+40.4,,南1局,-88,25 回,-2200
平均順位,1.63 位,,,04,裏ドラ,24 回,26.97%,6 位,,4,+101.6,,南2局,+6174,23 回,142000
1位,16 回,59.3%,,06,ツモ,23 回,25.84%,6 位,,5,+99.9,,南3局,+8237,19 回,156500
2位,5 回,18.5%,,28,混一色,14 回,15.73%,2 位,,6,+85.5,,,,,
3位,6 回,22.2%,,07,平和,13 回,14.61%,4 位,,7,+113.3,,起家,スコア,回数,合計
ふっとび,1 回,3.7%,,02,一発,8 回,8.99%,7 位,,8,+148.1,,東家,+16.93,7 回,118.5
ふっとばし,4 回,14.8%,,08,一盃口,6 回,6.74%,7 位,,9,+180.9,,南家,+11.61,10 回,116.1
逆転,5 回,18.5%,,09,タンヤオ,5 回,5.62%,5 位,,10,+158.2,,西家,+12.78,10 回,127.8
リーチ,65 回,27.7%,,25,七対子,4 回,4.49%,5 位,,11,+185.2,,,,,
副露,58 回,24.7%,,16,一気通貫,3 回,3.37%,6 位,,12,+184.9,,相手,スコア,回数,合計
リーチ成功,40 回,61.5%,,51,オープン立直,3 回,3.37%,1 位,,13,+206.4,,まっつん,+75.50,2 回,151
副露成功,31 回,53.4%,,15,ダブル立直,2 回,2.25%,2 位,,14,+240.1,,ぱぱ,+43.60,2 回,87.2
アガリ,89 回,37.9%,,22,対々和,2 回,2.25%,7 位,,15,+269.5,,りくと,+38.12,11 回,419.3
ツモ,39 回,43.8%,,23,小三元,2 回,2.25%,1 位,,16,+323.7,,ただ,+15.60,24 回,374.4
ロン,50 回,56.2%,,31,国士無双,2 回,2.25%,2 位,,17,+359.1,,たかの,+13.08,11 回,143.9
放銃,34 回,14.5%,,20,三暗刻,1 回,1.12%,7 位,,18,+352.4,,れんたろう,-22.15,4 回,-88.6
連続アガリ,5 回,2 回,,24,混老頭,1 回,1.12%,2 位,,19,+383.2,,,,,
連続無放銃,27 回,5 回,,27,純チャン,1 回,1.12%,2 位,,20,+365.5,,,,,
平均アガリ点,8034,715000,,29,流し満貫,1 回,1.12%,1 位,,21,+371.4,,,,,
平均放銃点,-7824,-266000,,30,清一色,1 回,1.12%,4 位,,22,+414.3,,,,,
最大ドラ数,6 個,,,34,大三元,1 回,1.12%,1 位,,23,+356.3,,,,,
最大点数,86200,,,11,海底摸月,0 回,0.00%,1 位,,24,+329.9,,,,,
チョンボ,0 回,0.0%,,12,河底撈魚,0 回,0.00%,1 位,,25,+295.0,,,,,
,,,,13,嶺上開花,0 回,0.00%,1 位,,26,+329.3,,,,,
,,,,14,槍槓,0 回,0.00%,1 位,,27,+362.4,,,,,
,,,,17,チャンタ,0 回,0.00%,5 位,,,,,,,,
,,,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,3 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
