名前,ともき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,20 回,,,01,立直,32 回,59.26%,4 位,,0,±0,1497,,東1局,-3300,20 回,-66000
総局数,166 回,,,03,ドラ,32 回,59.26%,11 位,,1,+17.6,1500,,東2局,-975,20 回,-19500
通算スコア,-135.9,,,04,裏ドラ,26 回,48.15%,2 位,,2,+27.8,1502,,東3局,-2530,20 回,-50600
平均スコア,-6.80,,,10,役牌,23 回,42.59%,9 位,,3,+20.4,1500,,南1局,+1376,17 回,23400
レーティング,1477,,,06,ツモ,22 回,40.74%,2 位,,4,+53.1,1507,,南2局,-1373,15 回,-20600
平均順位,2.15 位,,,52,赤ドラ,14 回,25.93%,11 位,,5,+28.6,1502,,南3局,+2285,13 回,29700
1位,6 回,30.0%,,02,一発,9 回,16.67%,2 位,,6,-17.8,1494,,,,,
2位,5 回,25.0%,,08,一盃口,6 回,11.11%,4 位,,7,+23.1,1501,,起家,スコア,回数,合計
3位,9 回,45.0%,,07,平和,5 回,9.26%,9 位,,8,+41.3,1505,,東家,-19.17,6 回,-115
1位スコア,+29.70,+178.20,,28,混一色,3 回,5.56%,11 位,,9,+79.7,1512,,南家,-1.91,8 回,-15.3
2位スコア,+2.56,+12.80,,13,嶺上開花,2 回,3.70%,1 位,,10,+86.1,1513,,西家,-0.93,6 回,-5.6
3位スコア,-36.32,-326.90,,17,チャンタ,2 回,3.70%,2 位,,11,+54.2,1507,,,,,
バランス,-1.35,,,22,対々和,2 回,3.70%,8 位,,12,+4.9,1498,,相手,スコア,回数,合計
ふっとび,4 回,20.0%,,24,混老頭,2 回,3.70%,1 位,,13,-47.6,1490,,まっつん,+32.33,4 回,129.3
リーチ,58 回,34.9%,,09,タンヤオ,1 回,1.85%,11 位,,14,-55.5,1489,,りくと,+19.25,4 回,77
副露,20 回,12.0%,,25,七対子,1 回,1.85%,9 位,,15,-25.1,1495,,れんたろう,+2.91,10 回,29.1
リーチ成功,31 回,53.4%,,11,海底摸月,0 回,0.00%,5 位,,16,-13.6,1497,,ただ,+2.86,5 回,14.3
副露成功,13 回,65.0%,,12,河底撈魚,0 回,0.00%,5 位,,17,-30.7,1495,,ぱぱ,-0.17,3 回,-0.5
アガリ,54 回,32.5%,,14,槍槓,0 回,0.00%,2 位,,18,-55.6,1491,,のり,-22.93,3 回,-68.8
放銃,28 回,16.9%,,15,ダブル立直,0 回,0.00%,4 位,,19,-102.0,1483,,だいち,-52.05,8 回,-416.4
ツモ,29 回,53.7%,,16,一気通貫,0 回,0.00%,9 位,,20,-135.9,1477,,たかの,-57.23,3 回,-171.7
ロン,25 回,46.3%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,31 回,57.4%,,20,三暗刻,0 回,0.00%,9 位,,,,,,,,,
副露アガリ,13 回,24.1%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,10 回,18.5%,,23,小三元,0 回,0.00%,4 位,,,,,,,,,
平均アガリ点,6648,359000,,26,二盃口,0 回,0.00%,5 位,,,,,,,,,
門前アガリ点,7278,298400,,27,純チャン,0 回,0.00%,4 位,,,,,,,,,
副露アガリ点,4662,60600,,29,流し満貫,0 回,0.00%,4 位,,,,,,,,,
平均放銃点,-8507,-238200,,30,清一色,0 回,0.00%,8 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,,
連続無放銃,20 回,0 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,7 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,65900,,,34,大三元,0 回,0.00%,5 位,,,,,,,,,
チョンボ,2 回,1.2%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,2 位,,,,,,,,,
1翻,6 回,11.1%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,15 回,27.8%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,8 回,14.8%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,9 回,16.7%,,40,九蓮宝燈,0 回,0.00%,2 位,,,,,,,,,
5翻,9 回,16.7%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,3.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,3 回,5.6%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,1.9%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,2 位,,,,,,,,,
10翻,1 回,1.9%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
