名前,のり,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,79 回,,,03,ドラ,108 回,67.92%,10 位,,0,±0,1500,,東1局,-3476,79 回,-274600
総局数,647 回,,,10,役牌,105 回,66.04%,2 位,,1,-12.0,1498,,東2局,+619,78 回,48300
通算スコア,-896.8,,,01,立直,67 回,42.14%,11 位,,2,-40.6,1493,,東3局,-1241,73 回,-90600
平均スコア,-11.35,,,52,赤ドラ,57 回,35.85%,11 位,,3,-33.6,1494,,南1局,-1640,65 回,-106600
レーティング,1373,,,06,ツモ,45 回,28.30%,9 位,,4,-80.5,1486,,南2局,-1474,61 回,-89900
平均順位,2.28 位,,,04,裏ドラ,40 回,25.16%,9 位,,5,-124.3,1478,,南3局,-1737,49 回,-85100
1位,12 回,15.2%,,28,混一色,26 回,16.35%,4 位,,6,-159.6,1472,,,,,
2位,33 回,41.8%,,02,一発,16 回,10.06%,9 位,,7,-99.5,1482,,起家,スコア,回数,合計
3位,34 回,43.0%,,08,一盃口,15 回,9.43%,10 位,,8,-152.6,1473,,東家,-21.06,32 回,-673.9
1位スコア,+34.97,+419.60,,09,タンヤオ,14 回,8.81%,5 位,,9,-150.6,1473,,南家,+0.32,25 回,8
2位スコア,-0.58,-19.10,,07,平和,13 回,8.18%,12 位,,10,-151.1,1474,,西家,-10.50,22 回,-230.9
3位スコア,-38.16,-1297.30,,20,三暗刻,10 回,6.29%,2 位,,11,-175.0,1469,,,,,
バランス,-1.26,,,22,対々和,10 回,6.29%,4 位,,12,-176.9,1469,,相手,スコア,回数,合計
ふっとび,14 回,17.7%,,25,七対子,8 回,5.03%,4 位,,13,-217.6,1462,,ともき,+22.93,3 回,68.8
リーチ,135 回,20.9%,,30,清一色,4 回,2.52%,3 位,,14,-266.9,1453,,たかの,+11.63,23 回,267.6
副露,148 回,22.9%,,16,一気通貫,2 回,1.26%,9 位,,15,-272.5,1453,,ゆう,+2.10,3 回,6.3
リーチ成功,70 回,51.9%,,11,海底摸月,1 回,0.63%,2 位,,16,-320.3,1444,,ただ,-15.22,18 回,-274
副露成功,60 回,40.5%,,12,河底撈魚,1 回,0.63%,2 位,,17,-352.6,1439,,いっしー,-17.65,2 回,-35.3
アガリ,159 回,24.6%,,17,チャンタ,1 回,0.63%,10 位,,18,-355.5,1439,,まっつん,-19.00,29 回,-551
放銃,117 回,18.1%,,31,国士無双,1 回,0.63%,6 位,,19,-400.6,1431,,れんたろう,-19.18,34 回,-652
ツモ,75 回,47.2%,,34,大三元,1 回,0.63%,1 位,,20,-428.1,1426,,りくと,-25.29,8 回,-202.3
ロン,84 回,52.8%,,51,オープン立直,1 回,0.63%,8 位,,21,-423.7,1427,,だいち,-29.70,28 回,-831.5
リーチアガリ,70 回,44.0%,,13,嶺上開花,0 回,0.00%,10 位,,22,-465.0,1420,,ぱぱ,-44.49,8 回,-355.9
副露アガリ,60 回,37.7%,,14,槍槓,0 回,0.00%,3 位,,23,-450.1,1423,,ほたに,-65.55,2 回,-131.1
ダマアガリ,29 回,18.2%,,15,ダブル立直,0 回,0.00%,6 位,,24,-474.1,1419,,,,,
平均アガリ点,8429,1340200,,19,三色同刻,0 回,0.00%,1 位,,25,-488.3,1417,,,,,
門前アガリ点,9018,892800,,21,三槓子,0 回,0.00%,1 位,,26,-439.2,1426,,,,,
副露アガリ点,7457,447400,,23,小三元,0 回,0.00%,6 位,,27,-418.8,1430,,,,,
平均放銃点,-8517,-996500,,24,混老頭,0 回,0.00%,8 位,,28,-447.3,1426,,,,,
連続アガリ,5 回,0 回,,26,二盃口,0 回,0.00%,7 位,,29,-442.6,1427,,,,,
連続無放銃,21 回,15 回,,27,純チャン,0 回,0.00%,6 位,,30,-472.5,1422,,,,,
最大ドラ数,6 個,,,29,流し満貫,0 回,0.00%,5 位,,31,-473.1,1422,,,,,
最高点,85100,,,32,四暗刻,0 回,0.00%,5 位,,32,-525.4,1414,,,,,
チョンボ,3 回,0.5%,,33,字一色,0 回,0.00%,1 位,,33,-548.2,1410,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-531.9,1414,,,,,
1翻,12 回,7.5%,,36,小四喜,0 回,0.00%,3 位,,35,-482.7,1423,,,,,
2翻,28 回,17.6%,,37,緑一色,0 回,0.00%,1 位,,36,-498.0,1421,,,,,
3翻,32 回,20.1%,,38,清老頭,0 回,0.00%,1 位,,37,-547.0,1412,,,,,
4翻,29 回,18.2%,,39,四槓子,0 回,0.00%,1 位,,38,-570.1,1409,,,,,
5翻,23 回,14.5%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,-524.9,1417,,,,,
6翻,14 回,8.8%,,41,天和,0 回,0.00%,1 位,,40,-573.7,1409,,,,,
7翻,10 回,6.3%,,42,地和,0 回,0.00%,1 位,,41,-624.8,1400,,,,,
8翻,6 回,3.8%,,43,人和,0 回,0.00%,1 位,,42,-604.8,1405,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,43,-623.3,1402,,,,,
10翻,1 回,0.6%,,45,四暗刻単騎,0 回,0.00%,3 位,,44,-588.1,1409,,,,,
11翻,2 回,1.3%,,46,純正九蓮,0 回,0.00%,1 位,,45,-559.2,1414,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-555.9,1415,,,,,
13翻～,2 回,1.3%,,48,大竹林,0 回,0.00%,1 位,,47,-550.6,1416,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-545.0,1418,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-581.3,1412,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-579.3,1413,,,,,
,,,,,,,,,,51,-614.7,1407,,,,,
,,,,,,,,,,52,-603.1,1409,,,,,
,,,,,,,,,,53,-652.6,1401,,,,,
,,,,,,,,,,54,-626.4,1406,,,,,
,,,,,,,,,,55,-626.4,1406,,,,,
,,,,,,,,,,56,-620.0,1408,,,,,
,,,,,,,,,,57,-623.6,1408,,,,,
,,,,,,,,,,58,-614.2,1410,,,,,
,,,,,,,,,,59,-627.4,1408,,,,,
,,,,,,,,,,60,-656.2,1404,,,,,
,,,,,,,,,,61,-653.4,1405,,,,,
,,,,,,,,,,62,-665.4,1403,,,,,
,,,,,,,,,,63,-697.1,1398,,,,,
,,,,,,,,,,64,-704.9,1397,,,,,
,,,,,,,,,,65,-668.9,1404,,,,,
,,,,,,,,,,66,-672.4,1404,,,,,
,,,,,,,,,,67,-655.4,1408,,,,,
,,,,,,,,,,68,-656.1,1409,,,,,
,,,,,,,,,,69,-691.9,1402,,,,,
,,,,,,,,,,70,-739.5,1395,,,,,
