名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,36 回,,,03,ドラ,68 回,82.93%,3 位,,0,±0,1500,,東1局,-2180,35 回,-76300
総局数,328 回,,,01,立直,50 回,60.98%,3 位,,1,+70.2,1513,,東2局,-4003,34 回,-136100
通算スコア,-257.9,,,06,ツモ,40 回,48.78%,1 位,,2,+68.5,1512,,東3局,+1606,32 回,51400
平均スコア,-7.16,,,52,赤ドラ,35 回,42.68%,4 位,,3,+76.0,1514,,南1局,-2391,32 回,-76500
レーティング,1456,,,10,役牌,29 回,35.37%,12 位,,4,+115.5,1521,,南2局,+2221,29 回,64400
平均順位,2.08 位,,,07,平和,18 回,21.95%,2 位,,5,+127.9,1523,,南3局,+71,24 回,1700
1位,12 回,33.3%,,04,裏ドラ,17 回,20.73%,11 位,,6,+149.4,1526,,,,,
2位,9 回,25.0%,,02,一発,10 回,12.20%,6 位,,7,+123.0,1522,,起家,スコア,回数,合計
3位,15 回,41.7%,,08,一盃口,9 回,10.98%,7 位,,8,+124.6,1522,,東家,-10.32,13 回,-134.1
1位スコア,+28.72,+344.60,,09,タンヤオ,7 回,8.54%,6 位,,9,+141.5,1525,,南家,-7.68,10 回,-76.8
2位スコア,-1.10,-9.90,,28,混一色,7 回,8.54%,11 位,,10,+162.8,1528,,西家,-3.62,13 回,-47
3位スコア,-39.51,-592.60,,16,一気通貫,5 回,6.10%,2 位,,11,+126.1,1522,,,,,
バランス,-3.96,,,25,七対子,4 回,4.88%,5 位,,12,+78.1,1513,,相手,スコア,回数,合計
ふっとび,7 回,19.4%,,22,対々和,2 回,2.44%,12 位,,13,+76.7,1513,,のり,+44.49,8 回,355.9
リーチ,95 回,29.0%,,51,オープン立直,2 回,2.44%,3 位,,14,+49.9,1508,,ともき,+0.17,3 回,0.5
副露,49 回,14.9%,,13,嶺上開花,1 回,1.22%,2 位,,15,+73.7,1512,,りくと,-0.02,13 回,-0.3
リーチ成功,51 回,53.7%,,20,三暗刻,1 回,1.22%,10 位,,16,+28.3,1504,,たかの,-7.43,6 回,-44.6
副露成功,15 回,30.6%,,24,混老頭,1 回,1.22%,2 位,,17,+49.8,1508,,ほたに,-17.85,2 回,-35.7
アガリ,82 回,25.0%,,26,二盃口,1 回,1.22%,2 位,,18,+24.7,1503,,ただ,-21.86,8 回,-174.9
放銃,58 回,17.7%,,11,海底摸月,0 回,0.00%,6 位,,19,+8.7,1501,,まっつん,-23.84,7 回,-166.9
ツモ,49 回,59.8%,,12,河底撈魚,0 回,0.00%,7 位,,20,-33.0,1493,,れんたろう,-25.78,13 回,-335.2
ロン,33 回,40.2%,,14,槍槓,0 回,0.00%,3 位,,21,-35.4,1493,,だいち,-31.04,12 回,-372.5
リーチアガリ,51 回,62.2%,,15,ダブル立直,0 回,0.00%,6 位,,22,-13.5,1497,,,,,
副露アガリ,15 回,18.3%,,17,チャンタ,0 回,0.00%,11 位,,23,+27.3,1504,,,,,
ダマアガリ,16 回,19.5%,,19,三色同刻,0 回,0.00%,1 位,,24,+2.2,1500,,,,,
平均アガリ点,8052,660300,,21,三槓子,0 回,0.00%,1 位,,25,-45.7,1492,,,,,
門前アガリ点,8349,559400,,23,小三元,0 回,0.00%,6 位,,26,-29.9,1495,,,,,
副露アガリ点,6727,100900,,27,純チャン,0 回,0.00%,6 位,,27,-76.5,1487,,,,,
平均放銃点,-7578,-439500,,29,流し満貫,0 回,0.00%,5 位,,28,-129.6,1477,,,,,
連続アガリ,3 回,0 回,,30,清一色,0 回,0.00%,10 位,,29,-128.8,1478,,,,,
連続無放銃,19 回,0 回,,31,国士無双,0 回,0.00%,8 位,,30,-106.4,1483,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,5 位,,31,-77.4,1487,,,,,
最高点,95200,,,33,字一色,0 回,0.00%,1 位,,32,-96.7,1484,,,,,
チョンボ,2 回,0.6%,,34,大三元,0 回,0.00%,6 位,,33,-138.5,1477,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-194.3,1467,,,,,
1翻,9 回,11.0%,,36,小四喜,0 回,0.00%,3 位,,35,-201.7,1466,,,,,
2翻,12 回,14.6%,,37,緑一色,0 回,0.00%,1 位,,36,-257.9,1456,,,,,
3翻,14 回,17.1%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
4翻,11 回,13.4%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
5翻,15 回,18.3%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
6翻,14 回,17.1%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,4 回,4.9%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,2.4%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,1.2%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
