名前,ゆう,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,01,立直,2 回,66.67%,2 位,,0,±0,,東1局,-2900,3 回,-8700
総局数,24 回,,,06,ツモ,2 回,66.67%,1 位,,1,+1.3,,東2局,-2667,3 回,-8000
通算スコア,-66.4,,,07,平和,2 回,66.67%,1 位,,2,-9.2,,東3局,-4750,2 回,-9500
平均スコア,-22.13,,,16,一気通貫,2 回,66.67%,1 位,,3,-66.4,,南1局,+5250,2 回,10500
平均順位,2.33 位,,,02,一発,1 回,33.33%,1 位,,,,,南2局,-3000,2 回,-6000
1位,0 回,0.0%,,03,ドラ,1 回,33.33%,14 位,,,,,南3局,-3000,1 回,-3000
2位,2 回,66.7%,,04,裏ドラ,1 回,33.33%,6 位,,,,,,,,
3位,1 回,33.3%,,10,役牌,1 回,33.33%,12 位,,,,,起家,スコア,回数,合計
ふっとび,1 回,33.3%,,26,二盃口,1 回,33.33%,1 位,,,,,東家,±0,0 回,0
リーチ,8 回,33.3%,,28,混一色,1 回,33.33%,2 位,,,,,南家,-22.13,3 回,-66.4
副露,4 回,16.7%,,08,一盃口,0 回,0.00%,14 位,,,,,西家,±0,0 回,0
リーチ成功,2 回,25.0%,,09,タンヤオ,0 回,0.00%,14 位,,,,,,,,
副露成功,1 回,25.0%,,11,海底摸月,0 回,0.00%,5 位,,,,,相手,スコア,回数,合計
アガリ,3 回,12.5%,,12,河底撈魚,0 回,0.00%,7 位,,,,,のり,-2.10,3 回,-6.3
放銃,6 回,25.0%,,13,嶺上開花,0 回,0.00%,9 位,,,,,たか,-64.30,3 回,-192.9
ツモ,2 回,66.7%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
ロン,1 回,33.3%,,15,ダブル立直,0 回,0.00%,5 位,,,,,,,,
リーチアガリ,2 回,66.7%,,17,チャンタ,0 回,0.00%,10 位,,,,,,,,
副露アガリ,1 回,33.3%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,0 回,0.0%,,20,三暗刻,0 回,0.00%,10 位,,,,,,,,
平均アガリ点,10667,32000,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
門前アガリ点,12000,24000,,22,対々和,0 回,0.00%,13 位,,,,,,,,
副露アガリ点,8000,8000,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-7317,-43900,,24,混老頭,0 回,0.00%,7 位,,,,,,,,
連続アガリ,1 回,0 回,,25,七対子,0 回,0.00%,12 位,,,,,,,,
連続無放銃,6 回,0 回,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
最大ドラ数,1 個,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
最高点,36300,,,30,清一色,0 回,0.00%,10 位,,,,,,,,
チョンボ,0 回,0.0%,,31,国士無双,0 回,0.00%,6 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,5 位,,,,,,,,
1翻,0 回,0.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
2翻,0 回,0.0%,,34,大三元,0 回,0.00%,5 位,,,,,,,,
3翻,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
4翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
5翻,1 回,33.3%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
6翻,1 回,33.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
7翻,1 回,33.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
9翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,8 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.00%,14 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
