名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,83 回,,,03,ドラ,148 回,74.75%,7 位,,0,±0,,東1局,-433,82 回,-35500
総局数,704 回,,,01,立直,112 回,56.57%,3 位,,1,-37.8,,東2局,-999,82 回,-81900
通算スコア,-524.5,,,10,役牌,100 回,50.51%,8 位,,2,-30.1,,東3局,+596,76 回,45300
平均スコア,-6.32,,,52,赤ドラ,83 回,41.92%,2 位,,3,-17.6,,南1局,-212,75 回,-15900
平均順位,2.17 位,,,06,ツモ,66 回,33.33%,4 位,,4,-54.9,,南2局,-3135,71 回,-222600
1位,18 回,21.7%,,04,裏ドラ,55 回,27.78%,6 位,,5,-33.7,,南3局,-1636,61 回,-99800
2位,33 回,39.8%,,07,平和,27 回,13.64%,8 位,,6,-57.4,,,,,
3位,32 回,38.6%,,08,一盃口,25 回,12.63%,3 位,,7,-39.5,,起家,スコア,回数,合計
ふっとび,6 回,7.2%,,02,一発,24 回,12.12%,5 位,,8,-63.0,,東家,-4.69,33 回,-154.9
リーチ,197 回,28.0%,,28,混一色,24 回,12.12%,8 位,,9,-74.2,,南家,-8.61,23 回,-198.1
副露,142 回,20.2%,,22,対々和,10 回,5.05%,7 位,,10,-117.2,,西家,-6.35,27 回,-171.5
リーチ成功,112 回,56.9%,,09,タンヤオ,8 回,4.04%,12 位,,11,-177.3,,,,,
副露成功,58 回,40.8%,,25,七対子,8 回,4.04%,8 位,,12,-158.6,,相手,スコア,回数,合計
アガリ,198 回,28.1%,,16,一気通貫,7 回,3.54%,3 位,,13,-207.3,,たかの,+8.61,15 回,129.1
放銃,134 回,19.0%,,51,オープン立直,4 回,2.02%,5 位,,14,-204.8,,れんたろう,+3.46,19 回,65.7
ツモ,89 回,44.9%,,13,嶺上開花,3 回,1.52%,2 位,,15,-221.5,,のり,+3.17,3 回,9.5
ロン,109 回,55.1%,,20,三暗刻,3 回,1.52%,8 位,,16,-224.3,,ぱぱ,+0.14,10 回,1.4
リーチアガリ,112 回,56.6%,,17,チャンタ,2 回,1.01%,6 位,,17,-251.4,,まっつん,-14.39,23 回,-331
副露アガリ,58 回,29.3%,,30,清一色,1 回,0.51%,8 位,,18,-240.0,,だいち,-14.41,52 回,-749.2
ダマアガリ,28 回,14.1%,,11,海底摸月,0 回,0.00%,5 位,,19,-218.0,,ただ,-14.94,43 回,-642.4
平均アガリ点,7713,1527100,,12,河底撈魚,0 回,0.00%,7 位,,20,-177.6,,ほたに,-56.60,1 回,-56.6
門前アガリ点,8229,1152000,,14,槍槓,0 回,0.00%,1 位,,21,-133.3,,,,,
副露アガリ点,6467,375100,,15,ダブル立直,0 回,0.00%,5 位,,22,-164.6,,,,,
平均放銃点,-7486,-1003100,,19,三色同刻,0 回,0.00%,1 位,,23,-162.7,,,,,
連続アガリ,4 回,1 回,,21,三槓子,0 回,0.00%,1 位,,24,-163.0,,,,,
連続無放銃,21 回,1 回,,23,小三元,0 回,0.00%,6 位,,25,-185.0,,,,,
最大ドラ数,8 個,,,24,混老頭,0 回,0.00%,6 位,,26,-186.0,,,,,
最高点,69500,,,26,二盃口,0 回,0.00%,4 位,,27,-163.0,,,,,
チョンボ,3 回,0.4%,,27,純チャン,0 回,0.00%,5 位,,28,-181.7,,,,,
,,,,29,流し満貫,0 回,0.00%,5 位,,29,-159.9,,,,,
1翻,14 回,7.1%,,31,国士無双,0 回,0.00%,6 位,,30,-175.6,,,,,
2翻,37 回,18.7%,,32,四暗刻,0 回,0.00%,5 位,,31,-212.6,,,,,
3翻,45 回,22.7%,,33,字一色,0 回,0.00%,1 位,,32,-244.8,,,,,
4翻,30 回,15.2%,,34,大三元,0 回,0.00%,5 位,,33,-261.3,,,,,
5翻,35 回,17.7%,,35,大四喜,0 回,0.00%,1 位,,34,-236.8,,,,,
6翻,19 回,9.6%,,36,小四喜,0 回,0.00%,3 位,,35,-264.6,,,,,
7翻,11 回,5.6%,,37,緑一色,0 回,0.00%,1 位,,36,-252.2,,,,,
8翻,4 回,2.0%,,38,清老頭,0 回,0.00%,1 位,,37,-261.0,,,,,
9翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,38,-245.4,,,,,
10翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,-227.0,,,,,
11翻,1 回,0.5%,,41,天和,0 回,0.00%,1 位,,40,-268.4,,,,,
12翻,2 回,1.0%,,42,地和,0 回,0.00%,1 位,,41,-264.4,,,,,
13翻～,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,42,-268.9,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,43,-299.4,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,44,-330.7,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,45,-353.1,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,46,-351.8,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,-346.2,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-357.4,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-404.1,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-401.0,,,,,
,,,,,,,,,,51,-414.8,,,,,
,,,,,,,,,,52,-403.9,,,,,
