名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,167 回,,,03,ドラ,350 回,91.62%,2 位,,0,±0,1500,,東1局,+1687,166 回,280000
総局数,1359 回,,,10,役牌,218 回,57.07%,3 位,,1,-9.1,1498,,東2局,-1890,162 回,-306100
通算スコア,+888.2,,,01,立直,207 回,54.19%,6 位,,2,-67.3,1488,,東3局,+147,146 回,21500
平均スコア,+5.32,,,06,ツモ,147 回,38.48%,3 位,,3,-113.8,1480,,南1局,+2348,135 回,317000
レーティング,1638,,,52,赤ドラ,147 回,38.48%,8 位,,4,-74.6,1487,,南2局,+1683,123 回,207000
平均順位,1.91 位,,,04,裏ドラ,142 回,37.17%,5 位,,5,-118.3,1479,,南3局,+663,93 回,61700
1位,68 回,40.7%,,28,混一色,93 回,24.35%,3 位,,6,-60.3,1490,,,,,
2位,46 回,27.5%,,07,平和,77 回,20.16%,3 位,,7,-60.8,1490,,起家,スコア,回数,合計
3位,53 回,31.7%,,02,一発,51 回,13.35%,4 位,,8,-110.2,1481,,東家,-8.27,46 回,-380.2
1位スコア,+41.66,+2832.90,,08,一盃口,47 回,12.30%,3 位,,9,-121.0,1479,,南家,+9.92,64 回,634.9
2位スコア,-0.43,-19.80,,09,タンヤオ,26 回,6.81%,10 位,,10,-113.3,1481,,西家,+11.11,57 回,633.5
3位スコア,-36.32,-1924.90,,51,オープン立直,19 回,4.97%,1 位,,11,-163.7,1472,,,,,
バランス,+1.64,,,22,対々和,13 回,3.40%,11 位,,12,-110.5,1481,,相手,スコア,回数,合計
ふっとび,20 回,12.0%,,25,七対子,13 回,3.40%,9 位,,13,-132.4,1478,,ほたに,+60.65,2 回,121.3
リーチ,407 回,29.9%,,30,清一色,9 回,2.36%,4 位,,14,-86.5,1486,,たかの,+28.89,33 回,953.4
副露,256 回,18.8%,,20,三暗刻,6 回,1.57%,8 位,,15,-101.8,1483,,ぱぱ,+25.78,13 回,335.2
リーチ成功,223 回,54.8%,,31,国士無双,6 回,1.57%,1 位,,16,-63.1,1490,,のり,+19.18,34 回,652
副露成功,100 回,39.1%,,16,一気通貫,5 回,1.31%,8 位,,17,-55.8,1492,,まっつん,+7.26,77 回,558.9
アガリ,382 回,28.1%,,17,チャンタ,4 回,1.05%,8 位,,18,-25.0,1497,,ただ,+3.24,66 回,213.8
放銃,233 回,17.1%,,24,混老頭,4 回,1.05%,4 位,,19,-27.8,1497,,りくと,-0.54,26 回,-14
ツモ,195 回,51.0%,,23,小三元,3 回,0.79%,1 位,,20,-50.4,1493,,だいち,-1.74,73 回,-126.9
