名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,1149 回,,,03,ドラ,2101 回,74.88%,#N/A,,0,±0,1532,,東1局,-28,1143 回,-32000
総局数,9561 回,,,10,役牌,1526 回,54.38%,#N/A,,1,-4.6,1531,,東2局,+8,1122 回,9000
通算スコア,-0.0,,,01,立直,1262 回,44.98%,#N/A,,2,+45.6,1540,,東3局,-2,1053 回,-2000
平均スコア,-0.00,,,52,赤ドラ,1111 回,39.59%,#N/A,,3,±0,1532,,南1局,±0,987 回,0
レーティング,1570,,,06,ツモ,877 回,31.25%,#N/A,,4,+24.5,1536,,南2局,+5,912 回,5000
平均順位,2.00 位,,,04,裏ドラ,753 回,26.84%,#N/A,,5,-11.3,1530,,南3局,+25,756 回,19000
1位,383 回,33.3%,,28,混一色,397 回,14.15%,#N/A,,6,+0.0,1533,,,,,
2位,383 回,33.3%,,07,平和,395 回,14.08%,#N/A,,7,-37.8,1526,,起家,スコア,回数,合計
3位,383 回,33.3%,,02,一発,282 回,10.05%,#N/A,,8,-46.9,1524,,東家,-4.95,383 回,-1897.4
1位スコア,+35.31,+13524.60,,08,一盃口,265 回,9.44%,#N/A,,9,±0,1532,,南家,+2.69,383 回,1029
2位スコア,-0.05,-20.40,,09,タンヤオ,226 回,8.05%,#N/A,,10,-12.0,1530,,西家,+2.27,383 回,868.4
3位スコア,-35.26,-13504.20,,22,対々和,139 回,4.95%,#N/A,,11,+58.2,1542,,,,,
バランス,±0,,,25,七対子,133 回,4.74%,#N/A,,12,±0,1532,,相手,スコア,回数,合計
ふっとび,115 回,10.0%,,16,一気通貫,76 回,2.71%,#N/A,,13,-1.7,1531,,ゆう,+24.24,10 回,242.4
リーチ,2383 回,24.9%,,20,三暗刻,65 回,2.32%,#N/A,,14,+24.3,1536,,ほたに,+22.46,14 回,314.4
副露,2221 回,23.2%,,51,オープン立直,56 回,2.00%,#N/A,,15,±0,1532,,のり,+17.03,158 回,2690.4
リーチ成功,1305 回,54.8%,,30,清一色,45 回,1.60%,#N/A,,16,-28.2,1527,,ぱぱ,+10.75,72 回,773.7
副露成功,932 回,42.0%,,17,チャンタ,37 回,1.32%,#N/A,,17,-20.5,1527,,ともき,+10.19,40 回,407.7
アガリ,2806 回,29.3%,,31,国士無双,21 回,0.75%,#N/A,,18,±0,1530,,たかの,+9.91,210 回,2081.1
放銃,1522 回,15.9%,,13,嶺上開花,20 回,0.71%,#N/A,,19,-22.4,1527,,りくと,+9.51,242 回,2300.7
ツモ,1267 回,45.2%,,24,混老頭,16 回,0.57%,#N/A,,20,-61.2,1520,,まっつん,+0.71,342 回,244.5
ロン,1539 回,54.8%,,11,海底摸月,10 回,0.36%,#N/A,,21,+0.0,1532,,ただ,-0.16,404 回,-65.7
リーチアガリ,1305 回,46.5%,,12,河底撈魚,10 回,0.36%,#N/A,,22,-25.1,1527,,れんたろう,-7.98,334 回,-2664.6
副露アガリ,932 回,33.2%,,15,ダブル立直,8 回,0.29%,#N/A,,23,-26.8,1527,,だいち,-13.35,468 回,-6246
ダマアガリ,569 回,20.3%,,23,小三元,8 回,0.29%,#N/A,,24,+0.0,1532,,いっしー,-19.65,4 回,-78.6
平均アガリ点,8405,23583500,,27,純チャン,7 回,0.25%,#N/A,,25,+15.0,1535,,,,,
門前アガリ点,9097,17047100,,26,二盃口,5 回,0.18%,#N/A,,26,+0.6,1533,,,,,
副露アガリ点,7013,6536400,,29,流し満貫,5 回,0.18%,#N/A,,27,+0.0,1533,,,,,
平均放銃点,-7861,-11965100,,34,大三元,5 回,0.18%,#N/A,,28,-30.2,1528,,,,,
連続アガリ,7 回,0 回,,32,四暗刻,4 回,0.14%,#N/A,,29,-2.4,1533,,,,,
連続無放銃,33 回,1 回,,14,槍槓,1 回,0.04%,#N/A,,30,+0.0,1534,,,,,
最大ドラ数,8 個,,,36,小四喜,1 回,0.04%,#N/A,,31,+12.5,1537,,,,,
最高点,149100,,,40,九蓮宝燈,1 回,0.04%,#N/A,,32,+47.3,1543,,,,,
チョンボ,28 回,0.3%,,45,四暗刻単騎,1 回,0.04%,#N/A,,33,+0.0,1535,,,,,
,,,,19,三色同刻,0 回,0.00%,1 位,,34,-5.9,1534,,,,,
1翻,222 回,7.9%,,21,三槓子,0 回,0.00%,1 位,,35,+26.9,1540,,,,,
2翻,478 回,17.0%,,33,字一色,0 回,0.00%,1 位,,36,+0.0,1536,,,,,
3翻,549 回,19.6%,,35,大四喜,0 回,0.00%,1 位,,37,+17.4,1539,,,,,
4翻,506 回,18.0%,,37,緑一色,0 回,0.00%,1 位,,38,-5.3,1535,,,,,
5翻,438 回,15.6%,,38,清老頭,0 回,0.00%,1 位,,39,+0.0,1536,,,,,
6翻,287 回,10.2%,,39,四槓子,0 回,0.00%,1 位,,40,+10.3,1539,,,,,
7翻,141 回,5.0%,,41,天和,0 回,0.00%,1 位,,41,-27.0,1532,,,,,
8翻,81 回,2.9%,,42,地和,0 回,0.00%,1 位,,42,+0.0,1537,,,,,
9翻,37 回,1.3%,,43,人和,0 回,0.00%,1 位,,43,-20.9,1534,,,,,
10翻,14 回,0.5%,,44,国士13面,0 回,0.00%,1 位,,44,+0.3,1538,,,,,
11翻,11 回,0.4%,,46,純正九蓮,0 回,0.00%,1 位,,45,+0.0,1538,,,,,
12翻,6 回,0.2%,,47,大車輪,0 回,0.00%,1 位,,46,+2.2,1539,,,,,
13翻～,36 回,1.3%,,48,大竹林,0 回,0.00%,1 位,,47,-21.5,1535,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+0.0,1539,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-51.6,1530,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-33.7,1533,,,,,
,,,,,,,,,,51,+0.0,1540,,,,,
,,,,,,,,,,52,-5.9,1539,,,,,
,,,,,,,,,,53,-29.4,1535,,,,,
,,,,,,,,,,54,+0.0,1540,,,,,
,,,,,,,,,,55,-43.0,1533,,,,,
,,,,,,,,,,56,-54.2,1531,,,,,
,,,,,,,,,,57,+0.0,1541,,,,,
,,,,,,,,,,58,+7.6,1543,,,,,
,,,,,,,,,,59,-35.4,1535,,,,,
,,,,,,,,,,60,+0.0,1542,,,,,
,,,,,,,,,,61,+66.8,1554,,,,,
,,,,,,,,,,62,+6.7,1543,,,,,
,,,,,,,,,,63,+0.0,1542,,,,,
,,,,,,,,,,64,-49.5,1534,,,,,
,,,,,,,,,,65,-30.8,1537,,,,,
,,,,,,,,,,66,+0.0,1543,,,,,
,,,,,,,,,,67,+66.4,1555,,,,,
,,,,,,,,,,68,+17.7,1547,,,,,
,,,,,,,,,,69,+0.0,1544,,,,,
,,,,,,,,,,70,+17.7,1546,,,,,
,,,,,,,,,,71,-28.8,1538,,,,,
,,,,,,,,,,72,+0.0,1542,,,,,
,,,,,,,,,,73,+7.5,1543,,,,,
,,,,,,,,,,74,+28.6,1546,,,,,
,,,,,,,,,,75,+0.0,1541,,,,,
,,,,,,,,,,76,+39.5,1547,,,,,
,,,,,,,,,,77,-7.0,1538,,,,,
,,,,,,,,,,78,±0,1539,,,,,
,,,,,,,,,,79,-45.1,1532,,,,,
,,,,,,,,,,80,-39.2,1533,,,,,
,,,,,,,,,,81,±0,1541,,,,,
,,,,,,,,,,82,+17.7,1544,,,,,
,,,,,,,,,,83,-28.8,1535,,,,,
,,,,,,,,,,84,±0,1540,,,,,
,,,,,,,,,,85,+42.9,1548,,,,,
,,,,,,,,,,86,-0.8,1540,,,,,
,,,,,,,,,,87,-0.0,1541,,,,,
,,,,,,,,,,88,-58.0,1531,,,,,
,,,,,,,,,,89,-0.0,1542,,,,,
,,,,,,,,,,90,-0.0,1542,,,,,
,,,,,,,,,,91,-26.4,1538,,,,,
,,,,,,,,,,92,-26.9,1538,,,,,
,,,,,,,,,,93,-0.0,1544,,,,,
,,,,,,,,,,94,-34.9,1538,,,,,
,,,,,,,,,,95,-8.1,1543,,,,,
,,,,,,,,,,96,-0.0,1545,,,,,
,,,,,,,,,,97,+34.3,1551,,,,,
,,,,,,,,,,98,+31.5,1551,,,,,
,,,,,,,,,,99,-0.0,1545,,,,,
,,,,,,,,,,100,+34.5,1551,,,,,
,,,,,,,,,,101,+46.9,1553,,,,,
,,,,,,,,,,102,-0.0,1544,,,,,
,,,,,,,,,,103,-49.4,1534,,,,,
,,,,,,,,,,104,-18.0,1540,,,,,
,,,,,,,,,,105,-0.0,1543,,,,,
,,,,,,,,,,106,-10.8,1540,,,,,
,,,,,,,,,,107,-56.9,1532,,,,,
,,,,,,,,,,108,-0.0,1541,,,,,
,,,,,,,,,,109,+7.7,1542,,,,,
,,,,,,,,,,110,-22.7,1537,,,,,
,,,,,,,,,,111,-0.0,1540,,,,,
,,,,,,,,,,112,+2.5,1540,,,,,
,,,,,,,,,,113,+24.0,1543,,,,,
,,,,,,,,,,114,-0.0,1538,,,,,
,,,,,,,,,,115,+33.1,1544,,,,,
,,,,,,,,,,116,+6.7,1540,,,,,
,,,,,,,,,,117,-0.0,1539,,,,,
,,,,,,,,,,118,-44.2,1531,,,,,
,,,,,,,,,,119,-30.8,1534,,,,,
,,,,,,,,,,120,-0.0,1540,,,,,
,,,,,,,,,,121,-55.8,1531,,,,,
,,,,,,,,,,122,-50.5,1532,,,,,
,,,,,,,,,,123,-0.0,1542,,,,,
,,,,,,,,,,124,+31.7,1548,,,,,
,,,,,,,,,,125,-8.6,1541,,,,,
,,,,,,,,,,126,-0.0,1543,,,,,
,,,,,,,,,,127,-3.4,1542,,,,,
,,,,,,,,,,128,-24.7,1539,,,,,
,,,,,,,,,,129,-0.0,1544,,,,,
,,,,,,,,,,130,-16.7,1540,,,,,
,,,,,,,,,,131,-15.1,1540,,,,,
,,,,,,,,,,132,-0.0,1542,,,,,
,,,,,,,,,,133,-2.8,1540,,,,,
,,,,,,,,,,134,+14.1,1543,,,,,
,,,,,,,,,,135,-0.0,1539,,,,,
,,,,,,,,,,136,-43.8,1531,,,,,
,,,,,,,,,,137,+6.2,1540,,,,,
,,,,,,,,,,138,-0.0,1538,,,,,
,,,,,,,,,,139,-35.3,1531,,,,,
,,,,,,,,,,140,+7.3,1538,,,,,
,,,,,,,,,,141,-0.0,1537,,,,,
,,,,,,,,,,142,+60.1,1547,,,,,
,,,,,,,,,,143,+50.4,1545,,,,,
,,,,,,,,,,144,-0.0,1535,,,,,
,,,,,,,,,,145,-53.1,1525,,,,,
,,,,,,,,,,146,-53.2,1525,,,,,
,,,,,,,,,,147,-0.0,1534,,,,,
,,,,,,,,,,148,-21.9,1531,,,,,
,,,,,,,,,,149,+8.0,1537,,,,,
,,,,,,,,,,150,-0.0,1536,,,,,
,,,,,,,,,,151,+45.9,1544,,,,,
,,,,,,,,,,152,+45.7,1545,,,,,
,,,,,,,,,,153,-0.0,1537,,,,,
,,,,,,,,,,154,-27.1,1532,,,,,
,,,,,,,,,,155,-5.8,1535,,,,,
,,,,,,,,,,156,-0.0,1535,,,,,
